LineNo,UTC_Approx,TimeUS,I,Alt,Press,Temp,CRt,SMS,Offset,GndTemp,Health
6960,2023-01-20 10:50:11.037116,131065352,0,5.920838,92846.25,26.44,0.02604798,131065,0,20.07363,1
6989,2023-01-20 10:50:11.137184,131165333,0,6.049902,92844.84,26.45,0.01932531,131165,0,20.07363,1
7025,2023-01-20 10:50:11.237226,131265323,0,6.329543,92841.83,26.46,0.3839999,131265,0,20.07363,1
7055,2023-01-20 10:50:11.337255,131365360,0,6.240811,92842.78,26.46,0.9730259,131365,0,20.07363,1
7088,2023-01-20 10:50:11.437263,131465370,0,6.152079,92843.74,26.47,1.203259,131465,0,20.07363,1
7120,2023-01-20 10:50:11.537230,131565331,0,6.211234,92843.09,26.47,0.6974201,131565,0,20.07363,1
7154,2023-01-20 10:50:11.637240,131665337,0,6.26501,92842.52,26.48,0.03193037,131665,0,20.07363,1
7186,2023-01-20 10:50:11.737275,131765373,0,6.076791,92844.55,26.48,-0.118477,131765,0,20.07363,1
7220,2023-01-20 10:50:11.837225,131865351,0,6.138635,92843.88,26.48,-0.08822739,131865,0,20.07363,1
7250,2023-01-20 10:50:11.937144,131965345,0,6.130568,92843.98,26.48,-0.261322,131965,0,20.07363,1
7283,2023-01-20 10:50:12.037137,132065355,0,6.238122,92842.82,26.49,-0.2714054,132065,0,20.07363,1
7313,2023-01-20 10:50:12.137193,132165330,0,6.251566,92842.67,26.48,0.06301954,132165,0,20.07363,1
7348,2023-01-20 10:50:12.237232,132265319,0,6.38063,92841.27,26.5,0.4100485,132265,0,20.07363,1
7378,2023-01-20 10:50:12.337258,132365349,0,6.28921,92842.27,26.5,0.5579348,132365,0,20.07363,1
7411,2023-01-20 10:50:12.437286,132465382,0,6.160145,92843.66,26.52,0.4276938,132465,0,20.07363,1
7443,2023-01-20 10:50:12.537231,132565334,0,6.092924,92844.38,26.53,-0.05041599,132565,0,20.07363,1
7477,2023-01-20 10:50:12.637238,132665342,0,6.052591,92844.83,26.53,-0.6007887,132665,0,20.07363,1
7509,2023-01-20 10:50:12.737276,132765370,0,6.044525,92844.9,26.54,-0.7814456,132765,0,20.07363,1
7543,2023-01-20 10:50:12.837227,132865341,0,6.291899,92842.23,26.53,-0.5016376,132865,0,20.07363,1
7573,2023-01-20 10:50:12.937141,132965329,0,6.230055,92842.89,26.54,0.07058263,132965,0,20.07363,1
7607,2023-01-20 10:50:13.037129,133065336,0,6.2193,92843.03,26.55,0.5638176,133065,0,20.07363,1
7637,2023-01-20 10:50:13.137196,133165328,0,6.278454,92842.38,26.55,0.5562547,133165,0,20.07363,1
7672,2023-01-20 10:50:13.237243,133265330,0,6.187034,92843.38,26.56,0.2209889,133265,0,20.07363,1
7702,2023-01-20 10:50:13.337260,133365350,0,6.146701,92843.8,26.55,-0.02352804,133365,0,20.07363,1
7735,2023-01-20 10:50:13.437276,133465368,0,6.216611,92843.05,26.57,-0.1781364,133465,0,20.07363,1
7767,2023-01-20 10:50:13.537248,133565339,0,5.724552,92848.36,26.58,-0.3671956,133565,0,20.07363,1
7801,2023-01-20 10:50:13.637240,133665332,0,5.436846,92851.48,26.58,-0.8906801,133665,0,20.07363,1
7833,2023-01-20 10:50:13.737269,133765362,0,5.391136,92851.98,26.59,-1.874629,133765,0,20.07363,1
7867,2023-01-20 10:50:13.837232,133865357,0,5.493311,92850.86,26.6,-2.379627,133865,0,20.07363,1
7899,2023-01-20 10:50:13.937125,133965333,0,5.487934,92850.92,26.62,-1.630952,133965,0,20.07363,1
7932,2023-01-20 10:50:14.037119,134065352,0,5.208294,92853.95,26.62,-0.5226441,134065,0,20.07363,1
7962,2023-01-20 10:50:14.137173,134165332,0,5.393824,92851.94,26.62,-0.2377948,134165,0,20.07363,1
7997,2023-01-20 10:50:14.237229,134265339,0,5.66002,92849.08,26.63,-0.3722374,134265,0,20.07363,1
8027,2023-01-20 10:50:14.337244,134365347,0,5.700353,92848.64,26.64,0.157969,134365,0,20.07363,1
8060,2023-01-20 10:50:14.437270,134465368,0,5.719175,92848.44,26.64,1.041927,134465,0,20.07363,1
8093,2023-01-20 10:50:14.537236,134565334,0,5.821351,92847.32,26.64,1.221745,134565,0,20.07363,1
