LineNo,UTC_Approx,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
160813,2023-01-20 10:57:58.371695,599368992,0,0,0,0,0,56.01,0.16,0,0,0.5,0.0003439156,0.0157088,0.04456465
160847,2023-01-20 10:57:58.471680,599468982,0,0,0,0,0,56.01,0.16,0,0,0.5,0.0006235504,0.0219947,0.05684267
160879,2023-01-20 10:57:58.571682,599568988,0,0,0,0,0,56.02,0.16,0,0,0.5,0.0003521261,0.01170049,0.03394508
160912,2023-01-20 10:57:58.671687,599668986,0,0,0,0,0,56.03,0.16,0,0,0.5,0.0005021055,0.01525481,0.04188305
160946,2023-01-20 10:57:58.771702,599768989,0,0,0,0,0,56.04,0.16,0,0,0.5,0.0002506631,0.008140477,0.02945011
160981,2023-01-20 10:57:58.871677,599868982,0,0,0,0,0,56.05,0.16,0,0,0.5,0.0003889677,0.009890102,0.03047987
161011,2023-01-20 10:57:58.971654,599968988,0,0,0,0,0,56.05,0.16,0,0,0.5,0.0001832134,0.007188968,0.02356157
161045,2023-01-20 10:57:59.071651,600068986,0,0,0,0,0,56.05,0.16,0,0,0.5,0.0002792198,0.01084441,0.02395561
161076,2023-01-20 10:57:59.171674,600169000,0,0,0,0,0,56.06,0.16,0,0,0.5,0.0002714159,0.01710282,0.04371072
161112,2023-01-20 10:57:59.271672,600268988,0,0,0,0,0,56.07,0.16,0,0,0.5,0.000153983,0.01089156,0.02785351
161142,2023-01-20 10:57:59.371686,600368991,0,0,0,0,0,56.08,0.16,0,0,0.5,0.0002076817,0.01728484,0.04636797
161177,2023-01-20 10:57:59.471675,600468981,0,0,0,0,0,56.07,0.16,0,0,0.5,0.0002580219,0.01670292,0.04202067
161209,2023-01-20 10:57:59.571673,600568984,0,0,0,0,0,56.08,0.16,0,0,0.5,0.0001754855,0.02020658,0.05420902
161242,2023-01-20 10:57:59.671682,600668985,0,0,0,0,0,56.07,0.16,0,0,0.5,0.0001836301,0.01480551,0.03790801
161276,2023-01-20 10:57:59.771694,600768984,0,0,0,0,0,56.06,0.16,0,0,0.5,0.0001312923,0.01886472,0.0506506
161309,2023-01-20 10:57:59.871673,600868984,0,0,0,0,0,56.04,0.16,0,0,0.5,0.0005151007,0.03066008,0.07428591
161339,2023-01-20 10:57:59.971643,600968988,0,0,0,0,0,56.03,0.16,0,0,0.5,0.0003822713,0.02594362,0.06873392
161373,2023-01-20 10:58:00.071652,601068984,0,0,0,0,0,56,0.16,0,0,0.5,0.0003845117,0.01491972,0.04246291
161404,2023-01-20 10:58:00.171685,601168984,0,0,0,0,0,55.99,0.16,0,0,0.5,0.0003279981,0.01296936,0.04211174
161439,2023-01-20 10:58:00.271694,601268988,0,0,0,0,0,55.96,0.16,0,0,0.5,0.0004265351,0.009587642,0.03225036
161469,2023-01-20 10:58:00.371707,601369006,0,0,0,0,0,55.95,0.16,0,0,0.5,0.000205337,0.008723589,0.03495136
161503,2023-01-20 10:58:00.471698,601469005,0,0,0,0,0,55.94,0.16,0,0,0.5,0.0004323383,0.0170943,0.04596254
161535,2023-01-20 10:58:00.571676,601568991,0,0,0,0,0,55.94,0.16,0,0,0.5,0.0002968646,0.0133427,0.03892723
161568,2023-01-20 10:58:00.671680,601668986,0,0,0,0,0,55.91,0.16,0,0,0.5,0.0003155443,0.01383194,0.04242161
161602,2023-01-20 10:58:00.771694,601768985,0,0,0,0,0,55.9,0.16,0,0,0.5,0.0004802739,0.01350388,0.04443311
161635,2023-01-20 10:58:00.871675,601868981,0,0,0,0,0,55.87,0.16,0,0,0.5,0.0003400696,0.01047661,0.04373389
161665,2023-01-20 10:58:00.971656,601968989,0,0,0,0,0,55.86,0.16,0,0,0.5,0.0001829914,0.01012683,0.04078891
161699,2023-01-20 10:58:01.071642,602068981,0,0,0,0,0,55.85,0.16,0,0,0.5,0.0002812363,0.007447984,0.03224336
161730,2023-01-20 10:58:01.171648,602168985,0,0,0,0,0,55.85,0.16,0,0,0.5,0.0003532874,0.005375499,0.02662766
