LineNo,UTC_Approx,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
3047,2023-01-20 10:49:59.364825,119366888,0,-2.21,0,0.21,219.49,219.51,0.07,0,3
3087,2023-01-20 10:49:59.464833,119466900,0,-2.21,0,0.21,219.49,219.53,0.08,0,3
3128,2023-01-20 10:49:59.564807,119566878,0,-2.22,0,0.2,219.49,219.5,0.08,0,3
3167,2023-01-20 10:49:59.664793,119666877,0,-2.21,0,0.21,219.49,219.5,0.06,0,3
3208,2023-01-20 10:49:59.764806,119766908,0,-2.21,0,0.21,219.49,219.53,0.06,0,3
3247,2023-01-20 10:49:59.864755,119866867,0,-2.21,0,0.2,219.49,219.51,0.07,0,3
3286,2023-01-20 10:49:59.964743,119966860,0,-2.22,0,0.2,219.49,219.5,0.07,0,3
3325,2023-01-20 10:50:00.064749,120066850,0,-2.22,0,0.2,219.49,219.52,0.07,0,3
3365,2023-01-20 10:50:00.164789,120166864,0,-2.23,0,0.2,219.49,219.5,0.07,0,3
3406,2023-01-20 10:50:00.264782,120266852,0,-2.23,0,0.19,219.49,219.47,0.07,0,3
3445,2023-01-20 10:50:00.364785,120366863,0,-2.22,0,0.2,219.49,219.51,0.07,0,3
3485,2023-01-20 10:50:00.464784,120466860,0,-2.23,0,0.19,219.49,219.52,0.06,0,3
3525,2023-01-20 10:50:00.564801,120566871,0,-2.23,0,0.19,219.49,219.5,0.06,0,3
3566,2023-01-20 10:50:00.664794,120666869,0,-2.23,0,0.19,219.49,219.51,0.05,0,3
3607,2023-01-20 10:50:00.764844,120766931,0,-2.24,0,0.18,219.49,219.49,0.05,0,3
3648,2023-01-20 10:50:00.864770,120866873,0,-2.25,0,0.18,219.49,219.48,0.05,0,3
3685,2023-01-20 10:50:00.964750,120966871,0,-2.24,0,0.19,219.49,219.5,0.05,0,3
3717,2023-01-20 10:50:01.064808,121066932,0,-2.25,0,0.18,219.49,219.52,0.06,0,3
3748,2023-01-20 10:50:01.164799,121166916,0.05,-2.24,-0.15,0.18,219.49,219.51,0.06,0,3
3782,2023-01-20 10:50:01.264774,121266924,0.09,-2.25,-0.27,0.17,219.49,219.5,0.06,0,3
3813,2023-01-20 10:50:01.364766,121366970,0.05,-2.25,-0.38,0.16,219.49,219.49,0.06,0,3
3845,2023-01-20 10:50:01.464707,121466897,-0.03,-2.2,-0.48,0.14,219.49,219.48,0.05,0,3
3878,2023-01-20 10:50:01.564776,121566914,-0.16,-2.2,-0.62,0.22,219.49,219.48,0.05,0,3
3911,2023-01-20 10:50:01.664828,121666947,-0.14,-2.14,-0.7,0.33,219.49,219.42,0.06,0.01,3
3944,2023-01-20 10:50:01.765167,121767284,-0.1,-2.14,-0.42,0.29,219.49,219.11,0.06,0.02,3
3977,2023-01-20 10:50:01.865117,121867282,0.13,-1.99,-0.38,0.41,219.49,219.98,0.06,0.02,3
4009,2023-01-20 10:50:01.965072,121967313,0.56,-1.11,-0.46,0.65,219.49,220.51,0.06,0.02,3
