LineNo,UTC_Approx,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
6588,2023-01-20 10:50:09.840481,129867979,0.9368236,0.9611157,1,0.3098901,2
6619,2023-01-20 10:50:09.940398,129967918,0.9369254,0.9611793,1,0.3128638,2
6652,2023-01-20 10:50:10.040403,130067926,0.9369779,0.9612121,1,0.3132502,2
6684,2023-01-20 10:50:10.140511,130168009,0.9368837,0.9611532,1,0.3093651,2
6717,2023-01-20 10:50:10.240333,130267920,0.9367918,0.9610958,1,0.3057351,2
6747,2023-01-20 10:50:10.340168,130368014,0.9368382,0.9611247,1,0.308423,2
6780,2023-01-20 10:50:10.439931,130467943,0.9368476,0.9611306,1,0.3071228,2
6812,2023-01-20 10:50:10.539918,130567957,0.9368498,0.961132,1,0.317903,2
6848,2023-01-20 10:50:10.639922,130667984,0.9367617,0.961077,1,0.3159351,2
6878,2023-01-20 10:50:10.739871,130767951,0.9366559,0.9610108,1,0.3260079,2
6912,2023-01-20 10:50:10.839896,130868022,0.9364969,0.9609113,1,0.3336667,2
6942,2023-01-20 10:50:10.939752,130967967,0.9362667,0.9607674,1,0.3195089,2
6975,2023-01-20 10:50:11.039731,131067965,0.9360752,0.9606476,1,0.3145318,2
7007,2023-01-20 10:50:11.139894,131168041,0.9361489,0.9606938,1,0.3132025,2
7041,2023-01-20 10:50:11.239856,131267954,0.9362407,0.9607512,1,0.3137224,2
7071,2023-01-20 10:50:11.339863,131367968,0.9363457,0.9608168,1,0.3167046,2
7104,2023-01-20 10:50:11.439847,131467953,0.9363354,0.9608104,1,0.3104494,2
7135,2023-01-20 10:50:11.539856,131567957,0.9362878,0.9607806,1,0.3048504,2
7171,2023-01-20 10:50:11.639880,131667977,0.9363385,0.9608123,1,0.3005766,2
7201,2023-01-20 10:50:11.739858,131767956,0.9364753,0.9608979,1,0.2987164,2
7235,2023-01-20 10:50:11.839880,131868008,0.9365985,0.9609749,1,0.2888239,2
7265,2023-01-20 10:50:11.939748,131967951,0.9367493,0.9610692,1,0.2900362,2
7298,2023-01-20 10:50:12.039763,132067979,0.9369398,0.9611883,1,0.3001694,2
7330,2023-01-20 10:50:12.139890,132168025,0.9369903,0.9612198,1,0.2950635,2
7363,2023-01-20 10:50:12.239859,132267946,0.9370004,0.9612262,1,0.2998938,2
7393,2023-01-20 10:50:12.339878,132367969,0.9369861,0.9612172,1,0.3120959,2
7426,2023-01-20 10:50:12.439848,132467944,0.9369246,0.9611788,1,0.3059056,2
7458,2023-01-20 10:50:12.539850,132567953,0.9367282,0.961056,1,0.3076727,2
7494,2023-01-20 10:50:12.639871,132667975,0.936685,0.961029,1,0.3186586,2
7524,2023-01-20 10:50:12.739854,132767947,0.9365944,0.9609723,1,0.3247405,2
7558,2023-01-20 10:50:12.839847,132867963,0.9363484,0.9608185,1,0.3189414,2
7589,2023-01-20 10:50:12.939772,132967962,0.9361855,0.9607166,1,0.3180081,2
7622,2023-01-20 10:50:13.039758,133067963,0.9360321,0.9606206,1,0.3221025,2
7654,2023-01-20 10:50:13.139897,133168027,0.9360226,0.9606147,1,0.3113869,2
7687,2023-01-20 10:50:13.239860,133267947,0.935966,0.9605793,1,0.3186959,2
7717,2023-01-20 10:50:13.339874,133367964,0.9359845,0.9605909,1,0.3140782,2
7750,2023-01-20 10:50:13.439853,133467945,0.9359562,0.9605732,1,0.3089342,2
7782,2023-01-20 10:50:13.539861,133567952,0.9358618,0.9605142,1,0.3168674,2
7818,2023-01-20 10:50:13.639888,133667980,0.9357873,0.9604675,1,0.3120879,2
7848,2023-01-20 10:50:13.739859,133767952,0.9356493,0.9603813,1,0.3031497,2
7882,2023-01-20 10:50:13.839837,133867964,0.9356058,0.960354,1,0.3154091,2
7914,2023-01-20 10:50:13.939738,133967948,0.9355706,0.960332,1,0.3134269,2
7947,2023-01-20 10:50:14.039738,134067969,0.9354655,0.9602662,1,0.2923618,2
7979,2023-01-20 10:50:14.139866,134168023,0.9354515,0.9602575,1,0.3245978,2
8012,2023-01-20 10:50:14.239835,134267945,0.9355855,0.9603413,1,0.3459308,2
8042,2023-01-20 10:50:14.339877,134367979,0.935188,0.9600926,1,0.3477327,2
8075,2023-01-20 10:50:14.439846,134467944,0.9346868,0.959779,1,0.3560928,2
8108,2023-01-20 10:50:14.539854,134567952,0.9343824,0.9595884,1,0.3491147,2
8144,2023-01-20 10:50:14.639877,134667975,0.9341682,0.9594543,1,0.3595857,2
8174,2023-01-20 10:50:14.739854,134767952,0.9339784,0.9593355,1,0.3548434,2
8208,2023-01-20 10:50:14.839832,134867963,0.9337999,0.9592237,1,0.3429754,2
