LineNo,UTC_Approx,TimeUS,C15,C16,C17,C18
7625,2023-01-20 10:50:13.039814,133068019,0,0,0,0
7657,2023-01-20 10:50:13.139974,133168104,0,0,0,0
7690,2023-01-20 10:50:13.239914,133268001,0,0,0,0
7720,2023-01-20 10:50:13.339930,133368020,0,0,0,0
7753,2023-01-20 10:50:13.439911,133468003,0,0,0,0
7785,2023-01-20 10:50:13.539915,133568006,0,0,0,0
7821,2023-01-20 10:50:13.639941,133668033,0,0,0,0
7851,2023-01-20 10:50:13.739913,133768006,0,0,0,0
7885,2023-01-20 10:50:13.839894,133868021,0,0,0,0
7917,2023-01-20 10:50:13.939792,133968002,0,0,0,0
7950,2023-01-20 10:50:14.039809,134068040,0,0,0,0
7982,2023-01-20 10:50:14.139928,134168085,0,0,0,0
8015,2023-01-20 10:50:14.239888,134267998,0,0,0,0
8045,2023-01-20 10:50:14.339931,134368033,0,0,0,0
8078,2023-01-20 10:50:14.439904,134468002,0,0,0,0
8111,2023-01-20 10:50:14.539908,134568006,0,0,0,0
8147,2023-01-20 10:50:14.639931,134668029,0,0,0,0
8177,2023-01-20 10:50:14.739912,134768010,0,0,0,0
8211,2023-01-20 10:50:14.839889,134868020,0,0,0,0
8241,2023-01-20 10:50:14.939804,134968019,0,0,0,0
8274,2023-01-20 10:50:15.039781,135068021,0,0,0,0
8306,2023-01-20 10:50:15.139905,135168080,0,0,0,0
8339,2023-01-20 10:50:15.239879,135268007,0,0,0,0
8369,2023-01-20 10:50:15.339931,135368039,0,0,0,0
8402,2023-01-20 10:50:15.439949,135468046,0,0,0,0
8434,2023-01-20 10:50:15.539908,135568008,0,0,0,0
8470,2023-01-20 10:50:15.639935,135668036,0,0,0,0
8500,2023-01-20 10:50:15.739918,135768016,0,0,0,0
8534,2023-01-20 10:50:15.839926,135868035,0,0,0,0
8564,2023-01-20 10:50:15.939875,135968015,0,0,0,0
8597,2023-01-20 10:50:16.039891,136068038,0,0,0,0
8629,2023-01-20 10:50:16.139932,136168048,0,0,0,0
8662,2023-01-20 10:50:16.239881,136268000,0,0,0,0
8692,2023-01-20 10:50:16.339839,136368012,0,0,0,0
8725,2023-01-20 10:50:16.439819,136468002,0,0,0,0
8757,2023-01-20 10:50:16.539925,136568050,0,0,0,0
8793,2023-01-20 10:50:16.639934,136668025,0,0,0,0
8823,2023-01-20 10:50:16.739912,136768005,0,0,0,0
8857,2023-01-20 10:50:16.839916,136868021,0,0,0,0
8887,2023-01-20 10:50:16.939878,136968006,0,0,0,0
8920,2023-01-20 10:50:17.039883,137068014,0,0,0,0
8952,2023-01-20 10:50:17.139940,137168042,0,0,0,0
8985,2023-01-20 10:50:17.239967,137268055,0,0,0,0
9015,2023-01-20 10:50:17.339957,137368054,0,0,0,0
9048,2023-01-20 10:50:17.439909,137468006,0,0,0,0
9080,2023-01-20 10:50:17.539916,137568003,0,0,0,0
9116,2023-01-20 10:50:17.639996,137668076,0,0,0,0
9146,2023-01-20 10:50:17.739931,137768012,0,0,0,0
9180,2023-01-20 10:50:17.836391,137868032,0,0,0,0
9210,2023-01-20 10:50:17.927463,137968009,0,0,0,0
