LineNo,UTC_Approx,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
57633,2023-01-20 10:52:45.874815,286222612,32,326,13262,12248,16310,14146
57960,2023-01-20 10:52:46.877265,287225082,32,326,13257,11242,15580,13268
58286,2023-01-20 10:52:47.880171,288227971,32,325,13214,11754,16067,13924
58615,2023-01-20 10:52:48.882166,289230026,32,328,13295,12026,16330,14130
58940,2023-01-20 10:52:49.885195,290232997,32,324,13181,11106,16346,13515
59317,2023-01-20 10:52:50.887264,291235110,32,376,14726,10647,15693,13228
59643,2023-01-20 10:52:51.870024,292237596,32,325,13214,11652,15999,13778
59970,2023-01-20 10:52:52.872724,293240410,32,326,13257,12044,16306,14036
60298,2023-01-20 10:52:53.874837,294242607,32,327,13252,11142,16241,13454
60626,2023-01-20 10:52:54.877243,295245096,32,327,13310,11506,15873,13711
60953,2023-01-20 10:52:55.879865,296247660,32,326,13262,11768,16057,13861
61280,2023-01-20 10:52:56.882231,297250091,32,326,13268,12112,16301,14077
61607,2023-01-20 10:52:57.885102,298252894,32,326,13257,11210,16279,13515
61935,2023-01-20 10:52:58.887323,299255118,32,327,13252,11665,15978,13836
62262,2023-01-20 10:52:59.889745,300257570,32,326,13257,11899,16172,13991
62589,2023-01-20 10:53:00.892250,301260067,32,326,13262,11123,16303,13791
62919,2023-01-20 10:53:01.894810,302262637,32,329,13371,11241,15579,13295
63247,2023-01-20 10:53:02.877851,303265504,32,327,13308,11773,16066,13940
63598,2023-01-20 10:53:03.880422,304268226,32,350,14157,12111,16298,14050
63925,2023-01-20 10:53:04.882227,305270025,32,326,13267,11292,16324,13782
64253,2023-01-20 10:53:05.884700,306272565,32,327,13305,11510,15678,13657
64579,2023-01-20 10:53:06.887201,307275053,32,325,13214,11808,16101,13904
64955,2023-01-20 10:53:07.890029,308277875,32,375,14678,12146,16328,14182
65284,2023-01-20 10:53:08.892196,309280046,32,328,13289,11137,15414,13333
65610,2023-01-20 10:53:09.894706,310282553,32,325,13214,11488,15802,13586
65938,2023-01-20 10:53:10.897237,311285060,32,327,13305,11783,16054,13771
66264,2023-01-20 10:53:11.879979,312287650,32,325,13214,12227,16324,14337
66592,2023-01-20 10:53:12.882567,313290378,32,327,13311,11225,15506,13418
66920,2023-01-20 10:53:13.884689,314292552,32,327,13252,11614,15907,13708
67248,2023-01-20 10:53:14.887210,315295048,32,327,13310,11852,16199,13862
67575,2023-01-20 10:53:15.889691,316297556,32,326,13262,12170,16316,14341
67902,2023-01-20 10:53:16.892307,317300106,32,326,13257,11303,15541,13460
68228,2023-01-20 10:53:17.897282,318305142,32,325,13214,11649,15942,13743
68557,2023-01-20 10:53:18.899799,319307660,32,328,13295,11987,16341,13990
68883,2023-01-20 10:53:19.892866,320310110,32,325,13214,11254,16300,13757
69211,2023-01-20 10:53:20.905001,321312841,32,327,13305,11472,15658,13626
69537,2023-01-20 10:53:21.887781,322315843,32,325,13214,11770,16063,13861
69864,2023-01-20 10:53:22.889785,323317827,32,326,13257,12108,16251,14055
70192,2023-01-20 10:53:23.892179,324320325,32,327,13252,11140,16326,13512
70567,2023-01-20 10:53:24.894485,325322595,32,374,14655,11317,15781,13556
70895,2023-01-20 10:53:25.896926,326325063,32,327,13305,11729,16062,13738
71221,2023-01-20 10:53:26.899862,327327975,32,325,13214,12173,16303,14303
71549,2023-01-20 10:53:27.901942,328330061,32,327,13311,11171,15452,13359
71877,2023-01-20 10:53:28.904817,329333001,32,327,13252,11560,15907,13658
72204,2023-01-20 10:53:29.904948,330333047,32,326,13257,11851,16198,13855
72531,2023-01-20 10:53:30.887377,331335065,32,326,13262,11165,16308,14018
72858,2023-01-20 10:53:31.889860,332337606,32,326,13257,11335,15569,13486
73184,2023-01-20 10:53:32.892553,333340415,32,325,13214,11681,16018,13781
73512,2023-01-20 10:53:33.894765,334342583,32,327,13266,12019,16313,14006
73838,2023-01-20 10:53:34.897288,335345151,32,325,13238,11258,16235,13738
74166,2023-01-20 10:53:35.899843,336347662,32,327,13400,11475,15635,13615
74490,2023-01-20 10:53:36.902267,337350084,32,323,13156,11679,16024,13797
74814,2023-01-20 10:53:37.905055,338352896,32,323,13156,12075,16207,14037
75141,2023-01-20 10:53:38.907284,339355080,32,326,13237,11174,15570,13219
75470,2023-01-20 10:53:39.899955,340357609,32,328,13422,11494,15662,13671
75795,2023-01-20 10:53:40.902587,341360076,32,324,13204,11824,16169,13939
76123,2023-01-20 10:53:41.894866,342362659,32,327,13299,11178,16248,13767
76451,2023-01-20 10:53:42.897662,343365507,32,327,13322,11242,15609,13336
76799,2023-01-20 10:53:43.900315,344368143,32,347,14052,11720,16030,13900
77125,2023-01-20 10:53:44.902233,345370061,32,325,13263,12133,16275,14083
77450,2023-01-20 10:53:45.904739,346372544,32,324,13204,11179,15524,13209
77778,2023-01-20 10:53:46.907225,347375084,32,327,13395,11561,15727,13720
78102,2023-01-20 10:53:47.910109,348377922,32,323,13156,11867,16123,13961
78428,2023-01-20 10:53:48.912199,349380062,32,325,13194,11180,16327,13855
78752,2023-01-20 10:53:49.904409,350382583,32,323,13156,11346,15780,13415
79082,2023-01-20 10:53:50.897324,351385075,32,329,13518,11577,15956,13854
79454,2023-01-20 10:53:51.899858,352387664,32,371,14548,11745,16206,13831
79779,2023-01-20 10:53:52.902553,353390414,32,324,13185,11374,16324,13823
80108,2023-01-20 10:53:53.904742,354392547,32,328,13295,11429,15779,13686
80435,2023-01-20 10:53:54.907215,355395069,32,326,13267,11710,15991,13835
80762,2023-01-20 10:53:55.909733,356397544,32,326,13257,12122,16318,14100
81089,2023-01-20 10:53:56.912225,357400039,32,326,13262,11442,16342,13867
81416,2023-01-20 10:53:57.917283,358405120,32,326,13257,11540,15865,13758
81744,2023-01-20 10:53:58.909067,359407644,32,327,13252,11869,16146,13989
82071,2023-01-20 10:53:59.902249,360410055,32,326,13278,11043,16349,13806
82397,2023-01-20 10:54:00.904728,361412576,32,325,13214,11284,15631,13300
82725,2023-01-20 10:54:01.907680,362415505,32,327,13305,11628,15932,13863
83051,2023-01-20 10:54:02.909693,363417540,32,325,13214,11957,16238,14075
83380,2023-01-20 10:54:03.912166,364420046,32,328,13295,11212,16327,13860
83707,2023-01-20 10:54:04.914714,365422562,32,326,13267,11319,15666,13345
84033,2023-01-20 10:54:05.917216,366425060,32,325,13214,11711,16058,13949
84361,2023-01-20 10:54:06.920113,367427941,32,327,13305,11992,16302,14126
84687,2023-01-20 10:54:07.911021,368430048,32,325,13214,11240,16340,13587
85065,2023-01-20 10:54:08.905066,369433029,32,377,14716,11478,15776,13593
85391,2023-01-20 10:54:09.906981,370435070,32,325,13214,11742,16052,13870
85720,2023-01-20 10:54:10.909544,371437641,32,328,13327,12127,16259,14063
86047,2023-01-20 10:54:11.912284,372440377,32,326,13262,11371,16311,13817
86374,2023-01-20 10:54:12.914482,373442574,32,326,13257,11469,15773,13681
86702,2023-01-20 10:54:13.917015,374445113,32,327,13252,11798,16108,13923
87030,2023-01-20 10:54:14.919542,375447639,32,327,13310,12162,16277,14091
87357,2023-01-20 10:54:15.922346,376450441,32,326,13268,11454,16340,13882
87685,2023-01-20 10:54:16.924936,377453034,32,327,13305,11504,15862,13745
