LineNo,UTC_Approx,TimeUS,TPD,PD,DVD,TVD,VD,DAD,TAD,AD
158928,2023-01-20 10:57:52.592778,593570101,-55.56,-55.49076,0,-0.0692334,-0.09129731,0,0.1475857,-0.5001011
158963,2023-01-20 10:57:52.692699,593670008,-55.56,-55.48811,0,-0.07188477,-0.1447346,0,0.2388044,0.1880331
158995,2023-01-20 10:57:52.792656,593769949,-55.56,-55.48151,0,-0.07849121,-0.05371639,0,-0.02706773,0.3284245
159028,2023-01-20 10:57:52.892699,593870010,-55.56,-55.46963,0,-0.09036621,-0.09233037,0,-0.1515875,-0.03061867
159059,2023-01-20 10:57:52.992621,593969953,-55.56,-55.4628,0,-0.09719726,-0.05812475,0,-0.09413911,-0.3707695
159093,2023-01-20 10:57:53.092622,594069956,-55.56,-55.46409,0,-0.0959082,-0.1427335,0,0.1083426,-0.5018883
159126,2023-01-20 10:57:53.192759,594170095,-55.56,-55.46942,0,-0.09057617,-0.1312078,0,0.2159795,0.0661459
159159,2023-01-20 10:57:53.284303,594269957,-55.56,-55.47261,0,-0.08738281,-0.111549,0,0.1257208,0.4203062
159189,2023-01-20 10:57:53.375342,594369978,-55.56,-55.47491,0,-0.08508789,-0.1028273,0,0.1181768,-0.5837612
159223,2023-01-20 10:57:53.472878,594469953,-55.56,-55.48008,0,-0.07991699,-0.1809203,0,0.2726469,0.03606319
159256,2023-01-20 10:57:53.573155,594570240,-55.56,-55.48787,0,-0.07212891,-0.1436006,0,0.2952224,0.1673555
159291,2023-01-20 10:57:53.672917,594670003,-55.56,-55.49431,0,-0.06568848,-0.05160552,0,0.08320083,0.5096216
159323,2023-01-20 10:57:53.772864,594769948,-55.56,-55.49659,0,-0.0634082,-0.02634644,0,-0.2152143,0.4759789
159358,2023-01-20 10:57:53.872797,594869963,-55.56,-55.50485,0,-0.05515137,-0.006462019,0,-0.1756275,-0.3917675
159388,2023-01-20 10:57:53.972673,594969950,-55.56,-55.51915,0,-0.04084473,-0.004350889,0,-0.08415243,-0.1386766
159422,2023-01-20 10:57:54.072651,595069951,-55.56,-55.53727,0,-0.02272949,-0.03704285,0,0.02647303,0.001879692
159456,2023-01-20 10:57:54.172750,595170039,-55.56,-55.55461,0,-0.005385742,0.03375773,0,-0.0481757,0.7173071
159489,2023-01-20 10:57:54.272725,595269959,-55.56,-55.57072,0,0.01072754,0.01107439,0,-0.03187033,-0.2741327
159519,2023-01-20 10:57:54.372816,595369977,-55.56,-55.58992,0,0.02991699,-0.04425429,0,0.136524,0.1674099
159553,2023-01-20 10:57:54.472749,595469944,-55.56,-55.60928,0,0.04928223,0.01495166,0,0.08026511,0.2783737
159585,2023-01-20 10:57:54.572695,595569964,-55.56,-55.62577,0,0.0657666,0.04292183,0,0.07332671,0.2379618
159620,2023-01-20 10:57:54.672736,595669998,-55.56,-55.63652,0,0.07651855,0.08345135,0,0.0761943,0.1999779
159652,2023-01-20 10:57:54.772744,595769969,-55.56,-55.64244,0,0.08244628,0.05712748,0,0.0763848,-0.01937771
159685,2023-01-20 10:57:54.872738,595869996,-55.56,-55.64143,0,0.08143555,0.09096766,0,-0.0313793,0.5396948
159715,2023-01-20 10:57:54.972641,595969958,-55.56,-55.63663,0,0.07663086,0.1428645,0,-0.2041589,0.2086954
159750,2023-01-20 10:57:55.072622,596069947,-55.56,-55.6291,0,0.06910156,0.1325093,0,-0.2931528,-0.08043194
159783,2023-01-20 10:57:55.172668,596169981,-55.56,-55.62096,0,0.06096191,0.1197612,0,-0.372981,-0.003692627
159816,2023-01-20 10:57:55.272682,596269990,-55.56,-55.61201,0,0.0520166,0.1220132,0,-0.4124007,-0.1269264
159846,2023-01-20 10:57:55.372662,596369968,-55.56,-55.60605,0,0.0460498,0.09029318,0,-0.3327083,-0.1641254
159880,2023-01-20 10:57:55.472681,596469986,-55.56,-55.60063,0,0.04063477,0.08242726,0,-0.2641231,-0.2614651
159912,2023-01-20 10:57:55.572737,596570041,-55.56,-55.59895,0,0.03895019,0.0496822,0,-0.1644105,-0.1258631
159947,2023-01-20 10:57:55.672753,596669993,-55.56,-55.59888,0,0.03887695,0.0612765,0,-0.2386889,0.1322584
159979,2023-01-20 10:57:55.772800,596769952,-55.56,-55.60055,0,0.04055176,0.04857883,0,-0.1670494,-0.3919401
160012,2023-01-20 10:57:55.872769,596869975,-55.56,-55.60502,0,0.04502441,0.02528478,0,-0.02158627,-0.112587
160042,2023-01-20 10:57:55.972651,596969963,-55.56,-55.60958,0,0.04958496,0.05360759,0,0.002208524,-0.1039829
160076,2023-01-20 10:57:56.072626,597069950,-55.56,-55.61454,0,0.05453613,0.06144177,0,-0.006785328,0.2897215
160109,2023-01-20 10:57:56.172728,597170029,-55.56,-55.61962,0,0.05961914,0.06381276,0,-0.06144143,0.2251596
160142,2023-01-20 10:57:56.272667,597269966,-55.56,-55.62188,0,0.06188476,0.05013185,0,-0.08746953,-0.2988386
160172,2023-01-20 10:57:56.372665,597369970,-55.56,-55.62891,0,0.06891602,0.04085724,0,0.05777455,0.02021122
160206,2023-01-20 10:57:56.472636,597469956,-55.56,-55.63418,0,0.07417969,0.05538425,0,0.07935815,0.1667557
160238,2023-01-20 10:57:56.572628,597569967,-55.56,-55.64018,0,0.08018555,0.06428616,0,0.1177765,0.2481985
160273,2023-01-20 10:57:56.672669,597669993,-55.56,-55.64531,0,0.08530761,0.08863627,0,0.07997017,0.3280773
160305,2023-01-20 10:57:56.772720,597770017,-55.56,-55.65106,0,0.09105957,0.1233673,0,0.008189354,0.1975956
160338,2023-01-20 10:57:56.872734,597870042,-55.56,-55.65636,0,0.0963623,0.1070704,0,0.01716,-0.1455145
160368,2023-01-20 10:57:56.972621,597969954,-55.56,-55.66324,0,0.1032422,0.1012627,0,0.07862388,-0.03121758
160402,2023-01-20 10:57:57.072649,598069958,-55.56,-55.66336,0,0.1033643,0.1098568,0,0.08070992,0.136898
160435,2023-01-20 10:57:57.172708,598169974,-55.56,-55.66007,0,0.1000684,0.1182747,0,-0.04641728,0.09597683
160469,2023-01-20 10:57:57.272692,598269967,-55.56,-55.65688,0,0.09688476,0.09034303,0,-0.02968765,-0.1514835
160499,2023-01-20 10:57:57.372686,598369988,-55.56,-55.65545,0,0.09544922,0.1039965,0,0.002958038,-0.008086205
160533,2023-01-20 10:57:57.472684,598469990,-55.56,-55.65052,0,0.09052246,0.1378549,0,-0.0388588,-0.06178188
160565,2023-01-20 10:57:57.572671,598569973,-55.56,-55.64767,0,0.0876709,0.1211828,0,-0.02650191,-0.02639961
160600,2023-01-20 10:57:57.672688,598669984,-55.56,-55.64431,0,0.0843164,0.156339,0,-0.1033706,0.03266811
160632,2023-01-20 10:57:57.772658,598769948,-55.56,-55.64108,0,0.08108398,0.1751631,0,-0.2567879,0.4542828
160665,2023-01-20 10:57:57.872665,598869973,-55.56,-55.63853,0,0.07853515,0.157644,0,-0.2249385,-0.3193331
160695,2023-01-20 10:57:57.972613,598969948,-55.56,-55.63925,0,0.07924805,0.09956886,0,-0.1892398,0.6240969
160729,2023-01-20 10:57:58.072623,599069945,-55.56,-55.63948,0,0.0794873,0.04684439,0,-0.06791869,-0.4471035
160762,2023-01-20 10:57:58.172743,599170037,-55.56,-55.64607,0,0.08607422,0.06887674,0,0.1266028,-0.06737423
160794,2023-01-20 10:57:58.272679,599269970,-55.56,-55.65283,0,0.09283203,0.06351949,0,0.1807934,-0.0691452
160824,2023-01-20 10:57:58.372668,599369965,-55.56,-55.65933,0,0.09933105,0.08111399,0,0.1753779,0.1842537
160858,2023-01-20 10:57:58.472643,599469945,-55.56,-55.66326,0,0.1032617,0.06473064,0,0.1525763,0.05278301
160890,2023-01-20 10:57:58.572665,599569971,-55.56,-55.66671,0,0.106709,0.06671134,0,0.1702947,-0.2645025
