LineNo,UTC_Approx,TimeUS,TPE,PE,DVE,TVE,VE,DAE,TAE,AE
221215,2023-01-20 11:01:01.192624,782570952,-26.30849,-26.24093,-3.500008,-3.567576,-3.477592,0,-0.3374505,-0.3627383
221250,2023-01-20 11:01:01.292650,782670994,-26.65883,-26.5902,-3.500008,-3.568638,-3.473273,0,-0.3201186,-0.3612967
221281,2023-01-20 11:01:01.392612,782770976,-27.00918,-26.94247,-3.500008,-3.566714,-3.473618,0,-0.322323,-0.3454586
221314,2023-01-20 11:01:01.492652,782870997,-27.35951,-27.29672,-3.500008,-3.562796,-3.46777,0,-0.2791319,-0.3283405
221344,2023-01-20 11:01:01.592642,782970965,-27.70986,-27.64664,-3.500008,-3.563235,-3.505941,0,-0.3071323,-0.3291112
221378,2023-01-20 11:01:01.692711,783071032,-28.06019,-27.99771,-3.500008,-3.562491,-3.496652,0,-0.3370612,-0.3293635
221411,2023-01-20 11:01:01.792696,783171016,-28.41055,-28.34866,-3.500008,-3.561893,-3.491413,0,-0.3223991,-0.3374352
221444,2023-01-20 11:01:01.892593,783270965,-28.76088,-28.69134,-3.500008,-3.569549,-3.480119,0,-0.3483838,-0.3516788
221474,2023-01-20 11:01:01.992545,783370974,-29.11123,-29.03958,-3.500008,-3.571658,-3.504362,0,-0.3324556,-0.3584425
221509,2023-01-20 11:01:02.092604,783470995,-29.46156,-29.39198,-3.500008,-3.569588,-3.551669,0,-0.2475231,-0.3476758
221542,2023-01-20 11:01:02.192630,783570975,-29.81191,-29.74178,-3.500008,-3.570137,-3.506064,0,-0.2874618,-0.3290485
221577,2023-01-20 11:01:02.292700,783671037,-30.16224,-30.07634,-3.500008,-3.585911,-3.517742,0,-0.3993315,-0.3418286
221608,2023-01-20 11:01:02.392704,783771036,-30.5126,-30.41698,-3.500008,-3.595626,-3.548601,0,-0.3588957,-0.3744103
221641,2023-01-20 11:01:02.492646,783870998,-30.86293,-30.76432,-3.500008,-3.598619,-3.551512,0,-0.3216918,-0.3762447
221671,2023-01-20 11:01:02.592652,783971025,-31.21328,-31.1182,-3.500008,-3.595086,-3.550983,0,-0.2603951,-0.3384038
221705,2023-01-20 11:01:02.692644,784070996,-31.56363,-31.47889,-3.500008,-3.584754,-3.545741,0,-0.2117055,-0.2928776
221737,2023-01-20 11:01:02.792755,784171083,-31.91398,-31.83631,-3.500008,-3.577681,-3.592323,0,-0.1885314,-0.2630926
221772,2023-01-20 11:01:02.892607,784270964,-32.26432,-32.19379,-3.500008,-3.570533,-3.597725,0,-0.1970904,-0.2508058
221802,2023-01-20 11:01:02.992660,784371050,-32.61467,-32.5516,-3.500008,-3.563074,-3.59551,0,-0.1810103,-0.2463382
221836,2023-01-20 11:01:03.092695,784471066,-32.965,-32.9092,-3.500008,-3.555806,-3.54721,0,-0.2047192,-0.2381431
221870,2023-01-20 11:01:03.192711,784571058,-33.31535,-33.26996,-3.500008,-3.545401,-3.559367,0,-0.1536499,-0.2175447
221905,2023-01-20 11:01:03.292681,784671015,-33.66568,-33.63799,-3.500008,-3.527703,-3.5949,0,-0.03614727,-0.1651203
221936,2023-01-20 11:01:03.392750,784771072,-34.01603,-33.99968,-3.500008,-3.516363,-3.583425,0,-0.05272987,-0.1247668
221969,2023-01-20 11:01:03.492669,784870998,-34.36637,-34.36449,-3.500008,-3.50188,-3.587631,0,-0.02233379,-0.07650777
221999,2023-01-20 11:01:03.592736,784971073,-34.71672,-34.72746,-3.500008,-3.489268,-3.542223,0,-0.04391257,-0.04989384
222033,2023-01-20 11:01:03.692709,785071047,-35.06705,-35.08654,-3.500008,-3.480523,-3.604223,0,0.0004654932,-0.04891764
222065,2023-01-20 11:01:03.792757,785171095,-35.4174,-35.44648,-3.500008,-3.470933,-3.526369,0,-0.114468,-0.05515488
222101,2023-01-20 11:01:03.892592,785270980,-35.76775,-35.80815,-3.5,-3.459602,-3.540547,0.0006283956,-0.05727951,-0.06424578
222131,2023-01-20 11:01:03.992648,785371089,-36.11806,-36.16351,-3.499448,-3.454006,-3.529875,0.01412409,-0.03630518,-0.06692803
222214,2023-01-20 11:01:04.092605,785470997,-36.46822,-36.53209,-3.496344,-3.432482,-3.545441,0.05153011,0.09552913,-0.0287282
222247,2023-01-20 11:01:04.192717,785571052,-36.81787,-36.89536,-3.488725,-3.411237,-3.507607,0.1010813,0.1384267,0.03633998
222282,2023-01-20 11:01:04.292739,785671074,-37.16647,-37.25805,-3.476102,-3.384522,-3.476022,0.1511302,0.2405265,0.117219
222313,2023-01-20 11:01:04.392766,785771106,-37.51361,-37.61778,-3.458469,-3.354299,-3.482694,0.2011792,0.2925998,0.1844183
222346,2023-01-20 11:01:04.492654,785871014,-37.85873,-37.96827,-3.435827,-3.326283,-3.449634,0.2512281,0.3149172,0.2366161
222376,2023-01-20 11:01:04.592600,785970982,-38.20123,-38.30975,-3.408175,-3.299652,-3.364015,0.301277,0.2648163,0.2701117
222410,2023-01-20 11:01:04.692642,786071001,-38.54084,-38.65139,-3.375513,-3.264956,-3.345984,0.351326,0.3780697,0.3048372
222442,2023-01-20 11:01:04.792685,786171017,-38.87685,-38.98769,-3.337841,-3.227003,-3.310199,0.4013749,0.438592,0.3597309
222476,2023-01-20 11:01:04.892626,786270989,-39.20889,-39.31054,-3.295159,-3.193504,-3.271908,0.4514238,0.4258756,0.399043
222507,2023-01-20 11:01:04.992725,786371123,-39.53638,-39.63246,-3.247468,-3.151394,-3.213459,0.5014728,0.4871024,0.4346612
222541,2023-01-20 11:01:05.092639,786471015,-39.85881,-39.95089,-3.194767,-3.102681,-3.160445,0.5515217,0.5550194,0.4888415
222574,2023-01-20 11:01:05.192664,786571013,-40.17576,-40.2612,-3.137056,-3.051621,-3.119945,0.6015707,0.6381358,0.5561063
222609,2023-01-20 11:01:05.292674,786671015,-40.48666,-40.58289,-3.074335,-2.97811,-3.040009,0.6516196,0.794962,0.6574139
222640,2023-01-20 11:01:05.392662,786770996,-40.79107,-40.89544,-3.006604,-2.902244,-2.999265,0.7016686,0.9040824,0.7751393
222673,2023-01-20 11:01:05.492681,786871015,-41.08842,-41.19673,-2.933864,-2.825549,-2.955568,0.7517174,0.968868,0.869006
222703,2023-01-20 11:01:05.592721,786971055,-41.37826,-41.49209,-2.856114,-2.742286,-2.842427,0.8017664,1.008031,0.956916
222737,2023-01-20 11:01:05.692722,787071052,-41.66006,-41.78251,-2.773355,-2.650898,-2.749737,0.8518153,1.117909,1.048624
222769,2023-01-20 11:01:05.792679,787171005,-41.9333,-42.06025,-2.685585,-2.558636,-2.726802,0.9018642,1.249343,1.137175
222803,2023-01-20 11:01:05.892621,787270981,-42.19752,-42.34112,-2.59287,-2.449272,-2.636011,0.9489771,1.36779,1.229232
222833,2023-01-20 11:01:05.992846,787371242,-42.45222,-42.60865,-2.496259,-2.339828,-2.519311,0.9771345,1.409014,1.313963
222866,2023-01-20 11:01:06.084268,787471016,-42.69722,-42.85587,-2.398011,-2.239359,-2.42422,0.9832271,1.360955,1.350483
222899,2023-01-20 11:01:06.175208,787570967,-42.93229,-43.09444,-2.299581,-2.137432,-2.298525,0.9832649,1.363682,1.361165
222934,2023-01-20 11:01:06.272850,787671041,-43.15757,-43.32755,-2.201143,-2.031157,-2.191095,0.9832937,1.386832,1.385205
222965,2023-01-20 11:01:06.372815,787770974,-43.37297,-43.54952,-2.102702,-1.926154,-2.113628,0.9826039,1.453008,1.445518
222998,2023-01-20 11:01:06.472798,787870996,-43.57853,-43.76064,-2.004833,-1.822729,-2.027488,0.9685983,1.504493,1.497577
223028,2023-01-20 11:01:06.572713,787970978,-43.77436,-43.96022,-1.909567,-1.723712,-1.940848,0.9307027,1.484756,1.52498
223061,2023-01-20 11:01:06.672699,788071001,-43.96092,-44.15306,-1.818851,-1.626712,-1.850899,0.8803755,1.487203,1.525242
223093,2023-01-20 11:01:06.772669,788170996,-44.13871,-44.33952,-1.733708,-1.532897,-1.719035,0.8162565,1.407016,1.512358
223127,2023-01-20 11:01:06.872632,788270972,-44.30826,-44.52245,-1.656184,-1.441989,-1.67256,0.7282511,1.402735,1.46962
