LineNo,UTC_Approx,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
6252,2023-01-20 10:50:08.841466,128866356,0,212.258,1.859557,213.0206,228.5614,305.8778,149.143,199.5202,0.822722,0.0560795,5.510637E-05,5.510637E-05,0.1210884
6285,2023-01-20 10:50:08.941560,128966352,0,212.0668,1.85977,212.8302,228.3661,305.6758,148.943,199.325,0.822722,0.0560795,5.510637E-05,5.510637E-05,0.1210884
6318,2023-01-20 10:50:09.041633,129066352,0,211.8583,1.76014,212.5043,226.8255,302.2487,151.7296,200.1034,0.8324357,0.05352144,4.738609E-05,4.738609E-05,0.1139481
6348,2023-01-20 10:50:09.141672,129166352,0,211.4959,1.760339,212.1419,226.4627,301.8862,151.3668,199.741,0.8324357,0.05352144,4.738609E-05,4.738609E-05,0.1139481
6383,2023-01-20 10:50:09.241616,129266349,0,211.4465,1.670264,212.0264,225.1473,298.7765,154.8138,200.7605,0.8395104,0.05029509,4.745409E-05,4.745409E-05,0.1100995
6413,2023-01-20 10:50:09.341455,129366368,0,211.8446,1.670482,212.4244,225.5457,299.1747,155.2124,201.1586,0.8395104,0.05029509,4.745409E-05,4.745409E-05,0.1100995
6446,2023-01-20 10:50:09.441128,129466653,0,212.1087,1.608268,212.6794,225.1335,297.8872,157.8871,202.0939,0.8439647,0.0468427,4.643591E-05,4.643591E-05,0.1090997
6478,2023-01-20 10:50:09.539901,129566645,0,212.7544,1.6085,213.326,225.774,298.519,158.5248,202.7357,0.8439647,0.0468427,4.643591E-05,4.643591E-05,0.1090997
6512,2023-01-20 10:50:09.639155,129666642,0,213.5956,1.575537,214.1542,226.5851,299.1248,159.7262,203.5901,0.8488935,0.04504157,5.11506E-05,5.11506E-05,0.1059626
6544,2023-01-20 10:50:09.739153,129766641,0,214.5461,1.57576,215.1046,227.5359,300.0757,160.6768,204.5408,0.8488935,0.04504157,5.11506E-05,5.11506E-05,0.1059626
6578,2023-01-20 10:50:09.839145,129866643,0,215.641,1.553936,216.135,228.2241,300.1214,162.2079,205.8369,0.8519225,0.04597768,4.516565E-05,4.516565E-05,0.1020095
6609,2023-01-20 10:50:09.939125,129966645,0,216.2076,1.55417,216.7016,228.7911,300.6882,162.7747,206.4036,0.8519225,0.04597768,4.516565E-05,4.516565E-05,0.1020095
6642,2023-01-20 10:50:10.039118,130066641,0,216.4206,1.548405,216.9307,229.0892,301.2282,163.026,206.5981,0.853017,0.04476291,5.173235E-05,5.173235E-05,0.1021166
6672,2023-01-20 10:50:10.139156,130166654,0,216.602,1.548638,217.1121,229.2707,301.4098,163.2075,206.7796,0.853017,0.04476291,5.173235E-05,5.173235E-05,0.1021166
6707,2023-01-20 10:50:10.239059,130266643,0,216.8242,1.545346,217.3316,229.4502,301.6671,163.4444,207.0386,0.8533999,0.04460716,5.034247E-05,5.034247E-05,0.1018923
6737,2023-01-20 10:50:10.338820,130366663,0,217.0441,1.545576,217.5515,229.6703,301.887,163.6645,207.2585,0.8533999,0.04460716,5.034247E-05,5.034247E-05,0.1018923
6770,2023-01-20 10:50:10.438985,130466996,0,217.2547,1.545734,217.7485,229.9343,302.0478,163.54,207.3571,0.8549063,0.04482057,5.272269E-05,4.917812E-05,0.1001714
6802,2023-01-20 10:50:10.538961,130567000,0,217.1629,1.545959,217.6566,229.8424,301.956,163.448,207.2653,0.8549063,0.04482057,5.272269E-05,4.917812E-05,0.1001714
6836,2023-01-20 10:50:10.638947,130667009,0,217.0437,1.547328,217.5273,229.8339,301.766,163.0377,206.9988,0.8566302,0.04482704,5.634194E-05,4.983529E-05,0.09843655
6868,2023-01-20 10:50:10.738916,130766996,0,216.7997,1.547576,217.2833,229.5914,301.5214,162.7971,206.7541,0.8566302,0.04482704,5.634194E-05,4.983529E-05,0.09843655
6902,2023-01-20 10:50:10.838875,130867000,0,216.5041,1.547221,216.9887,229.2853,301.2057,162.5178,206.476,0.8564142,0.04483518,5.607471E-05,5.000855E-05,0.09864444
6932,2023-01-20 10:50:10.938795,130967009,0,216.2111,1.547473,216.6957,228.9937,300.9121,162.2271,206.1821,0.8564142,0.04483518,5.607471E-05,5.000855E-05,0.09864444
6965,2023-01-20 10:50:11.038765,131067000,0,215.9676,1.5407,216.4588,228.664,300.3564,162.2827,206.0249,0.855871,0.04464555,5.075142E-05,4.999224E-05,0.09938276
6995,2023-01-20 10:50:11.138863,131167011,0,215.5631,1.540939,216.0543,228.2598,299.9516,161.8794,205.6202,0.855871,0.04464555,5.075142E-05,4.999224E-05,0.09938276
7031,2023-01-20 10:50:11.238911,131267009,0,214.7911,1.522426,215.2969,227.255,297.9315,162.3074,205.0603,0.8565329,0.04329815,4.519951E-05,4.519951E-05,0.1000786
7061,2023-01-20 10:50:11.338917,131367022,0,214.2479,1.522657,214.7538,226.7115,297.3881,161.7644,204.5171,0.8565329,0.04329815,4.519951E-05,4.519951E-05,0.1000786
7094,2023-01-20 10:50:11.438890,131466996,0,214.1055,1.499294,214.5609,226.2257,295.4227,162.8867,204.6089,0.8588141,0.04384953,5.107976E-05,5.107976E-05,0.09723417
