LineNo,UTC_Approx,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
34469,2023-01-20 10:51:35.355102,215562668,2,39.8051142,32.3830554,100,726.9319,56.44376,0,504,-8.45717
34795,2023-01-20 10:51:36.359063,216562671,2,39.80512,32.3830783,100,726.8876,56.89789,0,504,-8.45717
35109,2023-01-20 10:51:37.354895,217562547,2,39.8051313,32.3831196,100,726.8073,57.53609,0,504,-8.45717
35425,2023-01-20 10:51:38.354899,218562547,2,39.8051407,32.3831587,100,726.7265,57.96755,0,504,-8.45717
35721,2023-01-20 10:51:39.354958,219562598,2,39.8051406,32.3831814,100,726.6712,57.92291,0,504,-8.45717
36045,2023-01-20 10:51:40.354806,220562658,2,39.8051357,32.3831949,100,726.6323,57.67554,0,504,-8.45717
36369,2023-01-20 10:51:41.354826,221562644,2,39.8051359,32.3832051,100,726.6079,57.90548,0,504,-8.45717
36693,2023-01-20 10:51:42.354827,222562662,2,39.8051405,32.3832213,100,726.5745,58.1696,0,504,-8.45717
37017,2023-01-20 10:51:43.354887,223562655,2,39.8051525,32.3832523,100,726.5129,58.70677,0,504,-8.45717
37343,2023-01-20 10:51:44.354839,224562660,2,39.8051701,32.383299,100,726.4158,59.52054,0,504,-8.45717
37661,2023-01-20 10:51:45.340722,225562656,2,39.8051872,32.3833522,100,726.2969,60.15539,0,504,-8.45717
37985,2023-01-20 10:51:46.334675,226562649,2,39.805197,32.3833902,100,726.2068,60.29074,0,504,-8.45717
38309,2023-01-20 10:51:47.334577,227562657,2,39.8052058,32.3834129,100,726.1541,60.56837,0,504,-8.45717
38633,2023-01-20 10:51:48.334596,228562676,2,39.8052169,32.3834376,100,726.0963,61.2068,0,504,-8.45717
38959,2023-01-20 10:51:49.334576,229562660,2,39.8052293,32.3834687,100,726.0205,61.98154,0,504,-8.45717
39285,2023-01-20 10:51:50.334613,230562674,2,39.8052428,32.3835024,100,725.936,62.60043,0,504,-8.45717
39609,2023-01-20 10:51:51.334556,231562662,2,39.805251,32.3835299,100,725.864,62.96302,0,504,-8.45717
39936,2023-01-20 10:51:52.334598,232562665,2,39.8052467,32.3835369,100,725.8434,63.07851,0,504,-8.45717
40260,2023-01-20 10:51:53.334563,233562669,2,39.805227,32.383527,100,725.8635,63.11415,0,504,-8.45717
40586,2023-01-20 10:51:54.327442,234562674,2,39.8052076,32.383511,100,725.8986,63.08145,0,504,-8.45717
40912,2023-01-20 10:51:55.315017,235562664,2,39.8051911,32.3834945,100,725.9345,63.14563,0,504,-8.45717
41241,2023-01-20 10:51:56.314861,236562644,2,39.8051712,32.3834778,100,725.9675,63.21161,0,504,-8.45717
41565,2023-01-20 10:51:57.314888,237562707,2,39.8051399,32.3834561,100,726.0047,63.14481,0,504,-8.45717
41890,2023-01-20 10:51:58.314853,238562657,2,39.8050964,32.3834246,100,726.053,63.11348,0,504,-8.45717
42219,2023-01-20 10:51:59.314898,239562720,2,39.8050458,32.383387,100,726.1013,63.16696,0,504,-8.45717
42546,2023-01-20 10:52:00.314898,240562668,2,39.8049933,32.3833467,100,726.1427,63.24796,0,504,-8.45717
42915,2023-01-20 10:52:01.314823,241562646,2,39.8049389,32.3833063,100,726.1702,63.30689,0,504,-8.45717
43241,2023-01-20 10:52:02.314865,242562662,2,39.8048848,32.3832658,100,726.224,63.25788,0,504,-8.45717
43568,2023-01-20 10:52:03.314836,243562672,2,39.8048302,32.3832251,100,726.4314,63.02897,0,504,-8.45717
43896,2023-01-20 10:52:04.304567,244562659,2,39.8047765,32.3831848,100,726.6273,62.78351,0,504,-8.45717
