LineNo,UTC_Approx,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
8260,2023-01-20 10:50:15.038758,135066999,0,0.23,0,0.11,0.06,0,0.01512221,0.08909588,0.02049057,0,48,107327,0,0
8290,2023-01-20 10:50:15.138827,135167003,0,0.23,0,0.14,0.07,0,0.01517163,0.08909588,0.02049057,0,48,107327,0,0
8325,2023-01-20 10:50:15.238872,135267000,0,0.19,0,0.12,0.08,0,0.01507153,0.08909588,0.02049057,0,48,107327,0,0
8355,2023-01-20 10:50:15.338903,135367011,0,0.19,0,0.13,0.01,0,0.01529167,0.08909588,0.02049057,0,48,107327,0,0
8388,2023-01-20 10:50:15.438903,135467000,0,0.18,0,0.14,0.11,0,0.01521073,0.08909588,0.02049057,0,48,107327,0,0
8420,2023-01-20 10:50:15.538903,135567003,0,0.18,0,0.14,0.05,0,0.01520527,0.08909588,0.02049057,0,48,107327,0,0
8454,2023-01-20 10:50:15.638904,135667005,0,0.17,0,0.14,0.04,0,0.01505248,0.08909588,0.02049057,0,48,107327,0,0
8486,2023-01-20 10:50:15.738904,135767003,0,0.17,0,0.13,0.07,0,0.01512823,0.08909588,0.02049057,0,48,107327,0,0
8520,2023-01-20 10:50:15.838910,135867019,0,0.18,0,0.13,0.03,0,0.01500584,0.08909588,0.02049057,0,48,107327,0,0
8550,2023-01-20 10:50:15.938862,135967002,0,0.18,0,0.13,0.04,0,0.01515421,0.08909588,0.02049057,0,48,107327,0,0
8583,2023-01-20 10:50:16.038868,136067015,0,0.16,0,0.14,0.04,0,0.01505913,0.08909588,0.02049057,0,48,107327,0,0
8613,2023-01-20 10:50:16.138900,136167016,0,0.16,0,0.13,0.04,0,0.01516472,0.08909588,0.02049057,0,48,107327,0,0
8648,2023-01-20 10:50:16.238878,136266996,0,0.19,0,0.12,0.01,0,0.01527361,0.08909588,0.02049057,0,48,107327,0,0
