LineNo,UTC_Approx,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
55325,2023-01-20 10:52:38.838902,279167001,0,0.0001158685,7.679557E-06,8.315441E-06,9.383724E-06,0.04281709,0.04363844,0.008179341,0.5450373,0.5478942,0.128453,4.214022E-11,4.203115E-11
55491,2023-01-20 10:52:39.338911,279667008,0,0.0001161061,7.815648E-06,8.43203E-06,9.317624E-06,0.04474955,0.04572345,0.008224598,0.5659372,0.569191,0.1288164,4.231508E-11,4.220389E-11
55654,2023-01-20 10:52:39.838920,280167009,0,0.0001161295,7.668263E-06,8.287374E-06,9.326693E-06,0.04292663,0.0438877,0.008176493,0.5454897,0.548391,0.1284841,4.211309E-11,4.20055E-11
55819,2023-01-20 10:52:40.338885,280666996,0,0.0001161268,7.81345E-06,8.437803E-06,9.409421E-06,0.04488016,0.04598191,0.008226504,0.5671473,0.5705291,0.1288586,4.230551E-11,4.219422E-11
55981,2023-01-20 10:52:40.838907,281167000,0,0.0001156981,7.69274E-06,8.292978E-06,9.788656E-06,0.04322736,0.04426506,0.008185718,0.5475885,0.5506343,0.1285868,4.212297E-11,4.201373E-11
56145,2023-01-20 10:52:41.338910,281667012,0,0.0001156835,7.823954E-06,8.434826E-06,9.825522E-06,0.04512303,0.04629837,0.008232591,0.5690248,0.5725688,0.1289416,4.230215E-11,4.218886E-11
56307,2023-01-20 10:52:41.838912,282166999,0,0.0001156663,7.672616E-06,8.272503E-06,9.724019E-06,0.04321546,0.04435598,0.008180935,0.5480694,0.5512178,0.1285695,4.208716E-11,4.197574E-11
56471,2023-01-20 10:52:42.319400,282666996,0,0.0001152699,7.822675E-06,8.42189E-06,1.009349E-05,0.04515661,0.04643361,0.008234818,0.5701252,0.573826,0.1289893,4.228833E-11,4.217259E-11
56633,2023-01-20 10:52:42.819405,283167000,0,0.0001152891,7.677317E-06,8.274522E-06,9.865396E-06,0.04338972,0.04464412,0.008188293,0.5495819,0.5528871,0.1286576,4.208834E-11,4.197289E-11
56797,2023-01-20 10:52:43.319353,283666999,0,0.0001151476,7.778882E-06,8.401325E-06,9.904888E-06,0.04488819,0.04610626,0.008224648,0.5692698,0.5730489,0.1289334,4.223587E-11,4.211687E-11
56959,2023-01-20 10:52:43.819405,284166996,0,0.0001151316,7.6498E-06,8.265722E-06,9.735781E-06,0.04311123,0.04416335,0.008182087,0.5492105,0.5525818,0.1286476,4.206031E-11,4.194287E-11
57127,2023-01-20 10:52:44.319185,284667001,0,0.0001149535,7.766132E-06,8.382371E-06,9.850318E-06,0.04465112,0.04575418,0.008219843,0.5688816,0.5726811,0.1289198,4.221623E-11,4.209671E-11
57289,2023-01-20 10:52:44.819233,285166996,0,0.0001147901,7.622088E-06,8.218875E-06,9.845995E-06,0.04270926,0.04372528,0.0081675,0.5474208,0.5507388,0.1285212,4.201498E-11,4.189792E-11
57454,2023-01-20 10:52:45.319218,285667000,0,0.000114673,7.719677E-06,8.322781E-06,9.887935E-06,0.04407401,0.04512243,0.008200936,0.5656276,0.5693023,0.1287611,4.215513E-11,4.203664E-11
57616,2023-01-20 10:52:45.819235,286166996,0,0.0001150563,7.577381E-06,8.17965E-06,9.329317E-06,0.04220025,0.04318151,0.008147762,0.5440818,0.547307,0.1283321,4.196157E-11,4.184585E-11
57781,2023-01-20 10:52:46.319149,286667010,0,0.0001145789,7.719432E-06,8.31741E-06,9.726936E-06,0.04390556,0.04495156,0.008194096,0.5639944,0.5676396,0.1286284,4.215046E-11,4.203256E-11
57943,2023-01-20 10:52:46.819207,287166996,0,0.0001144491,7.577285E-06,8.166044E-06,9.661001E-06,0.04192326,0.04289585,0.008141231,0.5421068,0.5452828,0.1282224,4.195544E-11,4.184013E-11
58107,2023-01-20 10:52:47.319215,287667000,0,0.0001146583,7.714662E-06,8.335545E-06,9.339787E-06,0.04380439,0.04486327,0.008192437,0.5624477,0.5660695,0.1285602,4.216101E-11,4.204289E-11
58269,2023-01-20 10:52:47.819269,288167029,0,0.0001148375,7.591077E-06,8.252778E-06,8.903282E-06,0.04212433,0.04303483,0.008145601,0.5418479,0.5450519,0.1281945,4.199071E-11,4.187502E-11
58433,2023-01-20 10:52:48.319137,288666999,0,0.0001147151,7.712109E-06,8.349205E-06,8.95343E-06,0.04362414,0.04453309,0.008186836,0.5605583,0.5640972,0.1284946,4.215745E-11,4.20405E-11
58596,2023-01-20 10:52:48.819141,289166997,0,0.000114491,7.63805E-06,8.250585E-06,9.056424E-06,0.04248718,0.04331397,0.008160634,0.5430932,0.5462959,0.1282866,4.204905E-11,4.193486E-11
58762,2023-01-20 10:52:49.319218,289667018,0,0.0001146542,7.770323E-06,8.385333E-06,8.816828E-06,0.04434824,0.04526808,0.008208089,0.5635419,0.5671113,0.1286491,4.222886E-11,4.211277E-11
58924,2023-01-20 10:52:49.819239,290167000,0,0.0001139997,7.65436E-06,8.254162E-06,9.306679E-06,0.04273172,0.04360215,0.008167894,0.5439505,0.5471144,0.128362,4.205903E-11,4.19461E-11
59088,2023-01-20 10:52:50.319155,290666999,0,0.0001141153,7.797588E-06,8.414131E-06,9.08616E-06,0.04476679,0.04579025,0.008219362,0.5658481,0.5694494,0.1287608,4.225616E-11,4.214024E-11
