LineNo,UTC_Approx,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
165127,2023-01-20 10:58:11.352298,612369984,0,18.84406,10.28115,14.84039,0
165161,2023-01-20 10:58:11.452272,612469960,0,18.26825,16.17764,13.28489,0
165193,2023-01-20 10:58:11.552295,612569986,0,20.76289,15.71349,14.53851,0
165228,2023-01-20 10:58:11.652295,612669986,0,22.34035,13.25668,16.69292,0
165260,2023-01-20 10:58:11.752273,612769962,0,16.44197,18.30395,15.12463,0
165293,2023-01-20 10:58:11.852324,612870019,0,16.54246,14.48677,14.56716,0
165323,2023-01-20 10:58:11.952255,612969964,0,19.14941,15.79046,14.43175,0
165357,2023-01-20 10:58:12.047656,613069983,0,20.41625,15.1856,16.56044,0
165390,2023-01-20 10:58:12.138835,613169985,0,15.97131,15.15311,15.05855,0
165424,2023-01-20 10:58:12.232908,613269980,0,16.9415,14.43153,14.61255,0
165454,2023-01-20 10:58:12.332904,613369987,0,21.38188,14.58829,15.55117,0
165488,2023-01-20 10:58:12.432917,613470008,0,20.97667,14.41175,16.47441,0
165520,2023-01-20 10:58:12.532893,613569986,0,14.93288,19.2252,14.75435,0
165555,2023-01-20 10:58:12.632875,613669990,0,16.62511,15.34055,15.26059,0
165587,2023-01-20 10:58:12.732784,613769958,0,17.1269,16.52684,13.41689,0
165620,2023-01-20 10:58:12.832748,613869983,0,22.0938,14.89517,15.89376,0
165650,2023-01-20 10:58:12.932671,613969969,0,22.07841,13.32108,16.83762,0
165684,2023-01-20 10:58:13.032664,614069970,0,16.77407,19.06075,15.78056,0
165717,2023-01-20 10:58:13.132844,614170046,0,12.54966,21.01984,14.71743,0
165750,2023-01-20 10:58:13.232874,614270001,0,12.51939,19.41084,13.47904,0
165780,2023-01-20 10:58:13.332874,614369987,0,15.78068,15.01813,14.51657,0
165814,2023-01-20 10:58:13.432852,614469958,0,17.18497,11.84097,14.35535,0
165847,2023-01-20 10:58:13.532868,614569979,0,19.10378,15.66525,13.38633,0
165882,2023-01-20 10:58:13.632862,614669997,0,21.69754,13.29718,17.05972,0
165914,2023-01-20 10:58:13.732803,614770000,0,15.68181,16.67059,14.99842,0
165947,2023-01-20 10:58:13.832779,614869994,0,16.86535,14.19961,13.82031,0
165979,2023-01-20 10:58:13.932832,614969972,0,20.24265,16.09154,13.49235,0
166013,2023-01-20 10:58:14.032837,615069955,0,21.87454,12.29625,17.058,0
166046,2023-01-20 10:58:14.132803,615170008,0,18.09805,18.10066,15.92124,0
166079,2023-01-20 10:58:14.232714,615269992,0,16.24566,14.70726,14.29295,0
166110,2023-01-20 10:58:14.332660,615369982,0,19.03823,16.17718,13.82855,0
166145,2023-01-20 10:58:14.432680,615470024,0,20.23441,15.02894,15.4813,0
166177,2023-01-20 10:58:14.532668,615569988,0,17.19413,13.08809,14.5418,0
166212,2023-01-20 10:58:14.632689,615669994,0,19.13936,15.69702,13.41895,0
166244,2023-01-20 10:58:14.732668,615769975,0,22.39091,10.972,17.62955,0
166277,2023-01-20 10:58:14.832662,615869979,0,19.70969,13.33724,17.07832,0
166307,2023-01-20 10:58:14.932621,615969961,0,18.964,13.80653,16.71343,0
166341,2023-01-20 10:58:15.032656,616070004,0,22.00317,10.62965,17.69273,0
166374,2023-01-20 10:58:15.132668,616169993,0,21.61119,9.978331,17.74298,0
166407,2023-01-20 10:58:15.232666,616269974,0,16.11868,17.32057,15.46741,0
166437,2023-01-20 10:58:15.332675,616369979,0,16.51693,13.73655,14.28636,0
