LineNo,UTC_Approx,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
4515,2023-01-20 10:50:03.464485,123467382,0.01243463,0.01515877,0.0188042,0.03333842,0.03669817
4547,2023-01-20 10:50:03.564476,123567360,0.01072514,0.01547427,0.01878781,0.03662965,0.04164739
4583,2023-01-20 10:50:03.664523,123667404,0.01261105,0.02368185,0.0166281,0.03246344,0.04942955
4613,2023-01-20 10:50:03.764515,123767400,0.01202215,0.02295967,0.0174544,0.0374486,0.05749888
4647,2023-01-20 10:50:03.864707,123867392,0.0124878,0.02561444,0.01661218,0.03778384,0.0638878
4679,2023-01-20 10:50:03.965042,123967416,0.01249544,0.02494539,0.01652254,0.0405268,0.06824307
4712,2023-01-20 10:50:04.065156,124067377,0.01166335,0.02541687,0.01537574,0.03858401,0.06988565
4744,2023-01-20 10:50:04.165254,124167407,0.01107155,0.02548509,0.01655019,0.03780855,0.06725379
4777,2023-01-20 10:50:04.265295,124267428,0.01075953,0.02508361,0.01584398,0.03414254,0.06234532
4807,2023-01-20 10:50:04.365260,124367397,0.009829046,0.02253829,0.01594075,0.03470827,0.05691394
4840,2023-01-20 10:50:04.465199,124467364,0.01209906,0.02610433,0.01419555,0.0295282,0.05186966
4873,2023-01-20 10:50:04.565173,124567378,0.01148053,0.02481236,0.01342922,0.0261457,0.04642327
4909,2023-01-20 10:50:04.665209,124667400,0.01138607,0.02455226,0.01195518,0.02504758,0.04099982
4939,2023-01-20 10:50:04.765247,124767396,0.01398242,0.02181041,0.01277397,0.02897718,0.03519411
4973,2023-01-20 10:50:04.865263,124867428,0.01810138,0.01853815,0.01380284,0.03059261,0.02894761
5003,2023-01-20 10:50:04.965164,124967377,0.0167595,0.01707598,0.01385834,0.02944993,0.02381403
5036,2023-01-20 10:50:05.065202,125067399,0.01452623,0.01570697,0.01447522,0.02975501,0.02019488
5068,2023-01-20 10:50:05.165249,125167398,0.01408538,0.01597642,0.01481076,0.03251275,0.02297497
5101,2023-01-20 10:50:05.265236,125267371,0.01477726,0.01959252,0.01390681,0.03069399,0.03289063
5131,2023-01-20 10:50:05.365584,125367724,0.01358594,0.01969193,0.01544306,0.03362492,0.04269572
5164,2023-01-20 10:50:05.465236,125467369,0.01247806,0.02098592,0.01359299,0.02927768,0.04843239
5196,2023-01-20 10:50:05.565263,125567382,0.01162246,0.023401,0.01269019,0.02799417,0.0492232
5233,2023-01-20 10:50:05.665287,125667399,0.01099018,0.02404669,0.0118243,0.02492723,0.04564672
5263,2023-01-20 10:50:05.765569,125767679,0.01075904,0.02376567,0.01289932,0.02791558,0.03940857
5297,2023-01-20 10:50:05.859622,125867682,0.01103735,0.02535339,0.01747783,0.0254423,0.0324242
5327,2023-01-20 10:50:05.950520,125967652,0.01269465,0.02464517,0.01837795,0.02210483,0.02756695
5360,2023-01-20 10:50:06.045626,126067680,0.01239928,0.0258189,0.0188535,0.02396808,0.02862276
5392,2023-01-20 10:50:06.145383,126167401,0.01952467,0.0290929,0.01966,0.02483758,0.03679903
