LineNo,UTC_Approx,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
94127,2023-01-20 10:54:36.379405,396967008,0,400,0.0025,0.0025,0.01248622,0.0125138,0.01103641,0.01304327,0.01103645,0.01304326
95797,2023-01-20 10:54:41.479194,402066996,0,408,0.0025,0.0025,0.01248626,0.0125138,0.01103642,0.01304323,0.0110364,0.0130432
97481,2023-01-20 10:54:46.465932,407067002,0,400,0.0025,0.0025,0.01248623,0.01251374,0.01103633,0.01304317,0.01103635,0.01304316
99149,2023-01-20 10:54:51.559222,412166994,0,408,0.0025,0.0025,0.01248625,0.01251382,0.01103629,0.01304311,0.01103632,0.01304316
100785,2023-01-20 10:54:56.544656,417167005,0,400,0.0025,0.0025,0.01248625,0.01251371,0.01103625,0.01304306,0.01103628,0.01304306
102502,2023-01-20 10:55:01.638945,422266999,0,408,0.0025,0.0025,0.01248614,0.01251378,0.01103621,0.01304297,0.01103621,0.01304301
104170,2023-01-20 10:55:06.719364,427366996,0,408,0.0025,0.0025,0.01248619,0.01251375,0.01103614,0.01304293,0.01103617,0.01304297
105805,2023-01-20 10:55:11.719238,432367001,0,400,0.0025,0.0025,0.01248616,0.01251394,0.01103611,0.0130429,0.01103614,0.0130429
107524,2023-01-20 10:55:16.799313,437467001,0,408,0.0025,0.0025,0.01248621,0.0125139,0.01103609,0.01304283,0.01103608,0.01304286
109192,2023-01-20 10:55:21.899207,442567002,0,408,0.0025,0.0025,0.01248607,0.01251376,0.01103604,0.0130428,0.01103602,0.01304276
110862,2023-01-20 10:55:26.979187,447667022,0,408,0.0025,0.0025,0.01248606,0.01251379,0.01103598,0.01304278,0.01103598,0.01304274
112522,2023-01-20 10:55:32.079160,452767002,0,408,0.0025,0.0025,0.01248617,0.01251374,0.01103595,0.01304269,0.01103597,0.01304271
114182,2023-01-20 10:55:37.159199,457867005,0,408,0.0025,0.0025,0.01248601,0.01251377,0.01103593,0.01304267,0.0110359,0.01304263
