LineNo,UTC_Approx,TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct
5206,2023-01-20 10:50:05.659791,125661904,0,15.62424,16.16684,7.654203,26.84536,0.4348556,0,0.07088816,99
5238,2023-01-20 10:50:05.759803,125761913,0,15.61272,16.16098,7.741038,27.06043,0.4382133,0,0.07082509,99
5272,2023-01-20 10:50:05.854357,125861891,0,15.64197,16.16773,7.421793,27.26656,0.4414376,0,0.07083984,99
5302,2023-01-20 10:50:05.945287,125961897,0,15.65703,16.17292,7.276218,27.46871,0.4446027,0,0.07090019,99
5335,2023-01-20 10:50:06.039857,126061913,0,15.64886,16.17118,7.363904,27.67331,0.4478044,0,0.07093038,99
5365,2023-01-20 10:50:06.139889,126161909,0,15.63754,16.16673,7.462657,27.8806,0.451046,0,0.07091169,99
5400,2023-01-20 10:50:06.239411,126261902,0,15.65526,16.16853,7.237909,28.08167,0.4541937,0,0.07091423,99
5432,2023-01-20 10:50:06.338199,126361925,0,15.65792,16.16985,7.217477,28.28222,0.4573339,0,0.0709286,99
5465,2023-01-20 10:50:06.437361,126461865,0,15.67299,16.17307,7.046362,28.47785,0.4604,0,0.07097016,99
5495,2023-01-20 10:50:06.537396,126561912,0,15.6656,16.16948,7.099995,28.67518,0.4634913,0,0.0709684,99
5531,2023-01-20 10:50:06.637321,126661868,0,15.62424,16.15975,7.534168,28.88439,0.46676,0,0.07107663,99
5563,2023-01-20 10:50:06.737264,126761876,0,15.68805,16.17806,6.885463,29.07566,0.4697608,0,0.07116579,99
5597,2023-01-20 10:50:06.837440,126862125,0,15.71996,16.18485,6.520247,29.25726,0.4726155,0,0.07129958,99
5627,2023-01-20 10:50:06.937319,126962094,0,15.69071,16.17555,6.798629,29.44607,0.475578,0,0.07131481,99
5660,2023-01-20 10:50:07.037275,127062113,0,15.65438,16.16761,7.189384,29.64583,0.4787051,0,0.07138792,99
5690,2023-01-20 10:50:07.137251,127162107,0,15.65871,16.16759,7.128373,29.84384,0.4818058,0,0.07138792,99
5725,2023-01-20 10:50:07.237276,127262119,0,15.65438,16.16611,7.16129,30.04281,0.4849204,0,0.07145894,99
5755,2023-01-20 10:50:07.337351,127362131,0,15.61981,16.15772,7.511182,30.25149,0.4881801,0,0.07161491,99
5788,2023-01-20 10:50:07.437329,127462102,0,15.63222,16.16119,7.375822,30.45634,0.4913822,0,0.07171692,99
5818,2023-01-20 10:50:07.537265,127562125,0,15.64729,16.16252,7.184275,30.65596,0.4945058,0,0.07171692,99
5854,2023-01-20 10:50:07.641435,127662151,0,15.60947,16.15423,7.579571,30.86657,0.4977933,0,0.07187225,99
5886,2023-01-20 10:50:07.752679,127762125,0,15.59411,16.14939,7.705283,31.08057,0.5011305,0,0.07206529,99
5920,2023-01-20 10:50:07.852154,127862098,0,15.59766,16.15135,7.666974,31.2935,0.5044516,0,0.07221752,99
5951,2023-01-20 10:50:07.942944,127962102,0,15.57018,16.14557,7.945354,31.51422,0.5078882,0,0.07241859,99
