LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
46965,2023-01-20 10:52:13.637256,253905032,2,18063,338,0,6,0,8
47295,2023-01-20 10:52:14.636206,254907613,2,18151,339,0,6,0,8
47622,2023-01-20 10:52:15.622319,255909986,2,18236,340,0,6,0,8
47949,2023-01-20 10:52:16.624685,256912499,2,18323,341,0,6,0,8
48324,2023-01-20 10:52:17.627727,257915549,2,18406,342,0,6,0,8
48651,2023-01-20 10:52:18.629724,258917470,2,18490,343,0,6,0,8
48979,2023-01-20 10:52:19.632199,259920028,2,18573,344,0,6,0,8
49307,2023-01-20 10:52:20.634660,260922481,2,18661,345,0,6,0,8
49633,2023-01-20 10:52:21.637170,261924992,2,18744,346,0,6,0,8
49959,2023-01-20 10:52:22.637208,262925012,2,18827,347,0,6,0,8
50286,2023-01-20 10:52:23.620275,263927871,2,18911,348,0,6,0,8
50615,2023-01-20 10:52:24.622280,264929954,2,18994,349,0,6,0,8
50944,2023-01-20 10:52:25.625256,265932932,2,19078,350,0,6,0,8
51269,2023-01-20 10:52:26.627198,266935009,2,19161,351,0,6,0,8
51596,2023-01-20 10:52:27.629727,267937573,2,19245,352,0,6,0,8
51922,2023-01-20 10:52:28.632545,268940355,2,19328,353,0,6,0,8
52251,2023-01-20 10:52:29.634641,269942485,2,19412,354,0,6,0,8
52578,2023-01-20 10:52:30.637208,270945016,2,19496,355,0,6,0,8
52905,2023-01-20 10:52:31.639695,271947556,2,19580,356,0,6,0,8
53231,2023-01-20 10:52:32.642246,272950060,2,19663,357,0,6,0,8
53558,2023-01-20 10:52:33.624887,273952821,2,19747,358,0,6,0,8
53936,2023-01-20 10:52:34.626954,274954981,2,19830,359,0,6,0,8
54264,2023-01-20 10:52:35.629404,275957502,2,19914,360,0,6,0,8
54590,2023-01-20 10:52:36.631925,276960006,2,19997,361,0,6,0,8
54921,2023-01-20 10:52:37.634520,277962630,2,20082,362,0,6,0,8
55250,2023-01-20 10:52:38.637350,278965430,2,20166,363,0,6,0,8
55578,2023-01-20 10:52:39.639381,279967507,2,20249,364,0,6,0,8
55928,2023-01-20 10:52:40.641914,280969998,2,20334,365,0,6,0,8
56255,2023-01-20 10:52:41.644356,281972450,2,20417,366,0,6,0,8
56581,2023-01-20 10:52:42.627404,282974993,2,20501,367,0,6,0,8
56907,2023-01-20 10:52:43.630129,283977830,2,20584,368,0,6,0,8
57237,2023-01-20 10:52:44.632168,284979981,2,20668,369,0,6,0,8
57564,2023-01-20 10:52:45.634711,285982525,2,20751,370,0,6,0,8
57891,2023-01-20 10:52:46.637226,286985005,2,20835,371,0,6,0,8
