LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
4902,2023-01-20 10:50:04.665083,124667274,1496,1505,1682,1506,1505,1505,1054,1055,0,0,0,0,0,0
4932,2023-01-20 10:50:04.765132,124767281,1505,1505,1689,1505,1505,1506,1054,1054,0,0,0,0,0,0
4966,2023-01-20 10:50:04.865146,124867311,1505,1505,1693,1506,1505,1505,1054,1054,0,0,0,0,0,0
4996,2023-01-20 10:50:04.965039,124967251,1505,1505,1701,1505,1505,1505,1055,1054,0,0,0,0,0,0
5029,2023-01-20 10:50:05.065085,125067282,1506,1505,1700,1506,1505,1505,1054,1054,0,0,0,0,0,0
5061,2023-01-20 10:50:05.165135,125167284,1505,1505,1698,1506,1505,1505,1054,1055,0,0,0,0,0,0
5094,2023-01-20 10:50:05.265110,125267245,1505,1506,1692,1505,1506,1505,1054,1054,0,0,0,0,0,0
5124,2023-01-20 10:50:05.365449,125367589,1505,1505,1683,1505,1505,1505,1054,1055,0,0,0,0,0,0
5157,2023-01-20 10:50:05.465122,125467255,1505,1505,1674,1505,1505,1505,1055,1054,0,0,0,0,0,0
5189,2023-01-20 10:50:05.565137,125567256,1505,1456,1663,1505,1505,1505,1055,1054,0,0,0,0,0,0
5226,2023-01-20 10:50:05.665169,125667281,1506,1430,1660,1505,1505,1506,1054,1054,0,0,0,0,0,0
5256,2023-01-20 10:50:05.765454,125767564,1506,1403,1658,1505,1505,1506,1054,1054,0,0,0,0,0,0
5290,2023-01-20 10:50:05.859516,125867565,1505,1416,1643,1505,1505,1506,1054,1054,0,0,0,0,0,0
5320,2023-01-20 10:50:05.950412,125967533,1505,1416,1640,1505,1505,1506,1054,1054,0,0,0,0,0,0
5353,2023-01-20 10:50:06.045511,126067565,1505,1407,1656,1505,1505,1505,1055,1054,0,0,0,0,0,0
5385,2023-01-20 10:50:06.145269,126167287,1505,1398,1631,1505,1505,1505,1054,1054,0,0,0,0,0,0
5418,2023-01-20 10:50:06.244705,126267262,1505,1380,1637,1505,1506,1505,1054,1054,0,0,0,0,0,0
5450,2023-01-20 10:50:06.343718,126367513,1505,1380,1634,1505,1505,1505,1054,1055,0,0,0,0,0,0
5483,2023-01-20 10:50:06.442754,126467258,1502,1366,1628,1505,1505,1506,1054,1054,0,0,0,0,0,0
5515,2023-01-20 10:50:06.542741,126567257,1495,1341,1618,1505,1505,1505,1055,1054,0,0,0,0,0,0
5551,2023-01-20 10:50:06.642777,126667328,1505,1335,1613,1506,1505,1505,1054,1055,0,0,0,0,0,0
5581,2023-01-20 10:50:06.742658,126767273,1505,1328,1598,1505,1506,1505,1054,1054,0,0,0,0,0,0
5615,2023-01-20 10:50:06.842579,126867269,1506,1342,1596,1505,1505,1505,1055,1054,0,0,0,0,0,0
5645,2023-01-20 10:50:06.942481,126967260,1505,1311,1606,1505,1506,1505,1054,1054,0,0,0,0,0,0
5678,2023-01-20 10:50:07.042486,127067325,1505,1306,1567,1505,1506,1505,1054,1054,0,0,0,0,0,0
5710,2023-01-20 10:50:07.142413,127167270,1505,1300,1562,1505,1506,1505,1054,1054,0,0,0,0,0,0
5743,2023-01-20 10:50:07.242415,127267255,1505,1301,1575,1505,1505,1506,1054,1054,0,0,0,0,0,0
5773,2023-01-20 10:50:07.342764,127367541,1505,1317,1572,1505,1505,1506,1054,1054,0,0,0,0,0,0
5806,2023-01-20 10:50:07.442461,127467239,1505,1327,1572,1506,1505,1505,1054,1054,0,0,0,0,0,0
5838,2023-01-20 10:50:07.542386,127567250,1505,1321,1573,1506,1505,1505,1054,1054,0,0,0,0,0,0
5874,2023-01-20 10:50:07.647150,127667287,1502,1312,1594,1505,1505,1505,1055,1054,0,0,0,0,0,0
5904,2023-01-20 10:50:07.758394,127767261,1505,1300,1598,1505,1505,1506,1054,1054,0,0,0,0,0,0
5938,2023-01-20 10:50:07.856840,127867260,1498,1283,1621,1505,1506,1505,1054,1054,0,0,0,0,0,0
5970,2023-01-20 10:50:07.947629,127967262,1505,1288,1618,1506,1505,1505,1054,1054,0,0,0,0,0,0
6003,2023-01-20 10:50:08.042317,128067273,1504,1305,1616,1505,1505,1505,1055,1054,0,0,0,0,0,0
6035,2023-01-20 10:50:08.142356,128167330,1505,1317,1633,1506,1505,1505,1054,1054,0,0,0,0,0,0
6068,2023-01-20 10:50:08.242281,128267248,1505,1351,1633,1506,1505,1505,1054,1054,0,0,0,0,0,0
6098,2023-01-20 10:50:08.342617,128367542,1505,1361,1636,1505,1505,1505,1054,1055,0,0,0,0,0,0
6131,2023-01-20 10:50:08.442348,128467252,1497,1347,1640,1505,1505,1506,1054,1054,0,0,0,0,0,0
6163,2023-01-20 10:50:08.542348,128567258,1496,1342,1623,1505,1505,1506,1054,1054,0,0,0,0,0,0
6199,2023-01-20 10:50:08.642367,128667285,1497,1345,1622,1505,1505,1506,1054,1054,0,0,0,0,0,0
6229,2023-01-20 10:50:08.742327,128767253,1497,1343,1625,1505,1505,1506,1054,1054,0,0,0,0,0,0
6263,2023-01-20 10:50:08.842417,128867306,1501,1350,1622,1505,1505,1506,1054,1054,0,0,0,0,0,0
6296,2023-01-20 10:50:08.942460,128967251,1505,1356,1633,1505,1506,1505,1054,1054,0,0,0,0,0,0
6329,2023-01-20 10:50:09.042553,129067272,1505,1358,1637,1506,1505,1505,1054,1055,0,0,0,0,0,0
6361,2023-01-20 10:50:09.142594,129167274,1506,1376,1628,1505,1505,1506,1054,1054,0,0,0,0,0,0
6394,2023-01-20 10:50:09.242521,129267255,1505,1381,1622,1506,1505,1505,1054,1054,0,0,0,0,0,0
6424,2023-01-20 10:50:09.342606,129367521,1505,1446,1607,1505,1506,1505,1054,1054,0,0,0,0,0,0
