LineNo,UTC_Approx,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
3477,2023-01-20 10:50:00.442652,120444730,0,-0.00442171,-0.01590458,-0.06569656,0.2166458,0.3801754,-9.910365,0,0,26.91748,1,1,7975,996
3509,2023-01-20 10:50:00.482350,120484425,0,0.007971266,-0.003762239,-0.03478389,-0.06951882,0.07282718,-9.919928,0,0,26.91796,1,1,7975,996
3513,2023-01-20 10:50:00.522367,120524439,0,-0.006350788,0.01533754,0.08357281,-0.1223619,0.1251853,-9.847001,0,0,26.9193,1,1,7975,996
3524,2023-01-20 10:50:00.562470,120564540,0,-0.004869203,-0.007801663,-0.009544698,0.1610841,0.3949716,-9.885681,0,0,26.92097,1,1,7975,996
3554,2023-01-20 10:50:00.602391,120604458,0,0.005652607,-0.01506398,-0.05706541,0.02133159,0.2223251,-9.937105,0,0,26.92315,1,1,7975,996
3558,2023-01-20 10:50:00.642675,120644747,0,0.0003604683,0.002472874,0.05478087,-0.1036432,0.03542166,-9.865261,0,0,26.92502,1,1,7975,996
3592,2023-01-20 10:50:00.682356,120684433,0,-0.01215998,0.008736246,0.02951217,0.09313911,0.2659676,-9.837082,0,0,26.92712,1,1,7975,996
3596,2023-01-20 10:50:00.722340,120724422,0,-0.01007581,-0.007930975,-0.03496708,0.05218625,0.2846363,-9.919703,0,0,26.92855,1,1,7975,996
3606,2023-01-20 10:50:00.762480,120764566,0,-0.001401938,-0.01496066,-0.003853607,-0.06008421,0.1794497,-9.914126,0,0,26.92955,1,1,7975,996
3635,2023-01-20 10:50:00.802341,120804432,0,-0.0007082414,0.002047127,0.007976824,0.1065422,0.1832283,-9.832816,0,0,26.9302,1,1,7975,996
3640,2023-01-20 10:50:00.842629,120844728,0,0.00651055,0.000498388,0.01521131,-0.01970533,0.2116339,-9.911885,0,0,26.93038,1,1,7975,996
3671,2023-01-20 10:50:00.882329,120884435,0,-0.01349216,-0.0106804,0.004663275,-0.04954581,0.2168608,-9.913047,0,0,26.92964,1,1,7975,996
3675,2023-01-20 10:50:00.922352,120924466,0,-0.007822934,-0.004482062,-0.04962225,0.148521,0.2598588,-9.854141,0,0,26.92915,1,1,7975,996
3684,2023-01-20 10:50:00.962480,120964601,0,0.004035155,-0.002251019,0.004327398,-0.07960742,0.1100801,-9.894958,0,0,26.92925,1,1,7975,996
3710,2023-01-20 10:50:01.002286,121004414,0,0.004728392,0.00720068,0.05712651,-0.08472682,0.1477483,-9.872339,0,0,26.9289,1,1,7975,996
3711,2023-01-20 10:50:01.042729,121044854,0,-0.008793663,-0.003746382,-0.0356032,0.1957148,0.4163711,-9.887712,0,0,26.92885,1,1,7975,996
3740,2023-01-20 10:50:01.082326,121084449,0,-0.006985228,-0.01410786,-0.05884654,0.04225046,0.1889154,-9.915476,0,0,26.92959,1,1,7975,996
3741,2023-01-20 10:50:01.122375,121124495,0,0.01522665,0.003701397,0.04501711,-0.1719822,0.002133433,-9.882988,0,0,26.93023,1,1,7975,996
3747,2023-01-20 10:50:01.162491,121164608,0,4.305847E-05,0.01179691,0.04310979,0.07867805,0.2939333,-9.82712,0,0,26.93028,1,1,7975,996
3775,2023-01-20 10:50:01.202370,121204486,0,-0.0114213,0.0006528652,-0.002797985,0.1339337,0.3417431,-9.938069,0,0,26.93083,1,1,7975,996
3776,2023-01-20 10:50:01.242678,121244816,0,-0.004810232,-0.02646569,-0.03311577,-0.03550383,0.1164589,-9.907043,0,0,26.93191,1,1,7975,996
3805,2023-01-20 10:50:01.282311,121284470,0,-0.02149547,-0.02855553,-0.03497963,-0.0516582,0.2232699,-9.877663,0,0,26.93289,1,1,7975,996
3806,2023-01-20 10:50:01.322321,121324502,0,0.002575131,-0.008877728,-0.03343665,0.0605844,0.206018,-9.864353,0,0,26.93376,1,1,7975,996
3812,2023-01-20 10:50:01.362421,121364624,0,0.003629322,-0.05110304,0.01370354,0.04453432,0.1426543,-9.898127,0,0,26.93451,1,1,7975,996
3838,2023-01-20 10:50:01.402285,121404507,0,0.03648512,-0.02260014,0.006043,0.04536759,0.2793983,-9.851946,0,0,26.93484,1,1,7975,996
3839,2023-01-20 10:50:01.442658,121444859,0,-0.08314097,0.09353174,-0.02077377,0.06901263,0.1239107,-9.935913,0,0,26.9349,1,1,7975,996
3867,2023-01-20 10:50:01.482281,121484462,0,0.06175956,-0.08192168,0.04311614,0.01863497,0.2810822,-9.873409,0,0,26.93459,1,1,7975,996
3869,2023-01-20 10:50:01.522382,121524542,0,0.04085384,-0.06076214,-0.01332291,-0.02731963,0.3426937,-9.838813,0,0,26.93452,1,1,7975,996
3877,2023-01-20 10:50:01.562471,121564610,0,0.04454993,-0.0135887,0.01835256,-0.09560848,0.3688059,-9.808229,0,0,26.9346,1,1,7975,996
