LineNo,UTC_Approx,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
3924,2023-01-20 10:50:01.665126,121667245,-2.09,0.46,218.3,734.54,39.8043843,32.3788027,-0.3280887,0.002178997,-0.01856222,0.944462
3955,2023-01-20 10:50:01.765369,121767486,-2.15,0.31,217.97,733.54,39.8043843,32.3788026,-0.3253853,0.003499698,-0.01867509,0.9453906
3988,2023-01-20 10:50:01.865319,121867484,-2.07,0.41,218.82,733.78,39.8043839,32.378803,-0.3324025,0.002556993,-0.01826537,0.9429572
4020,2023-01-20 10:50:01.965275,121967516,-1.26,0.68,219.35,732.92,39.8043838,32.378803,-0.3368168,-0.001940093,-0.01242903,0.9414861
4052,2023-01-20 10:50:02.065262,122067486,-0.49,0.95,219.57,733.31,39.8043839,32.3788034,-0.3385354,-0.006355273,-0.006918547,0.9409068
4085,2023-01-20 10:50:02.165349,122167507,0.29,0.89,219.58,734.02,39.804384,32.3788034,-0.3386118,-0.008252814,-0.0002182883,0.9408899
4117,2023-01-20 10:50:02.265405,122267541,0.09,0.09,219.46,735.1,39.804384,32.3788042,-0.3376776,-0.001044403,0.0004903799,0.9412612
4148,2023-01-20 10:50:02.365333,122367471,-0.22,-0.18,219.33,735.29,39.8043841,32.3788045,-0.3365607,0.002144012,-0.001324308,0.9416584
4180,2023-01-20 10:50:02.465075,122467474,0.17,-0.63,219.46,735.29,39.8043838,32.3788042,-0.3376123,0.004694638,0.003321048,0.9412677
4213,2023-01-20 10:50:02.564451,122567246,-0.16,-0.7,219.84,735.44,39.8043839,32.3788042,-0.3407491,0.006280333,0.0007533086,0.9401329
4249,2023-01-20 10:50:02.664300,122667213,-0.41,-0.76,220.33,735.39,39.8043838,32.3788037,-0.3447926,0.007521437,-0.001106732,0.9386481
4279,2023-01-20 10:50:02.764329,122767205,-0.25,-0.41,220.82,735.49,39.8043838,32.3788036,-0.3488191,0.00416698,-0.0008169967,0.9371805
4314,2023-01-20 10:50:02.864341,122867220,0.11,0.1,221.15,735.47,39.8043841,32.3788047,-0.3514666,-0.001221352,0.0005811714,0.9361994
4344,2023-01-20 10:50:02.964235,122967139,0.19,0.02,221.25,735.57,39.8043841,32.378805,-0.3523449,-0.000759253,0.001503826,0.9358687
4377,2023-01-20 10:50:03.064239,123067153,0.19,-0.42,221.14,735.63,39.8043824,32.3788056,-0.351405,0.002901273,0.002878222,0.9362146
4409,2023-01-20 10:50:03.164348,123167264,0.48,-0.2,220.86,735.65,39.8043819,32.3788059,-0.3491125,0.0001637691,0.004592989,0.9370696
4442,2023-01-20 10:50:03.264217,123267130,0.86,0.59,220.62,735.55,39.8043827,32.3788067,-0.3471139,-0.007488963,0.00532217,0.9377779
4472,2023-01-20 10:50:03.364242,123367150,1.32,1.18,220.73,735.64,39.8043826,32.3788071,-0.3479337,-0.01369185,0.007294916,0.9373907
4505,2023-01-20 10:50:03.464243,123467140,1.91,0.89,221.08,735.56,39.8043817,32.3788065,-0.3507757,-0.0131719,0.01293775,0.9362774
4537,2023-01-20 10:50:03.564235,123567119,2.4,0.34,221.61,735.71,39.8043815,32.3788065,-0.3551076,-0.01026309,0.01852009,0.9345856
4573,2023-01-20 10:50:03.664338,123667219,2.21,0.08,222.21,735.72,39.8043814,32.3788059,-0.3600365,-0.007691502,0.01776978,0.9327372
4603,2023-01-20 10:50:03.764323,123767208,2.08,0.1,222.77,735.78,39.8043812,32.3788057,-0.3646426,-0.007455301,0.01659529,0.9309698
4637,2023-01-20 10:50:03.864462,123867148,1.72,0.22,223.09,735.87,39.8043815,32.3788046,-0.3672409,-0.007386019,0.01329139,0.9300016
4669,2023-01-20 10:50:03.964857,123967231,1.23,0.42,223.33,735.96,39.8043816,32.3788041,-0.3691654,-0.007447257,0.008609884,0.9292939
4702,2023-01-20 10:50:04.064916,124067137,0.44,0.6,223.14,735.96,39.8043831,32.3788037,-0.367647,-0.006360328,0.001652928,0.9299422
4734,2023-01-20 10:50:04.165072,124167226,-1.25,1,222.62,736.1,39.8043836,32.3788033,-0.3635077,-0.004208329,-0.01336208,0.9314859
4767,2023-01-20 10:50:04.265097,124267230,-3.13,1.04,222.12,736.08,39.804384,32.3788033,-0.3595082,0.001286222,-0.02878143,0.9326971
4797,2023-01-20 10:50:04.365001,124367138,-4.31,0.16,221.73,736.16,39.8043845,32.3788029,-0.3560512,0.01207955,-0.03571676,0.9337054
4830,2023-01-20 10:50:04.464950,124467115,-5.1,-0.35,221.39,736.23,39.804384,32.3788037,-0.3529941,0.01866394,-0.04057327,0.934559
4863,2023-01-20 10:50:04.564939,124567144,-4.54,-0.66,220.94,736.33,39.8043843,32.3788037,-0.3493169,0.01928908,-0.03511345,0.9361478
4899,2023-01-20 10:50:04.664967,124667158,-2.96,-0.47,220.52,736.5,39.8043846,32.3788032,-0.3461276,0.01281843,-0.02283893,0.9378217
4929,2023-01-20 10:50:04.765009,124767158,-1.65,-0.37,219.86,736.54,39.804385,32.378803,-0.3408209,0.007981841,-0.01242932,0.9400122
4963,2023-01-20 10:50:04.865080,124867245,-0.95,-0.34,219,736.67,39.8043839,32.3788024,-0.3337966,0.005628242,-0.006887984,0.9426031
4993,2023-01-20 10:50:04.964923,124967135,-1.48,-0.25,218.67,736.63,39.8043839,32.3788021,-0.3311201,0.00641623,-0.0114868,0.9434969
5026,2023-01-20 10:50:05.065019,125067216,-2.34,0.13,219.1,736.71,39.8043838,32.3788033,-0.3346083,0.005735578,-0.01967358,0.9421344
5058,2023-01-20 10:50:05.165065,125167214,-2.83,0.59,219.92,736.85,39.8043838,32.3788035,-0.3414378,0.003581561,-0.02500818,0.9395648
5091,2023-01-20 10:50:05.264994,125267129,-2.8,0.81,220.87,736.98,39.8043835,32.3788034,-0.3492145,0.001903395,-0.02540693,0.9366964
5121,2023-01-20 10:50:05.365383,125367523,-2.35,0.91,221.48,737.03,39.8043834,32.3788035,-0.3542186,-0.000159461,-0.02204265,0.9349028
5154,2023-01-20 10:50:05.465002,125467135,-1.48,1.36,221.71,737.07,39.8043836,32.3788043,-0.3561841,-0.006526642,-0.01630975,0.9342507
5186,2023-01-20 10:50:05.565021,125567140,-1.04,1.46,221.43,737.14,39.8043836,32.3788046,-0.3538364,-0.008761268,-0.01302981,0.9351755
5223,2023-01-20 10:50:05.665102,125667215,-0.83,0.35,220.88,737.22,39.804383,32.3788041,-0.3493253,-0.0003741542,-0.007928436,0.9369678
5253,2023-01-20 10:50:05.765380,125767490,-0.52,-0.9,220.08,737.39,39.8043828,32.378804,-0.3426933,0.008969785,-0.001638406,0.9394031
5287,2023-01-20 10:50:05.859450,125867492,-0.42,-1.79,219.13,737.54,39.8043818,32.3788055,-0.3348772,0.01600389,0.001747571,0.9421242
5317,2023-01-20 10:50:05.950352,125967467,-0.06,-1.59,218.09,737.65,39.8043814,32.3788059,-0.3263017,0.01331747,0.003988831,0.9451634
5350,2023-01-20 10:50:06.045434,126067488,-0.04,-1.37,216.93,737.75,39.8043817,32.3788054,-0.3167774,0.01155002,0.003422805,0.9484234
5382,2023-01-20 10:50:06.145199,126167217,0.47,-1.4,215.75,737.83,39.8043817,32.3788053,-0.3070616,0.0103685,0.007714925,0.9516019
5415,2023-01-20 10:50:06.244587,126267143,0.53,-1.57,214.79,738.01,39.8043815,32.3788048,-0.2990603,0.01172499,0.008599009,0.9541234
5447,2023-01-20 10:50:06.343651,126367445,-0.15,-1.89,214.55,738.11,39.8043813,32.3788045,-0.2969318,0.01618532,0.003606027,0.9547547
5480,2023-01-20 10:50:06.442627,126467131,-1.13,-1.97,215.15,738.34,39.8043812,32.3788045,-0.3018253,0.01941071,-0.004241311,0.9531562
5512,2023-01-20 10:50:06.542626,126567142,-2.58,-2.26,216.02,738.49,39.8043811,32.3788042,-0.3087192,0.02578503,-0.01531611,0.9506803
5548,2023-01-20 10:50:06.642711,126667262,-3.13,-3.06,216.71,738.46,39.804379,32.3788046,-0.3140341,0.03398285,-0.01755737,0.9486409
5578,2023-01-20 10:50:06.742531,126767146,-3.07,-3.53,216.87,738.49,39.8043782,32.3788047,-0.315239,0.03774974,-0.01568768,0.9481314
5612,2023-01-20 10:50:06.842461,126867151,-2.16,-3.6,216.48,738.57,39.8043776,32.3788037,-0.3123108,0.03579013,-0.008046788,0.9492714
5642,2023-01-20 10:50:06.942364,126967144,-0.51,-2.92,215.57,738.64,39.8043767,32.3788034,-0.305303,0.02570652,0.003503016,0.9519018
5675,2023-01-20 10:50:07.042420,127067259,-0.04,-3.11,214.66,738.7,39.8043761,32.3788026,-0.297795,0.02609895,0.007718295,0.9542418
5707,2023-01-20 10:50:07.142298,127167154,-0.04,-3.11,214.06,738.82,39.8043753,32.3788023,-0.2928461,0.02606415,0.007616713,0.9557739
5740,2023-01-20 10:50:07.242300,127267140,-0.3,-3.15,213.85,738.94,39.8043751,32.3788007,-0.2910014,0.02714608,0.005496061,0.9563216
5770,2023-01-20 10:50:07.342695,127367472,-0.6,-3.02,213.95,738.86,39.8043744,32.3787999,-0.2918156,0.02673856,0.002675496,0.956097
5803,2023-01-20 10:50:07.442395,127467173,-0.75,-2.49,214.12,738.83,39.8043724,32.3787999,-0.29319,0.02277797,9.959621E-05,0.9557828
5835,2023-01-20 10:50:07.542271,127567135,-0.58,-2.08,214.3,738.77,39.8043713,32.3787993,-0.2947997,0.01885202,0.0004819327,0.9553729
5871,2023-01-20 10:50:07.647076,127667221,-0.73,-1.91,214.41,738.81,39.8043691,32.378799,-0.2956907,0.01785345,-0.001213075,0.9551161
5901,2023-01-20 10:50:07.758261,127767142,-0.61,-2.31,214.49,738.87,39.8043677,32.3787984,-0.296351,0.02086201,0.0008847872,0.9548508
5935,2023-01-20 10:50:07.856735,127867145,-0.37,-2.87,214.61,739,39.8043665,32.378798,-0.2973189,0.02493193,0.004300127,0.954443
5967,2023-01-20 10:50:07.947524,127967147,-0.22,-3.58,214.8,739.05,39.8043653,32.3787974,-0.2988769,0.03042644,0.007495996,0.953777
6000,2023-01-20 10:50:08.042196,128067152,0.08,-3.75,215.02,739.01,39.8043633,32.3787962,-0.3007869,0.0310474,0.01055705,0.9531274
6032,2023-01-20 10:50:08.142286,128167260,0.56,-3.35,215.27,738.98,39.8043617,32.3787953,-0.3030217,0.02639578,0.01358613,0.9525211
6065,2023-01-20 10:50:08.242165,128267132,0.94,-2.43,215.69,739.05,39.80436,32.3787938,-0.3065765,0.01771922,0.01433574,0.9515731
6095,2023-01-20 10:50:08.342544,128367469,1.1,-0.82,216.5,738.99,39.8043583,32.3787927,-0.313262,0.003812383,0.01139504,0.9495907
6128,2023-01-20 10:50:08.442233,128467137,1.14,-0.03,217.37,738.93,39.8043569,32.3787916,-0.3204411,-0.002933343,0.009560687,0.9472157
6160,2023-01-20 10:50:08.542224,128567134,1.11,-0.05,217.95,739.01,39.8043554,32.3787904,-0.3251741,-0.002673635,0.009373307,0.9456039
6196,2023-01-20 10:50:08.642301,128667219,1.15,-0.58,218.22,739.07,39.8043546,32.3787888,-0.3274913,0.001544759,0.01123943,0.9447861
6226,2023-01-20 10:50:08.742206,128767132,0.94,-1.16,218.25,739.13,39.8043533,32.3787875,-0.3277808,0.006917055,0.01113357,0.9446629
6260,2023-01-20 10:50:08.842350,128867240,0.62,-1.75,217.96,739.18,39.8043516,32.3787859,-0.3252985,0.01272538,0.01012052,0.9454716
6293,2023-01-20 10:50:08.942340,128967132,-0.09,-1.91,217.52,739.23,39.8043503,32.3787844,-0.3215902,0.01613339,0.004581543,0.9467304
6326,2023-01-20 10:50:09.042427,129067146,-1.04,-1.93,217.2,739.28,39.8043478,32.3787826,-0.3188139,0.01893704,-0.003248649,0.9476226
6358,2023-01-20 10:50:09.142478,129167158,-1.66,-1.83,217.24,739.33,39.804346,32.3787809,-0.3190859,0.01979389,-0.008626304,0.9474798
6391,2023-01-20 10:50:09.242406,129267140,-1.8,-0.95,217.61,739.46,39.8043437,32.378779,-0.3222453,0.01296387,-0.01218181,0.946489
6421,2023-01-20 10:50:09.342536,129367451,-1.86,-0.22,218.09,739.45,39.8043417,32.3787773,-0.3263078,0.00714305,-0.01475765,0.9451213
6454,2023-01-20 10:50:09.442210,129467749,-1.67,1.56,218.73,739.63,39.8043398,32.378776,-0.3317673,-0.008067849,-0.01832923,0.9431487
6486,2023-01-20 10:50:09.541111,129567870,-1.05,3.36,219.61,739.71,39.8043378,32.3787744,-0.3389629,-0.02451275,-0.01862745,0.9402959
6522,2023-01-20 10:50:09.640393,129667880,-0.16,4.11,220.61,739.74,39.8043368,32.3787736,-0.3469349,-0.03314961,-0.01383688,0.937201
6552,2023-01-20 10:50:09.740369,129767857,0.21,4.1,221.37,739.83,39.8043351,32.3787722,-0.3530094,-0.03411932,-0.01090929,0.9349338
6586,2023-01-20 10:50:09.840435,129867933,0.45,3.63,221.94,739.85,39.804333,32.3787702,-0.3576105,-0.03103363,-0.007675434,0.9333234
6617,2023-01-20 10:50:09.940352,129967872,0.53,3.18,222.28,739.9,39.8043312,32.3787685,-0.3604117,-0.02756798,-0.005698628,0.9323685
6650,2023-01-20 10:50:10.040356,130067879,0.17,3.02,222.44,740.04,39.8043301,32.3787682,-0.3618111,-0.02517601,-0.008152627,0.9318758
6682,2023-01-20 10:50:10.140464,130167962,0,2.62,222.63,740.09,39.8043284,32.378767,-0.3634816,-0.02132382,-0.008398499,0.9313194
