LineNo,UTC_Approx,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
3718,2023-01-20 10:50:01.064822,121066946,10.16466,-0.3616061,0.03041606,-0.8297441,0.1788498,-0.003522673,-0.08725085,4.52334,-0.0004761238,-3.061581,-3.061581,0
3749,2023-01-20 10:50:01.164813,121166930,10.80826,0.8006863,0.02379591,-3.027435,0.8211641,-0.01504056,-0.07366121,0.9816176,-0.0008753546,-4.352379,-4.352379,0.009830551
3783,2023-01-20 10:50:01.264792,121266942,10.45095,-0.2663429,0.03281604,-2.976174,-0.6248544,-0.006543804,-0.03824513,-0.03532144,-4.172215E-05,4.586983,4.586983,0.04682498
3814,2023-01-20 10:50:01.364780,121366984,9.918685,0.9320586,0.02565425,-2.78395,-2.279967,0.005110572,-0.002442976,0.5633857,-0.0002188409,1.265812,1.265812,0.09307861
3846,2023-01-20 10:50:01.464725,121466915,7.983705,2.17228,0.008622961,-3.844516,-3.176295,0.02371111,0.01113944,-0.8541188,0.0004984173,-10.91366,-10.91366,0.1420179
3879,2023-01-20 10:50:01.564789,121566927,8.105933,2.37328,0.01886547,-5.207878,-1.010498,-0.0002578283,-0.02926032,2.449708,8.248582E-05,-12.49771,-12.49771,0.1917365
3912,2023-01-20 10:50:01.664842,121666961,9.066668,-1.837147,0.06397107,-2.095655,1.3018,-0.02564658,0.3818797,-2.141515,0.0004062667,-7.81908,-7.81908,0.2416762
3945,2023-01-20 10:50:01.765181,121767298,11.86066,-2.690488,0.06666366,-1.741231,-3.370864,0.01254136,1.798104,3.473211,0.00936994,-18.47324,-18.47324,0.291681
3978,2023-01-20 10:50:01.865131,121867296,13.99032,3.676247,0.05719581,-4.194638,8.66805,-0.06831483,-2.162757,7.31641,-0.01794452,32.29971,32.29971,0.3417084
4010,2023-01-20 10:50:01.965086,121967327,10.88763,13.77793,-0.004064551,-6.685842,6.72599,-0.06816964,-4.526685,2.276024,-0.02452089,115.6263,146.4077,0.389585
4042,2023-01-20 10:50:02.065074,122067298,5.583247,4.252896,0.02993261,-9.254019,-8.605717,0.03824542,-5.551434,3.042524,-0.02384789,24.14381,223.2136,0.3626511
4073,2023-01-20 10:50:02.165136,122167294,-2.06335,5.440692,0.01088251,-11.15553,0.5958973,-0.08819215,-5.736886,-1.045214,-0.02078102,-85.1185,105.8331,0.3168576
4107,2023-01-20 10:50:02.265212,122267348,2.264291,-1.919409,0.008076983,-8.422937,-3.014592,-0.05342432,-5.137393,-1.606266,-0.01686839,-154.3898,-27.75002,0.3097448
4138,2023-01-20 10:50:02.365145,122367283,3.995261,3.281109,0.002795439,-6.26978,-0.6598579,-0.03538478,-4.579689,-0.7087213,-0.0142109,-180.5918,-56.84481,0.3014992
4170,2023-01-20 10:50:02.464891,122467289,1.357517,-1.585333,0.05952096,2.66678,-8.789981,0.0523835,-5.210215,2.881871,-0.01905529,-178.2842,-67.94434,0.2928091
4203,2023-01-20 10:50:02.564197,122566991,4.693025,-9.755941,0.07659102,4.833135,6.746738,-0.05677228,-6.894612,3.671883,-0.029329,-165.7318,-70.8952,0.2905399
4237,2023-01-20 10:50:02.664003,122666916,6.54874,-1.323143,0.04460709,4.472779,2.644349,-0.02920742,-9.116682,3.886988,-0.0393027,-138.4706,-84.86328,0.2957829
4269,2023-01-20 10:50:02.764081,122766957,5.695634,1.758636,0.05370723,3.974324,9.239279,-0.04206523,-11.32677,3.917577,-0.04695464,-103.9168,-75.15564,0.30211
4303,2023-01-20 10:50:02.864070,122866949,5.903985,1.47619,0.03773614,-1.240396,7.365527,-0.07652362,-12.80344,0.9406722,-0.04934279,-67.78139,-46.39645,0.3118128
