LineNo,UTC_Approx,TimeUS,Id,Value
98939,2023-01-20 10:54:50.954679,411562531,7,4203896
99267,2023-01-20 10:54:51.954715,412562541,7,4203896
99593,2023-01-20 10:54:52.954681,413562534,7,4203896
99922,2023-01-20 10:54:53.954670,414562527,7,4203896
100249,2023-01-20 10:54:54.954732,415562581,7,4203896
100576,2023-01-20 10:54:55.940610,416562533,7,4203896
100903,2023-01-20 10:54:56.934584,417562602,7,4203896
101230,2023-01-20 10:54:57.934477,418562559,7,4203896
101606,2023-01-20 10:54:58.934457,419562552,7,4203896
101932,2023-01-20 10:54:59.934458,420562554,7,4203896
102258,2023-01-20 10:55:00.934431,421562528,7,4203896
102586,2023-01-20 10:55:01.934443,422562541,7,4203896
102912,2023-01-20 10:55:02.934439,423562535,7,4203896
103240,2023-01-20 10:55:03.934413,424562537,7,4203896
103568,2023-01-20 10:55:04.927302,425562521,7,4203896
103894,2023-01-20 10:55:05.922490,426562533,7,4203896
104222,2023-01-20 10:55:06.914796,427562525,7,4203896
104548,2023-01-20 10:55:07.914706,428562551,7,4203896
104877,2023-01-20 10:55:08.914694,429562551,7,4203896
105203,2023-01-20 10:55:09.914747,430562592,7,4203896
105530,2023-01-20 10:55:10.914693,431562530,7,4203896
105856,2023-01-20 10:55:11.914758,432562579,7,4203896
106185,2023-01-20 10:55:12.914708,433562531,7,4203896
106513,2023-01-20 10:55:13.914738,434562533,7,4203896
106890,2023-01-20 10:55:14.914738,435562538,7,4203896
107216,2023-01-20 10:55:15.894822,436562585,7,4203896
107543,2023-01-20 10:55:16.894796,437562558,7,4203896
107870,2023-01-20 10:55:17.894773,438562563,7,4203896
108198,2023-01-20 10:55:18.894758,439562550,7,4203896
108524,2023-01-20 10:55:19.894739,440562542,7,4203896
108850,2023-01-20 10:55:20.894738,441562548,7,4203896
109177,2023-01-20 10:55:21.894747,442562539,7,4203896
109504,2023-01-20 10:55:22.894757,443562538,7,4203896
109833,2023-01-20 10:55:23.894720,444562563,7,4203896
110160,2023-01-20 10:55:24.883170,445562580,7,4203896
