LineNo,UTC_Approx,TimeUS,Active,NumPts,MaxPts,Action,N,E,D
22573,2023-01-20 10:50:58.776939,178904970,1,34,300,0,30.61604,148.6455,-28.7381
22675,2023-01-20 10:50:59.109389,179237485,1,35,300,0,31.23055,150.9661,-28.93054
22801,2023-01-20 10:50:59.441878,179569959,1,36,300,0,31.858,153.2486,-29.13919
22901,2023-01-20 10:50:59.776954,179904975,1,37,300,0,32.45192,155.5311,-29.36756
23001,2023-01-20 10:51:00.109373,180237492,1,38,300,0,33.02254,157.8057,-29.60777
23127,2023-01-20 10:51:00.441872,180569943,1,39,300,0,33.48753,160.0322,-29.90697
23226,2023-01-20 10:51:00.776885,180904973,1,40,300,0,33.92004,162.2374,-30.2108
23327,2023-01-20 10:51:01.109403,181237487,1,41,300,0,34.34776,164.394,-30.51593
23453,2023-01-20 10:51:01.441857,181569933,1,42,300,0,34.89218,166.6115,-30.80716
23552,2023-01-20 10:51:01.776921,181904995,1,43,300,0,35.5696,168.8655,-31.06713
23653,2023-01-20 10:51:02.109350,182237471,1,44,300,0,36.21454,171.1516,-31.29977
23779,2023-01-20 10:51:02.441878,182569947,1,45,300,0,36.8482,173.4213,-31.51393
23878,2023-01-20 10:51:02.776860,182904981,1,46,300,0,37.48352,175.7095,-31.71356
23979,2023-01-20 10:51:03.109398,183237487,1,47,300,0,38.15683,177.9799,-31.90755
24105,2023-01-20 10:51:03.441906,183569995,1,48,300,0,38.79656,180.2656,-32.12111
24204,2023-01-20 10:51:03.776982,183905045,1,49,300,0,39.34084,182.5165,-32.34411
24308,2023-01-20 10:51:04.109382,184237475,1,50,300,0,39.85831,184.7659,-32.54395
24437,2023-01-20 10:51:04.441881,184569957,1,51,300,0,40.39109,187.0673,-32.73857
24536,2023-01-20 10:51:04.776853,184904962,1,52,300,0,40.97409,189.3741,-32.96841
24636,2023-01-20 10:51:05.109388,185237474,1,53,300,0,41.608,191.6857,-33.21413
24763,2023-01-20 10:51:05.441861,185569963,1,54,300,0,42.21338,193.9811,-33.47657
24862,2023-01-20 10:51:05.776958,185905027,1,55,300,0,42.88158,196.2778,-33.72929
24962,2023-01-20 10:51:06.109402,186237486,1,56,300,0,43.58411,198.5397,-33.95083
25089,2023-01-20 10:51:06.438148,186569981,1,57,300,0,44.23463,200.8222,-34.15344
25188,2023-01-20 10:51:06.757172,186904969,1,58,300,0,44.76399,203.1291,-34.35206
25189,2023-01-20 10:51:06.759921,186907721,1,58,300,2,15.92797,92.35486,-22.77747
25190,2023-01-20 10:51:06.759934,186907734,1,58,300,2,16.53819,94.57011,-23.06985
25191,2023-01-20 10:51:06.759947,186907747,1,58,300,2,17.18444,96.77983,-23.3339
25192,2023-01-20 10:51:06.760017,186907817,1,58,300,2,17.76936,98.99675,-23.5866
25193,2023-01-20 10:51:06.760030,186907830,1,58,300,2,18.2966,101.1908,-23.84896
25194,2023-01-20 10:51:06.760044,186907844,1,58,300,2,19.01915,103.4003,-24.09408
25195,2023-01-20 10:51:06.760057,186907857,1,58,300,2,19.73035,105.6411,-24.33887
25196,2023-01-20 10:51:06.760070,186907870,1,58,300,2,20.36018,107.8995,-24.58877
25197,2023-01-20 10:51:06.760088,186907888,1,58,300,2,20.9688,110.1453,-24.82204
25198,2023-01-20 10:51:06.760101,186907901,1,58,300,2,21.52454,112.4369,-24.98818
25199,2023-01-20 10:51:06.760114,186907914,1,58,300,2,22.11551,114.8286,-25.08941
25200,2023-01-20 10:51:06.760127,186907927,1,58,300,2,22.73805,117.2573,-25.17706
25201,2023-01-20 10:51:06.760141,186907941,1,58,300,2,23.33263,119.58,-25.35042
25202,2023-01-20 10:51:06.760154,186907954,1,58,300,2,23.88291,121.8824,-25.56637
25203,2023-01-20 10:51:06.760167,186907967,1,58,300,2,24.31811,124.1084,-25.79272
25204,2023-01-20 10:51:06.760181,186907981,1,58,300,2,24.7487,126.2708,-26.04812
25205,2023-01-20 10:51:06.760194,186907994,1,58,300,2,25.12014,128.4218,-26.35886
25206,2023-01-20 10:51:06.760207,186908007,1,58,300,2,25.61372,130.6157,-26.72061
25207,2023-01-20 10:51:06.760221,186908021,1,58,300,2,26.17869,132.8032,-27.03775
25208,2023-01-20 10:51:06.760234,186908034,1,58,300,2,26.77612,134.9802,-27.36452
25209,2023-01-20 10:51:06.760247,186908047,1,58,300,2,27.4179,137.2189,-27.66416
25210,2023-01-20 10:51:06.760261,186908061,1,58,300,2,28.0933,139.4832,-27.89165
25211,2023-01-20 10:51:06.760274,186908074,1,58,300,2,28.78569,141.7866,-28.10645
25212,2023-01-20 10:51:06.760287,186908087,1,58,300,2,29.40962,144.0308,-28.31671
25213,2023-01-20 10:51:06.760301,186908101,1,58,300,2,30.04793,146.3215,-28.51505
25214,2023-01-20 10:51:06.760314,186908114,1,58,300,2,30.61604,148.6455,-28.7381
25215,2023-01-20 10:51:06.760332,186908132,1,58,300,2,31.23055,150.9661,-28.93054
25216,2023-01-20 10:51:06.760345,186908145,1,58,300,2,31.858,153.2486,-29.13919
25217,2023-01-20 10:51:06.760413,186908213,1,58,300,2,32.45192,155.5311,-29.36756
