LineNo,UTC_Approx,TimeUS,Vcc,VServo,Flags,AccFlags,Safety,MTemp,MVolt,MVmin,MVmax
5596,2023-01-20 10:50:06.837416,126862102,0,0,4,4,6,0,0,0,0
5626,2023-01-20 10:50:06.937291,126962066,0,0,4,4,6,0,0,0,0
5659,2023-01-20 10:50:07.037252,127062090,0,0,4,4,6,0,0,0,0
5689,2023-01-20 10:50:07.137228,127162084,0,0,4,4,6,0,0,0,0
5724,2023-01-20 10:50:07.237252,127262096,0,0,4,4,6,0,0,0,0
5754,2023-01-20 10:50:07.337313,127362093,0,0,4,4,6,0,0,0,0
5787,2023-01-20 10:50:07.437306,127462079,0,0,4,4,6,0,0,0,0
5817,2023-01-20 10:50:07.537242,127562102,0,0,4,4,6,0,0,0,0
5853,2023-01-20 10:50:07.641409,127662128,0,0,4,4,6,0,0,0,0
5885,2023-01-20 10:50:07.752653,127762102,0,0,4,4,6,0,0,0,0
5919,2023-01-20 10:50:07.852130,127862072,0,0,4,4,6,0,0,0,0
5950,2023-01-20 10:50:07.942915,127962070,0,0,4,4,6,0,0,0,0
5984,2023-01-20 10:50:08.037192,128062147,0,0,4,4,6,0,0,0,0
6014,2023-01-20 10:50:08.137115,128162088,0,0,4,4,6,0,0,0,0
6049,2023-01-20 10:50:08.237129,128262098,0,0,4,4,6,0,0,0,0
6079,2023-01-20 10:50:08.337167,128362094,0,0,4,4,6,0,0,0,0
6112,2023-01-20 10:50:08.437182,128462085,0,0,4,4,6,0,0,0,0
6142,2023-01-20 10:50:08.537177,128562087,0,0,4,4,6,0,0,0,0
6178,2023-01-20 10:50:08.637170,128662087,0,0,4,4,6,0,0,0,0
6210,2023-01-20 10:50:08.737207,128762133,0,0,4,4,6,0,0,0,0
6244,2023-01-20 10:50:08.836849,128861744,0,0,4,4,6,0,0,0,0
6277,2023-01-20 10:50:08.936946,128961743,0,0,4,4,6,0,0,0,0
6310,2023-01-20 10:50:09.037031,129061752,0,0,4,4,6,0,0,0,0
6340,2023-01-20 10:50:09.137042,129161724,0,0,4,4,6,0,0,0,0
6375,2023-01-20 10:50:09.237101,129261826,0,0,4,4,6,0,0,0,0
6405,2023-01-20 10:50:09.336941,129361846,0,0,4,4,6,0,0,0,0
6438,2023-01-20 10:50:09.436649,129462119,0,0,4,4,6,0,0,0,0
6468,2023-01-20 10:50:09.535428,129562117,0,0,4,4,6,0,0,0,0
6504,2023-01-20 10:50:09.634649,129662136,0,0,4,4,6,0,0,0,0
6536,2023-01-20 10:50:09.734749,129762237,0,0,4,4,6,0,0,0,0
6570,2023-01-20 10:50:09.834646,129862143,0,0,4,4,6,0,0,0,0
6601,2023-01-20 10:50:09.934610,129962129,0,0,4,4,6,0,0,0,0
6634,2023-01-20 10:50:10.034715,130062239,0,0,4,4,6,0,0,0,0
6664,2023-01-20 10:50:10.134632,130162131,0,0,4,4,6,0,0,0,0
6699,2023-01-20 10:50:10.234558,130262130,0,0,4,4,6,0,0,0,0
6729,2023-01-20 10:50:10.334292,130362123,0,0,4,4,6,0,0,0,0
6762,2023-01-20 10:50:10.434454,130462464,0,0,4,4,6,0,0,0,0
6792,2023-01-20 10:50:10.534445,130562482,0,0,4,4,6,0,0,0,0
6828,2023-01-20 10:50:10.634429,130662490,0,0,4,4,6,0,0,0,0
6860,2023-01-20 10:50:10.734451,130762530,0,0,4,4,6,0,0,0,0
6893,2023-01-20 10:50:10.834376,130862497,0,0,4,4,6,0,0,0,0
6923,2023-01-20 10:50:10.934281,130962491,0,0,4,4,6,0,0,0,0
6956,2023-01-20 10:50:11.034301,131062539,0,0,4,4,6,0,0,0,0
6986,2023-01-20 10:50:11.134314,131162466,0,0,4,4,6,0,0,0,0
7022,2023-01-20 10:50:11.234365,131262462,0,0,4,4,6,0,0,0,0
7052,2023-01-20 10:50:11.334342,131362446,0,0,4,4,6,0,0,0,0
7085,2023-01-20 10:50:11.434359,131462466,0,0,4,4,6,0,0,0,0
7115,2023-01-20 10:50:11.534354,131562455,0,0,4,4,6,0,0,0,0
7151,2023-01-20 10:50:11.634379,131662476,0,0,4,4,6,0,0,0,0
