LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
38886,2023-01-20 11:10:39.204403,273699037,2,19058,369,0,6,0,0
39214,2023-01-20 11:10:40.206916,274701550,2,19142,370,0,6,0,0
39545,2023-01-20 11:10:41.209426,275704043,2,19227,371,0,6,0,0
39872,2023-01-20 11:10:42.213134,276707740,2,19311,372,0,6,0,0
40247,2023-01-20 11:10:43.214456,277709079,2,19394,373,0,6,0,0
40572,2023-01-20 11:10:44.197356,278711543,2,19478,374,0,6,0,0
40900,2023-01-20 11:10:45.217759,279714131,2,19561,375,0,6,0,0
41230,2023-01-20 11:10:46.202203,280716565,2,19646,376,0,6,0,0
41556,2023-01-20 11:10:47.205833,281720202,2,19729,377,0,6,0,0
41883,2023-01-20 11:10:48.207198,282721559,2,19818,378,0,6,0,0
42209,2023-01-20 11:10:49.209687,283724045,2,19903,379,0,6,0,0
42536,2023-01-20 11:10:50.212244,284726599,2,19988,380,0,6,0,0
42866,2023-01-20 11:10:51.214709,285729111,2,20075,381,0,6,0,0
43192,2023-01-20 11:10:52.217683,286732040,2,20158,382,0,6,0,0
43519,2023-01-20 11:10:53.219677,287734077,2,20242,383,0,6,0,0
43845,2023-01-20 11:10:54.202360,288736606,2,20325,384,0,6,0,0
44172,2023-01-20 11:10:55.204701,289739056,2,20409,385,0,6,0,0
44501,2023-01-20 11:10:56.207219,290741605,2,20493,386,0,6,0,0
44828,2023-01-20 11:10:57.212175,291746601,2,20583,387,0,6,0,0
45154,2023-01-20 11:10:58.214657,292749037,2,20670,388,0,6,0,0
45481,2023-01-20 11:10:59.217189,293751604,2,20756,389,0,6,0,0
45857,2023-01-20 11:11:00.219756,294754137,2,20839,390,0,6,0,0
46187,2023-01-20 11:11:01.223412,295757792,2,20923,391,0,6,0,0
46513,2023-01-20 11:11:02.225065,296759490,2,21006,392,0,6,0,0
46840,2023-01-20 11:11:03.208216,297761580,2,21090,393,0,6,0,0
47166,2023-01-20 11:11:04.209830,298764136,2,21173,394,0,6,0,0
47492,2023-01-20 11:11:05.212214,299766594,2,21256,395,0,6,0,0
47821,2023-01-20 11:11:06.215024,300769408,2,21341,396,0,6,0,0
48148,2023-01-20 11:11:07.217189,301771569,2,21424,397,0,6,0,0
48475,2023-01-20 11:11:08.219715,302774093,2,21508,398,0,6,0,0
48802,2023-01-20 11:11:09.222239,303776620,2,21591,399,0,6,0,0
49129,2023-01-20 11:11:10.224669,304779056,2,21675,400,0,6,0,0
49457,2023-01-20 11:11:11.227460,305781838,2,21758,401,0,6,0,0
49787,2023-01-20 11:11:12.208621,306782771,2,21844,402,0,6,0,0
50113,2023-01-20 11:11:13.209824,307784074,2,21927,403,0,6,0,0
50440,2023-01-20 11:11:14.212289,308786624,2,22011,404,0,6,0,0
50766,2023-01-20 11:11:15.214675,309789066,2,22094,405,0,6,0,0
51144,2023-01-20 11:11:16.217181,310791568,2,22179,406,0,6,0,0
51474,2023-01-20 11:11:17.220104,311794496,2,22262,407,0,6,0,0
51802,2023-01-20 11:11:18.222323,312796712,2,22345,408,0,6,0,0
52151,2023-01-20 11:11:19.224667,313799059,2,22429,409,0,6,0,0
52478,2023-01-20 11:11:20.227161,314801570,2,22512,410,0,6,0,0
52807,2023-01-20 11:11:21.229684,315804054,2,22596,411,0,6,0,0
53134,2023-01-20 11:11:22.213220,316807778,2,22679,412,0,6,0,0
53461,2023-01-20 11:11:23.214431,317809061,2,22763,413,0,6,0,0
53787,2023-01-20 11:11:24.217063,318811591,2,22846,414,0,6,0,0
