LineNo,UTC_Approx,TimeUS,Id,Value
54188,2023-01-20 11:11:25.500019,320094697,7,4203896
54513,2023-01-20 11:11:26.499807,321094457,7,4203896
54841,2023-01-20 11:11:27.499855,322094497,7,4203896
55167,2023-01-20 11:11:28.499807,323094455,7,4203896
55494,2023-01-20 11:11:29.499814,324094501,7,4203896
55821,2023-01-20 11:11:30.499954,325094582,7,4203896
56150,2023-01-20 11:11:31.480193,326094460,7,4203896
56477,2023-01-20 11:11:32.480107,327094473,7,4203896
56853,2023-01-20 11:11:33.480066,328094464,7,4203896
57179,2023-01-20 11:11:34.480068,329094463,7,4203896
57506,2023-01-20 11:11:35.480049,330094448,7,4203896
57834,2023-01-20 11:11:36.480073,331094464,7,4203896
58160,2023-01-20 11:11:37.480042,332094462,7,4203896
58487,2023-01-20 11:11:38.480071,333094477,7,4203896
58813,2023-01-20 11:11:39.480048,334094477,7,4203896
59141,2023-01-20 11:11:40.460329,335094465,7,4203896
59469,2023-01-20 11:11:41.460110,336094471,7,4203896
59795,2023-01-20 11:11:42.472838,337094511,7,4203896
60122,2023-01-20 11:11:43.460040,338094464,7,4203896
60449,2023-01-20 11:11:44.460115,339094507,7,4203896
60773,2023-01-20 11:11:45.460033,340094466,7,4203896
61099,2023-01-20 11:11:46.460059,341094456,7,4203896
61427,2023-01-20 11:11:47.460059,342094446,7,4203896
61752,2023-01-20 11:11:48.460040,343094447,7,4203896
62076,2023-01-20 11:11:49.460077,344094446,7,4203896
62401,2023-01-20 11:11:50.444694,345094446,7,4203896
62730,2023-01-20 11:11:51.440220,346094455,7,4203896
63056,2023-01-20 11:11:52.440065,347094461,7,4203896
63380,2023-01-20 11:11:53.440049,348094445,7,4203896
63707,2023-01-20 11:11:54.440038,349094431,7,4203896
64031,2023-01-20 11:11:55.440085,350094456,7,4203896
64357,2023-01-20 11:11:56.440065,351094441,7,4203896
64683,2023-01-20 11:11:57.440107,352094484,7,4203896
65011,2023-01-20 11:11:58.440058,353094434,7,4203896
65335,2023-01-20 11:11:59.420350,354094475,7,4203896
65707,2023-01-20 11:12:00.422397,355094429,7,4203896
66035,2023-01-20 11:12:01.420074,356094433,7,4203896
66362,2023-01-20 11:12:02.420074,357094440,7,4203896
66689,2023-01-20 11:12:03.420090,358094453,7,4203896
67015,2023-01-20 11:12:04.420072,359094443,7,4203896
67341,2023-01-20 11:12:05.420078,360094440,7,4203896
67670,2023-01-20 11:12:06.420063,361094430,7,4203896
67997,2023-01-20 11:12:07.420077,362094435,7,4203896
68324,2023-01-20 11:12:08.420041,363094437,7,4203896
68650,2023-01-20 11:12:09.418280,364094458,7,4203896
68977,2023-01-20 11:12:10.400135,365094689,7,4203896
69305,2023-01-20 11:12:11.400131,366094678,7,4203896
69632,2023-01-20 11:12:12.400127,367094755,7,4203896
69961,2023-01-20 11:12:13.400130,368094726,7,4203896
70288,2023-01-20 11:12:14.400127,369094772,7,4203896
70614,2023-01-20 11:12:15.400141,370094751,7,4203896
70943,2023-01-20 11:12:16.400131,371094735,7,4203896
71318,2023-01-20 11:12:17.400132,372094734,7,4203896
71645,2023-01-20 11:12:18.400127,373094731,7,4203896
71970,2023-01-20 11:12:19.380355,374094614,7,4203896
72297,2023-01-20 11:12:20.380335,375094592,7,4203896
72625,2023-01-20 11:12:21.380434,376094634,7,4203896
72951,2023-01-20 11:12:22.380073,377094433,7,4203896
73279,2023-01-20 11:12:23.380075,378094437,7,4203896
73605,2023-01-20 11:12:24.380070,379094434,7,4203896
73932,2023-01-20 11:12:25.380080,380094441,7,4203896
74260,2023-01-20 11:12:26.380084,381094447,7,4203896
74587,2023-01-20 11:12:27.380106,382094475,7,4203896
74914,2023-01-20 11:12:28.360294,383094441,7,4203896
75241,2023-01-20 11:12:29.363749,384094473,7,4203896
75568,2023-01-20 11:12:30.360035,385094417,7,4203896
75897,2023-01-20 11:12:31.360060,386094431,7,4203896
76223,2023-01-20 11:12:32.360052,387094432,7,4203896
76550,2023-01-20 11:12:33.360062,388094432,7,4203896
76925,2023-01-20 11:12:34.360062,389094444,7,4203896
77251,2023-01-20 11:12:35.360077,390094446,7,4203896
77580,2023-01-20 11:12:36.360065,391094443,7,4203896
77906,2023-01-20 11:12:37.360022,392094435,7,4203896
78234,2023-01-20 11:12:38.340233,393094443,7,4203896
78560,2023-01-20 11:12:39.340120,394094439,7,4203896
78888,2023-01-20 11:12:40.340084,395094442,7,4203896
79216,2023-01-20 11:12:41.340036,396094427,7,4203896
