LineNo,UTC_Approx,TimeUS,C,Q1,Q2,Q3,Q4
225756,2023-01-20 11:20:05.121699,840796070,0,0.9521389,0.04891519,-0.1475211,0.2632042
225789,2023-01-20 11:20:05.221687,840896071,0,0.9518331,0.04651644,-0.1511553,0.2626827
225819,2023-01-20 11:20:05.321681,840996080,0,0.952297,0.04204042,-0.1516578,0.2614631
225855,2023-01-20 11:20:05.421658,841096069,0,0.9527308,0.0416007,-0.1523631,0.2595358
225889,2023-01-20 11:20:05.521658,841196074,0,0.9533343,0.04090205,-0.1503635,0.2585954
225924,2023-01-20 11:20:05.621673,841296086,0,0.9529223,0.04386209,-0.1516151,0.2588978
225954,2023-01-20 11:20:05.721684,841396067,0,0.9524161,0.04648725,-0.151259,0.2605058
225989,2023-01-20 11:20:05.821734,841496092,0,0.9526181,0.04533496,-0.1501031,0.2606386
226019,2023-01-20 11:20:05.921728,841596080,0,0.9533731,0.0436651,-0.1465694,0.2601739
226052,2023-01-20 11:20:06.021744,841696094,0,0.9534316,0.04331659,-0.1482568,0.2590597
226086,2023-01-20 11:20:06.121722,841796084,0,0.9537632,0.0423051,-0.1483568,0.2579463
226119,2023-01-20 11:20:06.221713,841896082,0,0.9534088,0.04342573,-0.1495145,0.2584014
226149,2023-01-20 11:20:06.321713,841996071,0,0.9530645,0.04023439,-0.1530375,0.2581256
226185,2023-01-20 11:20:06.421716,842096074,0,0.9529576,0.03860651,-0.1536562,0.2584011
226217,2023-01-20 11:20:06.521696,842196090,0,0.9520531,0.04101451,-0.157528,0.2590322
226252,2023-01-20 11:20:06.621657,842296074,0,0.9514994,0.04269022,-0.1610807,0.258611
226282,2023-01-20 11:20:06.721678,842396067,0,0.9518605,0.04084519,-0.1614619,0.2573389
226316,2023-01-20 11:20:06.821716,842496080,0,0.9524954,0.03707197,-0.160936,0.2558865
226346,2023-01-20 11:20:06.921721,842596071,0,0.9532679,0.03525027,-0.1593608,0.2542478
226379,2023-01-20 11:20:07.021727,842696068,0,0.953669,0.03520316,-0.1606031,0.2519584
226412,2023-01-20 11:20:07.121727,842796079,0,0.9543099,0.0394308,-0.1576531,0.2507657
226445,2023-01-20 11:20:07.221708,842896072,0,0.9549989,0.04256174,-0.152043,0.2510946
226475,2023-01-20 11:20:07.321688,842996071,0,0.9550522,0.04534108,-0.1490986,0.2521687
226511,2023-01-20 11:20:07.421678,843096078,0,0.9544584,0.04524566,-0.1512792,0.2531339
226543,2023-01-20 11:20:07.521671,843196082,0,0.9538049,0.04692461,-0.153142,0.2541693
226578,2023-01-20 11:20:07.621661,843296075,0,0.9532884,0.04783067,-0.1540707,0.2553736
