LineNo,UTC_Approx,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
4417,2023-01-20 11:08:54.322943,168597340,0.01982318,0.02326886,0.0176619,0.03132548,0.009846913
4452,2023-01-20 11:08:54.422935,168697322,0.03056748,0.02500913,0.01565412,0.0271013,0.009597679
4482,2023-01-20 11:08:54.522891,168797315,0.03240045,0.02723925,0.01449995,0.02771334,0.0181484
4515,2023-01-20 11:08:54.622890,168897339,0.03518277,0.02534477,0.01637176,0.03172624,0.02285649
4545,2023-01-20 11:08:54.722808,168997241,0.03183769,0.02820141,0.01582594,0.03069056,0.02052863
4580,2023-01-20 11:08:54.822830,169097248,0.02726603,0.02972321,0.01580163,0.02817357,0.01696153
4612,2023-01-20 11:08:54.922982,169197388,0.02327145,0.02965225,0.0190138,0.02395025,0.01872635
4645,2023-01-20 11:08:55.022859,169297255,0.02009124,0.02784668,0.01856159,0.02712072,0.02643192
4675,2023-01-20 11:08:55.122869,169397255,0.01755902,0.02796545,0.01654857,0.02728183,0.0358807
4710,2023-01-20 11:08:55.222865,169497244,0.01523009,0.02605563,0.0149343,0.02810785,0.04433177
4740,2023-01-20 11:08:55.322855,169597240,0.018801,0.02400608,0.01773353,0.03280284,0.05002135
4775,2023-01-20 11:08:55.422936,169697331,0.03095563,0.03001254,0.01853436,0.03052289,0.05187395
4807,2023-01-20 11:08:55.522885,169797308,0.03028252,0.02764084,0.02193273,0.0260378,0.04602983
4840,2023-01-20 11:08:55.622817,169897254,0.02678999,0.0258204,0.01899914,0.02343697,0.03836934
4870,2023-01-20 11:08:55.722951,169997359,0.02255396,0.02439197,0.01802442,0.02105396,0.03689439
4905,2023-01-20 11:08:55.822853,170097240,0.01989187,0.02272,0.01908198,0.027521,0.03932379
4937,2023-01-20 11:08:55.922971,170197361,0.0177189,0.02343294,0.01646907,0.02525369,0.04499735
4970,2023-01-20 11:08:56.022929,170297320,0.01606566,0.02248676,0.01412569,0.02308325,0.05329783
5000,2023-01-20 11:08:56.122856,170397240,0.01389857,0.02008476,0.01440157,0.0240851,0.06399097
5035,2023-01-20 11:08:56.222867,170497246,0.01682427,0.02182524,0.01412953,0.02938584,0.06996939
5065,2023-01-20 11:08:56.322948,170597329,0.01450237,0.02023025,0.01406391,0.03159214,0.06539562
5100,2023-01-20 11:08:56.422955,170697345,0.0167207,0.0214796,0.0146139,0.03023143,0.05516813
5130,2023-01-20 11:08:56.522954,170797376,0.0223297,0.02521199,0.01961045,0.02763534,0.04536635
5163,2023-01-20 11:08:56.622878,170897317,0.0289374,0.02587749,0.01683303,0.02457644,0.03914343
5193,2023-01-20 11:08:56.722907,170997312,0.02881601,0.02424155,0.01565189,0.0277344,0.03446154
5228,2023-01-20 11:08:56.822945,171097326,0.02898649,0.0215669,0.01817621,0.02556739,0.02924899
5260,2023-01-20 11:08:56.922976,171197365,0.02978187,0.02268664,0.01588881,0.02305841,0.02401221
5293,2023-01-20 11:08:57.022859,171297252,0.03335526,0.02430575,0.01446585,0.02345196,0.02028545
5324,2023-01-20 11:08:57.122859,171397244,0.03196587,0.02337956,0.01337173,0.02262901,0.01772724
5359,2023-01-20 11:08:57.222862,171497241,0.03087427,0.02363897,0.01461798,0.02138166,0.01496906
5389,2023-01-20 11:08:57.322959,171597336,0.02794964,0.02101092,0.01550537,0.02020127,0.01234673
5424,2023-01-20 11:08:57.422938,171697321,0.02397856,0.02012554,0.01869898,0.02836702,0.01020302
5454,2023-01-20 11:08:57.522823,171797242,0.02066764,0.02277732,0.01938834,0.02784996,0.008393039
5487,2023-01-20 11:08:57.622813,171897252,0.02127147,0.02245693,0.01960134,0.03141328,0.009865493
5517,2023-01-20 11:08:57.722846,171997252,0.02268616,0.02126126,0.01964512,0.02780721,0.01709986
