LineNo,UTC_Approx,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
53286,2023-01-20 11:11:22.701538,317296084,0,0,0,0,0,55.76,0.19,0,0,0.5,0.0003012474,0.007347603,0.02312017
53318,2023-01-20 11:11:22.801560,317396093,0,0,0,0,0,55.77,0.19,0,0,0.5,0.0004416119,0.005982185,0.02327243
53349,2023-01-20 11:11:22.901474,317496072,0,0,0,0,0,55.77,0.19,0,0,0.5,0.0006004084,0.006721761,0.02160322
53382,2023-01-20 11:11:23.001463,317596124,0,0,0,0,0,55.77,0.19,0,0,0.5,0.0005310146,0.005515204,0.02158825
53413,2023-01-20 11:11:23.101434,317696079,0,0,0,0,0,55.78,0.19,0,0,0.5,0.000755442,0.005914083,0.0208048
53447,2023-01-20 11:11:23.201490,317796120,0,0,0,0,0,55.78,0.19,0,0,0.5,0.0007339906,0.00455216,0.01865295
53480,2023-01-20 11:11:23.301442,317896072,0,0,0,0,0,55.78,0.19,0,0,0.5,0.0008658682,0.006076612,0.01757109
53513,2023-01-20 11:11:23.401484,317996116,0,0,0,0,0,55.78,0.19,0,0,0.5,0.0006394856,0.004828303,0.01770228
53546,2023-01-20 11:11:23.501407,318096076,0,0,0,0,0,55.78,0.19,0,0,0.5,0.0006122584,0.008940913,0.01931228
53578,2023-01-20 11:11:23.601405,318196110,0,0,0,0,0,55.77,0.19,0,0,0.5,0.000545461,0.007123849,0.01946313
53612,2023-01-20 11:11:23.701415,318296086,0,0,0,0,0,55.77,0.19,0,0,0.5,0.0003138851,0.005213099,0.00608577
53644,2023-01-20 11:11:23.801473,318396111,0,0,0,0,0,55.77,0.19,0,0,0.5,0.0003291032,0.003349277,0.005252405
53675,2023-01-20 11:11:23.901449,318496072,0,0,0,0,0,55.76,0.19,0,0,0.5,0.0004749943,0.004433414,0.01092574
53708,2023-01-20 11:11:24.001508,318596115,0,0,0,0,0,55.75,0.19,0,0,0.5,0.0004513795,0.002270635,0.006501253
53739,2023-01-20 11:11:24.101532,318696096,0,0,0,0,0,55.75,0.19,0,0,0.5,0.0005017523,0.001858967,0.009946717
53773,2023-01-20 11:11:24.201581,318796103,0,0,0,0,0,55.74,0.19,0,0,0.5,0.0003094954,0.001227697,0.01009651
53806,2023-01-20 11:11:24.301518,318896081,0,0,0,0,0,55.73,0.19,0,0,0.5,0.000212216,0.003116963,0.01411613
53839,2023-01-20 11:11:24.401505,318996109,0,0,0,0,0,55.72,0.19,0,0,0.5,0.000300834,0.002556609,0.01593332
53872,2023-01-20 11:11:24.501448,319096078,0,0,0,0,0,55.72,0.19,0,0,0.5,0.0005267199,0.01416548,0.03640306
53904,2023-01-20 11:11:24.601462,319196117,0,0,0,0,0,55.7,0.19,0,0,0.5,0.0003468221,0.009685387,0.03260052
53938,2023-01-20 11:11:24.701418,319296072,0,0,0,0,0,55.69,0.19,0,0,0.5,0.0002905136,0.004736403,0.02102309
53971,2023-01-20 11:11:24.801462,319396115,0,0,0,0,0,55.68,0.19,0,0,0.5,0.000416451,0.003262407,0.02157069
54002,2023-01-20 11:11:24.901436,319496081,0,0,0,0,0,55.67,0.19,0,0,0.5,0.0004529905,0.003477536,0.02018538
54035,2023-01-20 11:11:25.001472,319596109,0,0,0,0,0,55.67,0.19,0,0,0.5,0.0002175389,0.001683023,0.01198433
54066,2023-01-20 11:11:25.101439,319696080,0,0,0,0,0,55.67,0.19,0,0,0.5,0.0001792946,0.002633816,0.008632065
54100,2023-01-20 11:11:25.201477,319796122,0,0,0,0,0,55.66,0.19,0,0,0.5,0.0003822852,0.003339439,0.01152482
54133,2023-01-20 11:11:25.301439,319896072,0,0,0,0,0,55.65,0.19,0,0,0.5,0.0003624607,0.007991465,0.02296834
54166,2023-01-20 11:11:25.401488,319996111,0,0,0,0,0,55.63,0.19,0,0,0.5,0.0005894999,0.00834245,0.03261099
54201,2023-01-20 11:11:25.501405,320096084,0,0,0,0,0,55.62,0.19,0,0,0.5,0.0007220391,0.01196734,0.04186019
54233,2023-01-20 11:11:25.601367,320196100,0,0,0,0,0,55.61,0.19,0,0,0.5,0.0003351734,0.009237791,0.03778557
54267,2023-01-20 11:11:25.701391,320296073,0,0,0,0,0,55.59,0.19,0,0,0.5,0.0001686879,0.01053121,0.04219141
54298,2023-01-20 11:11:25.801492,320396123,0,0,0,0,0,55.57,0.19,0,0,0.5,0.0003052446,0.009038695,0.04208
54329,2023-01-20 11:11:25.901450,320496072,0,0,0,0,0,55.54,0.19,0,0,0.5,0.0003973774,0.01058776,0.04952949
54362,2023-01-20 11:11:26.001506,320596120,0,0,0,0,0,55.53,0.19,0,0,0.5,0.0004189599,0.008359997,0.04363621
54393,2023-01-20 11:11:26.101437,320696084,0,0,0,0,0,55.51,0.19,0,0,0.5,0.0001945087,0.008847306,0.04593754
54427,2023-01-20 11:11:26.201432,320796111,0,0,0,0,0,55.5,0.19,0,0,0.5,0.0001601203,0.007152578,0.03905448
54460,2023-01-20 11:11:26.301426,320896080,0,0,0,0,0,55.49,0.19,0,0,0.5,0.0002631079,0.00675631,0.03181209
54493,2023-01-20 11:11:26.401469,320996099,0,0,0,0,0,55.49,0.19,0,0,0.5,0.0003263068,0.004991968,0.02497618
54526,2023-01-20 11:11:26.501431,321096081,0,0,0,0,0,55.48,0.19,0,0,0.5,0.00031374,0.008753003,0.02816129
54558,2023-01-20 11:11:26.601438,321196108,0,0,0,0,0,55.49,0.19,0,0,0.5,0.0001797521,0.006793366,0.02123441
54593,2023-01-20 11:11:26.701410,321296078,0,0,0,0,0,55.49,0.19,0,0,0.5,0.0003089396,0.01253499,0.02891762
54625,2023-01-20 11:11:26.801445,321396111,0,0,0,0,0,55.5,0.19,0,0,0.5,9.906046E-05,0.007704609,0.01651697
54657,2023-01-20 11:11:26.901428,321496070,0,0,0,0,0,55.51,0.19,0,0,0.5,0.0002333643,0.01381758,0.02952786
54690,2023-01-20 11:11:27.001504,321596122,0,0,0,0,0,55.51,0.19,0,0,0.5,0.0002976298,0.00873215,0.0190122
54721,2023-01-20 11:11:27.101450,321696076,0,0,0,0,0,55.52,0.19,0,0,0.5,0.0003281307,0.005526387,0.01337503
54755,2023-01-20 11:11:27.201489,321796123,0,0,0,0,0,55.53,0.19,0,0,0.5,0.0006452621,0.002738978,0.01140968
54788,2023-01-20 11:11:27.301436,321896068,0,0,0,0,0,55.54,0.19,0,0,0.5,0.000673681,0.01063328,0.02679066
54821,2023-01-20 11:11:27.401497,321996128,0,0,0,0,0,55.54,0.19,0,0,0.5,0.0008315971,0.006488798,0.01965652
54854,2023-01-20 11:11:27.501457,322096100,0,0,0,0,0,55.54,0.19,0,0,0.5,0.0007861553,0.01459083,0.03717959
54886,2023-01-20 11:11:27.601462,322196116,0,0,0,0,0,55.54,0.19,0,0,0.5,0.0008086015,0.01115113,0.02977332
