LineNo,UTC_Approx,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
5778,2023-01-20 11:08:58.522824,172797253,0,5.769179,6.743509,4.013998,0
5811,2023-01-20 11:08:58.622866,172897314,0,6.860002,7.2281,4.707107,0
5841,2023-01-20 11:08:58.722835,172997246,0,8.599751,6.456819,3.949482,0
5876,2023-01-20 11:08:58.822863,173097250,0,10.13875,7.18594,5.90229,0
5908,2023-01-20 11:08:58.922948,173197351,0,8.750978,7.083338,5.122365,0
5942,2023-01-20 11:08:59.020826,173297327,0,6.389305,9.616381,4.985441,0
5973,2023-01-20 11:08:59.111739,173397344,0,10.00985,10.1323,5.112875,0
6008,2023-01-20 11:08:59.203078,173497522,0,10.14184,6.214912,3.851365,0
6038,2023-01-20 11:08:59.302804,173597245,0,8.652494,5.289681,4.006654,0
6073,2023-01-20 11:08:59.403260,173697372,0,10.31963,5.053314,3.186108,0
6102,2023-01-20 11:08:59.514231,173797240,0,9.122983,5.871825,5.417727,0
6135,2023-01-20 11:08:59.620748,173897252,0,8.106997,5.512258,4.546835,0
6165,2023-01-20 11:08:59.711632,173997230,0,10.98285,5.525041,5.73896,0
6201,2023-01-20 11:08:59.802811,174097252,0,10.7734,5.200781,4.41365,0
6233,2023-01-20 11:08:59.902853,174197324,0,7.844916,6.44487,4.310695,0
6266,2023-01-20 11:09:00.002752,174297254,0,5.341829,5.623073,3.948427,0
6296,2023-01-20 11:09:00.102767,174397342,0,5.345863,5.78144,3.759329,0
6331,2023-01-20 11:09:00.202883,174497528,0,5.173871,4.662857,4.085986,0
6361,2023-01-20 11:09:00.302634,174597228,0,6.045018,6.477829,3.316029,0
6396,2023-01-20 11:09:00.402786,174697332,0,7.960363,5.755228,3.506495,0
6428,2023-01-20 11:09:00.502625,174797225,0,7.414855,4.975648,4.219595,0
6461,2023-01-20 11:09:00.602594,174897246,0,7.366228,8.407302,7.055027,0
6491,2023-01-20 11:09:00.702634,174997254,0,7.764843,8.781013,8.027566,0
6527,2023-01-20 11:09:00.802716,175097305,0,7.220081,8.101857,6.946962,0
