LineNo,UTC_Approx,TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
274979,2023-01-20 11:22:34.902547,990897816,6.656855,6.401936,0,0.2549194,0.2425579,0,0.8563313,0.8811746
275011,2023-01-20 11:22:35.002590,990997807,6.656855,6.421633,0,0.2352228,0.2281456,0,0.8764627,0.8767836
275044,2023-01-20 11:22:35.102511,991097793,6.656855,6.442852,0,0.2140027,0.2614256,0,0.8762376,0.8979836
275078,2023-01-20 11:22:35.202506,991197851,6.656855,6.465235,0,0.1916199,0.2083477,0,0.9174108,0.9123672
275109,2023-01-20 11:22:35.302521,991297852,6.656855,6.487841,0,0.1690143,0.1667636,0,0.8939517,0.9221441
275141,2023-01-20 11:22:35.402515,991397834,6.656855,6.509253,0,0.1476025,0.1798407,0,0.8981483,0.9191868
275174,2023-01-20 11:22:35.502463,991497805,6.656855,6.522324,0,0.1345319,0.1588141,0,0.8871131,0.9197277
275208,2023-01-20 11:22:35.602482,991597847,6.656855,6.536264,0,0.1205914,0.1459708,0,0.769598,0.8960577
275241,2023-01-20 11:22:35.702585,991697935,6.656855,6.535624,0,0.1212317,0.1892032,0,0.7565054,0.85546
275273,2023-01-20 11:22:35.802505,991797839,6.656855,6.54222,0,0.1146356,0.182061,0,0.6782753,0.7947363
275304,2023-01-20 11:22:35.902511,991897804,6.656855,6.545169,0,0.1116864,0.209724,0,0.6486923,0.7374895
275336,2023-01-20 11:22:36.002567,991997821,6.656855,6.554836,0,0.102019,0.2146772,0,0.609125,0.6890381
275369,2023-01-20 11:22:36.102503,992097797,6.656855,6.545171,0,0.111684,0.2348458,0,0.7082492,0.6873464
275403,2023-01-20 11:22:36.202505,992197838,6.656855,6.544106,0,0.112749,0.1959027,0,0.729273,0.7049267
275434,2023-01-20 11:22:36.302497,992297817,6.656855,6.53024,0,0.1266156,0.2023944,0,0.7984315,0.737801
275466,2023-01-20 11:22:36.402503,992397812,6.656855,6.526438,0,0.1304169,0.19106,0,0.7871103,0.7626548
275497,2023-01-20 11:22:36.502496,992497830,6.656855,6.52058,0,0.136275,0.1858562,0,0.7642632,0.7670689
275531,2023-01-20 11:22:36.602579,992597937,6.656855,6.524069,0,0.1327863,0.2154713,0,0.7009349,0.7489684
275564,2023-01-20 11:22:36.702503,992697846,6.656855,6.509797,0,0.1470581,0.2033266,0,0.779447,0.7491038
275597,2023-01-20 11:22:36.802500,992797829,6.656855,6.506628,0,0.1502277,0.1841816,0,0.7871116,0.7661973
275628,2023-01-20 11:22:36.902497,992897824,6.656855,6.507042,0,0.1498132,0.2214711,0,0.7543914,0.767648
275660,2023-01-20 11:22:37.002496,992997821,6.656855,6.514625,0,0.1422308,0.1972478,0,0.7177688,0.7541297
275693,2023-01-20 11:22:37.102460,993097798,6.656855,6.504378,0,0.1524774,0.1812847,0,0.8620626,0.7774504
275727,2023-01-20 11:22:37.202524,993197875,6.656855,6.502914,0,0.153941,0.1707046,0,0.8849297,0.8271918
275758,2023-01-20 11:22:37.302520,993297851,6.656855,6.496282,0,0.1605737,0.1604236,0,0.9561137,0.8700973
275790,2023-01-20 11:22:37.402510,993397823,6.656855,6.49678,0,0.1600751,0.1519139,0,0.8781931,0.8955286
275821,2023-01-20 11:22:37.502509,993497843,6.656855,6.482945,0,0.1739099,0.1122675,0,1.020662,0.9235749
275855,2023-01-20 11:22:37.602469,993597823,6.656855,6.479175,0,0.1776807,0.1083945,0,0.9699664,0.9435543
275888,2023-01-20 11:22:37.702490,993697851,6.656855,6.486621,0,0.1702344,0.1218095,0,0.9119264,0.9240876
275920,2023-01-20 11:22:37.802462,993797829,6.656855,6.49948,0,0.1573755,0.1081456,0,0.8438444,0.8784752
275951,2023-01-20 11:22:37.902499,993897846,6.656855,6.513651,0,0.1432043,0.136028,0,0.7888378,0.8322774
275983,2023-01-20 11:22:38.002486,993997814,6.656855,6.530161,0,0.1266943,0.1353912,0,0.7754029,0.800765
276017,2023-01-20 11:22:38.102478,994097797,6.656855,6.54995,0,0.1069055,0.09686781,0,0.7833,0.7781226
276051,2023-01-20 11:22:38.202533,994197842,6.656855,6.568836,0,0.08801941,0.1047514,0,0.8048134,0.7740703
276082,2023-01-20 11:22:38.302526,994297809,6.656855,6.595505,0,0.06135071,0.0699475,0,0.7374236,0.7559423
276115,2023-01-20 11:22:38.402577,994397836,6.656855,6.618038,0,0.03881775,0.0655212,0,0.7645416,0.7455305
276146,2023-01-20 11:22:38.502495,994497803,6.656855,6.643724,0,0.0131311,0.04605589,0,0.7452801,0.7370347
276180,2023-01-20 11:22:38.602578,994597934,6.656855,6.664274,0,-0.007418823,0.06526551,0,0.6959183,0.7265561
276213,2023-01-20 11:22:38.702588,994697927,6.656855,6.684373,0,-0.0275177,0.02013911,0,0.7135832,0.7135372
276245,2023-01-20 11:22:38.802512,994797835,6.656855,6.700207,0,-0.04335205,0.004728978,0,0.7221228,0.7127657
276276,2023-01-20 11:22:38.902465,994897793,6.656855,6.706218,0,-0.04936279,-0.02239354,0,0.7730811,0.7287858
276308,2023-01-20 11:22:39.002487,994997818,6.656855,6.711014,0,-0.05415893,-0.02478811,0,0.7856847,0.7433261
276341,2023-01-20 11:22:39.102516,995097805,6.656855,6.697484,0,-0.04062866,0.001943666,0,0.8328654,0.771353
276375,2023-01-20 11:22:39.202692,995197940,6.656855,6.687557,0,-0.03070129,-0.01763283,0,0.8562959,0.8165396
276406,2023-01-20 11:22:39.302564,995297818,6.656855,6.67697,0,-0.02011475,-0.06495815,0,0.9271694,0.856123
276438,2023-01-20 11:22:39.402547,995397808,6.656855,6.669782,0,-0.01292664,-0.06622849,0,0.9139784,0.8826326
276469,2023-01-20 11:22:39.502503,995497805,6.656855,6.66374,0,-0.006884155,-0.02207687,0,0.8564081,0.8752271
276503,2023-01-20 11:22:39.602486,995597828,6.656855,6.660724,0,-0.003868408,-0.002568362,0,0.8168643,0.8706744
276536,2023-01-20 11:22:39.702568,995697924,6.656855,6.660052,0,-0.003197021,-0.01765983,0,0.8036822,0.8493621
276568,2023-01-20 11:22:39.802468,995797837,6.656855,6.661834,0,-0.004978638,-0.003449413,0,0.7704778,0.8298567
276599,2023-01-20 11:22:39.902507,995897852,6.656855,6.670548,0,-0.01369324,0.02034535,0,0.684888,0.7836183
276631,2023-01-20 11:22:40.002491,995997813,6.656855,6.678752,0,-0.02189697,0.008156238,0,0.7356284,0.7551848
276664,2023-01-20 11:22:40.102459,996097801,6.656855,6.667697,0,-0.01084167,0.01623845,0,0.827913,0.7775857
276698,2023-01-20 11:22:40.202484,996197845,6.656855,6.660162,0,-0.003306885,-0.002459683,0,0.8271072,0.8073044
276729,2023-01-20 11:22:40.302484,996297843,6.656855,6.637946,0,0.0189093,-0.0248892,0,0.9305509,0.8487249
276761,2023-01-20 11:22:40.402458,996397815,6.656855,6.624015,0,0.03284058,0.004704934,0,0.8946455,0.8742011
276792,2023-01-20 11:22:40.502483,996497844,6.656855,6.605023,0,0.05183227,0.02455368,0,0.8860959,0.8840847
276828,2023-01-20 11:22:40.602444,996597809,6.656855,6.594348,0,0.06250671,0.01977707,0,0.8631268,0.8800027
276861,2023-01-20 11:22:40.702526,996697874,6.656855,6.569581,0,0.08727477,0.07315615,0,0.8985245,0.8900738
276893,2023-01-20 11:22:40.802283,996797838,6.656855,6.556489,0,0.1003662,0.08486068,0,0.7845184,0.8661865
276924,2023-01-20 11:22:40.893384,996897820,6.656855,6.562643,0,0.09421203,0.09566478,0,0.6570029,0.7944498
276954,2023-01-20 11:22:40.984486,996997804,6.656855,6.574392,0,0.08246277,0.1497763,0,0.5210241,0.6924607
276989,2023-01-20 11:22:41.091972,997097800,6.656855,6.599108,0,0.05774719,0.1755151,0,0.368576,0.5652254
277023,2023-01-20 11:22:41.202691,997197944,6.656855,6.625109,0,0.03174683,0.1885998,0,0.3298241,0.4541399
277054,2023-01-20 11:22:41.302575,997297818,6.656855,6.644785,0,0.01207031,0.1685818,0,0.3359214,0.3876621
277087,2023-01-20 11:22:41.402585,997397820,6.656855,6.666862,0,-0.01000732,0.1899326,0,0.2264133,0.3181328
277118,2023-01-20 11:22:41.502507,997497797,6.656855,6.695463,0,-0.03860718,0.206361,0,0.116714,0.2329286
