LineNo,UTC_Approx,TimeUS,Id,Pri,Total,Free,Name
6755,2023-01-20 11:09:01.542123,175836782,12,60,656,264,UART5
6788,2023-01-20 11:09:01.642143,175936816,13,176,1360,856,I2C0
6819,2023-01-20 11:09:01.743151,176037818,14,59,1616,896,OSD
6854,2023-01-20 11:09:01.843180,176137842,15,59,1912,416,log_io
6886,2023-01-20 11:09:01.943219,176237877,16,181,1360,720,SPI1
6919,2023-01-20 11:09:02.044562,176339213,255,255,1536,1264,ISR
6949,2023-01-20 11:09:02.144573,176439212,0,182,7168,5360,ArduCopter
6984,2023-01-20 11:09:02.244698,176539328,1,1,352,144,idle
7014,2023-01-20 11:09:02.345685,176640312,2,60,1104,768,UART_RX
7049,2023-01-20 11:09:02.445661,176740308,3,60,656,400,OTG1
7079,2023-01-20 11:09:02.545650,176840347,4,183,1360,1016,monitor
7112,2023-01-20 11:09:02.647044,176941746,5,181,1872,1488,timer
7142,2023-01-20 11:09:02.748124,177042780,6,181,848,616,rcout
7177,2023-01-20 11:09:02.848151,177142786,7,177,1360,736,rcin
7209,2023-01-20 11:09:02.948479,177243119,8,58,2384,1432,io
7242,2023-01-20 11:09:03.050121,177344769,9,59,1360,824,storage
7272,2023-01-20 11:09:03.150166,177444825,10,60,656,304,UART3
7307,2023-01-20 11:09:03.250094,177544761,11,60,656,264,UART4
7337,2023-01-20 11:09:03.351174,177645846,12,60,656,264,UART5
7372,2023-01-20 11:09:03.452361,177747034,13,176,1360,856,I2C0
7402,2023-01-20 11:09:03.552274,177846947,14,59,1616,896,OSD
7435,2023-01-20 11:09:03.653070,177947736,15,59,1912,416,log_io
7466,2023-01-20 11:09:03.753310,178047963,16,181,1360,720,SPI1
7501,2023-01-20 11:09:03.854547,178149201,255,255,1536,1264,ISR
7533,2023-01-20 11:09:03.954570,178249236,0,182,7168,5360,ArduCopter
7566,2023-01-20 11:09:04.055577,178350254,1,1,352,144,idle
7597,2023-01-20 11:09:04.155568,178450253,2,60,1104,768,UART_RX
7632,2023-01-20 11:09:04.255725,178550401,3,60,656,400,OTG1
7662,2023-01-20 11:09:04.357158,178651810,4,183,1360,1016,monitor
7697,2023-01-20 11:09:04.457130,178751781,5,181,1872,1488,timer
7727,2023-01-20 11:09:04.557097,178851764,6,181,848,616,rcout
7760,2023-01-20 11:09:04.658125,178952785,7,177,1360,736,rcin
7791,2023-01-20 11:09:04.759675,179054310,8,58,2384,1432,io
7825,2023-01-20 11:09:04.859711,179154358,9,59,1360,824,storage
7858,2023-01-20 11:09:04.959649,179254332,10,60,656,304,UART3
7890,2023-01-20 11:09:05.060678,179355362,11,60,656,264,UART4
7921,2023-01-20 11:09:05.160738,179455399,12,60,656,264,UART5
7955,2023-01-20 11:09:05.262436,179557079,13,176,1360,856,I2C0
7987,2023-01-20 11:09:05.362459,179657088,14,59,1616,896,OSD
8021,2023-01-20 11:09:05.462431,179757090,15,59,1912,416,log_io
8054,2023-01-20 11:09:05.563457,179858173,16,181,1360,720,SPI1
8086,2023-01-20 11:09:05.664954,179959651,255,255,1536,1264,ISR
8117,2023-01-20 11:09:05.764997,180059633,0,182,7168,5360,ArduCopter
8151,2023-01-20 11:09:05.865679,180160320,1,1,352,144,idle
8184,2023-01-20 11:09:05.967111,180261793,2,60,1104,768,UART_RX
