LineNo,UTC_Approx,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
22886,2023-01-20 11:09:50.699899,225094565,2,39.8055795,32.3809447,100,738.6118,46.06047,0,504,-3.475139
23212,2023-01-20 11:09:51.699946,226094562,2,39.8056189,32.3810092,100,738.6003,47.12318,0,504,-3.475139
23538,2023-01-20 11:09:52.699937,227094560,2,39.8056583,32.3810751,100,738.5876,48.08205,0,504,-3.475139
23864,2023-01-20 11:09:53.699918,228094562,2,39.8056968,32.38114,100,738.5746,48.95872,0,504,-3.475139
24189,2023-01-20 11:09:54.699939,229094554,2,39.805737,32.3812055,100,738.5632,49.83129,0,504,-3.475139
24518,2023-01-20 11:09:55.699883,230094563,2,39.8057745,32.3812711,100,738.5486,50.65905,0,504,-3.475139
24844,2023-01-20 11:09:56.680272,231094559,2,39.8058121,32.3813351,100,738.4952,51.63197,0,504,-3.475139
25170,2023-01-20 11:09:57.680179,232094568,2,39.8058487,32.3814001,100,738.3393,52.79185,0,504,-3.475139
25496,2023-01-20 11:09:58.680171,233094575,2,39.8058872,32.3814668,100,738.1939,53.78511,0,504,-3.475139
25822,2023-01-20 11:09:59.680195,234094603,2,39.8059241,32.3815305,100,738.0688,54.71579,0,504,-3.475139
26152,2023-01-20 11:10:00.680179,235094570,2,39.8059585,32.3815873,100,737.9698,55.48238,0,504,-3.475139
26476,2023-01-20 11:10:01.680204,236094612,2,39.8059825,32.3816242,100,737.9129,56.02825,0,504,-3.475139
26803,2023-01-20 11:10:02.680177,237094571,2,39.8059851,32.3816301,100,737.9032,56.14763,0,504,-3.475139
27126,2023-01-20 11:10:03.680185,238094570,2,39.8059666,32.3816204,100,737.907,56.22154,0,504,-3.475139
27450,2023-01-20 11:10:04.680187,239094575,2,39.8059441,32.381605,100,737.9209,56.12036,0,504,-3.475139
27777,2023-01-20 11:10:05.672973,240094583,2,39.8059233,32.3815923,100,737.9319,56.10487,0,504,-3.475139
28105,2023-01-20 11:10:06.660224,241094582,2,39.8059019,32.3815786,100,737.9463,56.21256,0,504,-3.475139
28430,2023-01-20 11:10:07.660143,242094579,2,39.8058736,32.3815594,100,737.9707,56.3137,0,504,-3.475139
28754,2023-01-20 11:10:08.660151,243094586,2,39.8058334,32.3815284,100,738.0195,56.39872,0,504,-3.475139
29129,2023-01-20 11:10:09.660198,244094617,2,39.8057843,32.3814895,100,738.0831,56.45761,0,504,-3.475139
29461,2023-01-20 11:10:10.660190,245094606,2,39.805731,32.3814496,100,738.1139,56.51683,0,504,-3.475139
29788,2023-01-20 11:10:11.660185,246094593,2,39.805675,32.3814086,100,738.1528,56.4607,0,504,-3.475139
30114,2023-01-20 11:10:12.660167,247094586,2,39.8056211,32.3813668,100,738.2052,56.37037,0,504,-3.475139
30440,2023-01-20 11:10:13.660160,248094595,2,39.8055682,32.3813247,100,738.2682,56.25866,0,504,-3.475139
30767,2023-01-20 11:10:14.660247,249094640,2,39.805514,32.3812829,100,738.2479,56.20065,0,504,-3.475139
31096,2023-01-20 11:10:15.654752,250094604,2,39.8054587,32.3812427,100,738.2208,56.11943,0,504,-3.475139
31422,2023-01-20 11:10:16.640443,251094649,2,39.8054023,32.3812025,100,738.1924,56.05413,0,504,-3.475139
31748,2023-01-20 11:10:17.640189,252094592,2,39.8053483,32.3811616,100,738.1674,56.04294,0,504,-3.475139
32075,2023-01-20 11:10:18.640202,253094605,2,39.8052935,32.3811205,100,738.1417,56.0569,0,504,-3.475139
32401,2023-01-20 11:10:19.640162,254094598,2,39.8052383,32.3810795,100,738.1153,56.06451,0,504,-3.475139
32732,2023-01-20 11:10:20.640188,255094591,2,39.8051835,32.3810387,100,738.0892,56.12458,0,504,-3.475139
33058,2023-01-20 11:10:21.640188,256094624,2,39.8051284,32.380998,100,738.0628,56.15699,0,504,-3.475139
33385,2023-01-20 11:10:22.640190,257094594,2,39.8050736,32.3809563,100,738.0375,56.15038,0,504,-3.475139
33711,2023-01-20 11:10:23.640208,258094615,2,39.8050192,32.3809153,100,738.0121,56.11453,0,504,-3.475139
34038,2023-01-20 11:10:24.640214,259094617,2,39.8049659,32.3808754,100,737.987,56.12395,0,504,-3.475139
34366,2023-01-20 11:10:25.620268,260094609,2,39.8049137,32.3808343,100,737.9641,56.19022,0,504,-3.475139
34741,2023-01-20 11:10:26.620203,261094609,2,39.8048592,32.3807935,100,737.8766,56.29001,0,504,-3.475139
35068,2023-01-20 11:10:27.620199,262094605,2,39.8048033,32.3807531,100,737.7562,56.36911,0,504,-3.475139
35394,2023-01-20 11:10:28.620187,263094594,2,39.8047484,32.3807126,100,737.6431,56.43292,0,504,-3.475139
35721,2023-01-20 11:10:29.620232,264094658,2,39.8046946,32.3806714,100,737.5378,56.53729,0,504,-3.475139
36050,2023-01-20 11:10:30.620162,265094591,2,39.8046405,32.3806304,100,737.4359,56.6453,0,504,-3.475139
36378,2023-01-20 11:10:31.620218,266094639,2,39.8045853,32.3805895,100,737.3352,56.71977,0,504,-3.475139
36704,2023-01-20 11:10:32.620168,267094597,2,39.8045308,32.3805485,100,737.2407,56.75718,0,504,-3.475139
37031,2023-01-20 11:10:33.618412,268094680,2,39.8044748,32.3805068,100,737.1475,56.84797,0,504,-3.475139
37357,2023-01-20 11:10:34.600300,269094800,2,39.8044195,32.3804657,100,737.0596,56.89071,0,504,-3.475139
37686,2023-01-20 11:10:35.600328,270094936,2,39.8043656,32.3804243,100,736.9802,56.94342,0,504,-3.475139
38013,2023-01-20 11:10:36.600302,271095024,2,39.8043117,32.3803832,100,736.9045,56.99508,0,504,-3.475139
38340,2023-01-20 11:10:37.600322,272095006,2,39.8042577,32.3803427,100,736.832,57.1138,0,504,-3.475139
38665,2023-01-20 11:10:38.600310,273095000,2,39.8042051,32.3803016,100,736.7678,57.28922,0,504,-3.475139
38992,2023-01-20 11:10:39.600321,274094998,2,39.8041513,32.3802612,100,736.7038,57.4271,0,504,-3.475139
39321,2023-01-20 11:10:40.600314,275095001,2,39.8040965,32.380221,100,736.6414,57.49879,0,504,-3.475139
39650,2023-01-20 11:10:41.600317,276095013,2,39.8040419,32.3801799,100,736.5851,57.53588,0,504,-3.475139
39977,2023-01-20 11:10:42.600305,277095011,2,39.8039874,32.3801392,100,736.5078,57.62543,0,504,-3.475139
40350,2023-01-20 11:10:43.582545,278094985,2,39.8039336,32.3800984,100,736.37,57.81592,0,504,-3.475139
40677,2023-01-20 11:10:44.580639,279094880,2,39.8038788,32.3800579,100,736.2367,57.96594,0,504,-3.475139
41005,2023-01-20 11:10:45.580346,280094726,2,39.8038233,32.3800176,100,736.1096,58.11504,0,504,-3.475139
41333,2023-01-20 11:10:46.580302,281094709,2,39.8037698,32.3799752,100,735.9997,58.19208,0,504,-3.475139
41659,2023-01-20 11:10:47.580182,282094588,2,39.8037156,32.3799346,100,735.8941,58.2929,0,504,-3.475139
41986,2023-01-20 11:10:48.580161,283094607,2,39.8036628,32.3798936,100,735.8012,58.42397,0,504,-3.475139
42312,2023-01-20 11:10:49.580193,284094605,2,39.8036085,32.3798516,100,735.7144,58.54275,0,504,-3.475139
42641,2023-01-20 11:10:50.580161,285094602,2,39.8035534,32.3798109,100,735.6315,58.6254,0,504,-3.475139
42968,2023-01-20 11:10:51.580189,286094598,2,39.8034983,32.3797706,100,735.5566,58.65859,0,504,-3.475139
43295,2023-01-20 11:10:52.580220,287094604,2,39.8034425,32.3797299,100,735.4893,58.68268,0,504,-3.475139
43621,2023-01-20 11:10:53.580213,288094615,2,39.8033883,32.3796889,100,735.4351,58.70485,0,504,-3.475139
43947,2023-01-20 11:10:54.560185,289094608,2,39.8033338,32.3796479,100,735.3886,58.71897,0,504,-3.475139
44276,2023-01-20 11:10:55.560272,290094599,2,39.8032784,32.3796075,100,735.3474,58.76884,0,504,-3.475139
44603,2023-01-20 11:10:56.560144,291094595,2,39.803224,32.3795658,100,735.3199,58.81961,0,504,-3.475139
44930,2023-01-20 11:10:57.560215,292094642,2,39.8031705,32.3795239,100,735.3035,58.86965,0,504,-3.475139
45256,2023-01-20 11:10:58.560177,293094594,2,39.8031162,32.3794839,100,735.2891,58.87728,0,504,-3.475139
45632,2023-01-20 11:10:59.560193,294094619,2,39.8030608,32.3794436,100,735.3492,58.79549,0,504,-3.475139
45961,2023-01-20 11:11:00.560143,295094571,2,39.8030072,32.3794018,100,735.4576,58.71409,0,504,-3.475139
46289,2023-01-20 11:11:01.560215,296094632,2,39.8029536,32.3793604,100,735.5776,58.60115,0,504,-3.475139
46614,2023-01-20 11:11:02.560152,297094579,2,39.8028987,32.3793197,100,735.7083,58.45456,0,504,-3.475139
46941,2023-01-20 11:11:03.545734,298094581,2,39.8028433,32.379279,100,735.8519,58.28975,0,504,-3.475139
47267,2023-01-20 11:11:04.540226,299094580,2,39.8027877,32.3792383,100,736.0085,58.07777,0,504,-3.475139
47596,2023-01-20 11:11:05.540187,300094580,2,39.8027335,32.379197,100,736.1796,57.89431,0,504,-3.475139
47923,2023-01-20 11:11:06.540196,301094592,2,39.8026804,32.3791556,100,736.3631,57.77695,0,504,-3.475139
48250,2023-01-20 11:11:07.540207,302094599,2,39.8026258,32.3791155,100,736.5553,57.65213,0,504,-3.475139
48576,2023-01-20 11:11:08.540174,303094582,2,39.8025718,32.3790752,100,736.7601,57.48804,0,504,-3.475139
48902,2023-01-20 11:11:09.540180,304094578,2,39.8025177,32.3790335,100,736.9837,57.31,0,504,-3.475139
49232,2023-01-20 11:11:10.540172,305094581,2,39.8024633,32.3789917,100,737.2208,57.07821,0,504,-3.475139
49559,2023-01-20 11:11:11.540206,306094594,2,39.8024085,32.3789513,100,737.4702,56.833,0,504,-3.475139
49887,2023-01-20 11:11:12.520414,307094627,2,39.8023545,32.3789109,100,737.7112,56.57943,0,504,-3.475139
50213,2023-01-20 11:11:13.520269,308094593,2,39.8022995,32.3788702,100,737.9464,56.3624,0,504,-3.475139
50540,2023-01-20 11:11:14.520240,309094627,2,39.8022439,32.3788298,100,738.1722,56.09177,0,504,-3.475139
50868,2023-01-20 11:11:15.520180,310094591,2,39.8021898,32.3787884,100,738.3368,55.91111,0,504,-3.475139
51245,2023-01-20 11:11:16.520193,311094602,2,39.8021364,32.378747,100,738.2637,55.98566,0,504,-3.475139
51571,2023-01-20 11:11:17.520183,312094586,2,39.802082,32.3787059,100,738.1805,56.11686,0,504,-3.475139
51898,2023-01-20 11:11:18.520179,313094581,2,39.8020267,32.3786657,100,738.0848,56.27216,0,504,-3.475139
52224,2023-01-20 11:11:19.520164,314094588,2,39.801972,32.3786254,100,737.9882,56.32913,0,504,-3.475139
52554,2023-01-20 11:11:20.520426,315094814,2,39.8019176,32.3785843,100,737.8922,56.5042,0,504,-3.475139
52880,2023-01-20 11:11:21.520172,316094582,2,39.8018632,32.3785426,100,737.7942,56.60297,0,504,-3.475139
53207,2023-01-20 11:11:22.500046,317094574,2,39.8018092,32.3785018,100,737.6906,56.71151,0,504,-3.475139
53534,2023-01-20 11:11:23.499915,318094583,2,39.8017552,32.3784606,100,737.5839,56.84338,0,504,-3.475139
53860,2023-01-20 11:11:24.499938,319094568,2,39.8017007,32.3784197,100,737.4698,56.90419,0,504,-3.475139
54189,2023-01-20 11:11:25.500138,320094816,2,39.8016453,32.3783787,100,737.3466,56.96439,0,504,-3.475139
54514,2023-01-20 11:11:26.499934,321094584,2,39.8015904,32.3783369,100,737.2251,56.9488,0,504,-3.475139
54842,2023-01-20 11:11:27.499974,322094616,2,39.8015353,32.3782952,100,737.0978,57.12797,0,504,-3.475139
55168,2023-01-20 11:11:28.499922,323094570,2,39.8014803,32.3782533,100,736.9672,57.27738,0,504,-3.475139
55495,2023-01-20 11:11:29.499948,324094635,2,39.8014254,32.3782135,100,736.8254,57.46508,0,504,-3.475139
55822,2023-01-20 11:11:30.500082,325094710,2,39.8013704,32.3781729,100,736.6815,57.58058,0,504,-3.475139
56151,2023-01-20 11:11:31.480308,326094575,2,39.8013169,32.3781333,100,736.5381,57.70676,0,504,-3.475139
56478,2023-01-20 11:11:32.480222,327094588,2,39.801262,32.3780939,100,736.6281,57.71963,0,504,-3.475139
56854,2023-01-20 11:11:33.480181,328094579,2,39.8012065,32.3780515,100,736.8246,57.62362,0,504,-3.475139
