LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
4668,2023-01-20 11:08:55.122750,169397136,1505,1505,1682,1505,1505,1505,1054,1055,0,0,0,0,0,0
4703,2023-01-20 11:08:55.222751,169497130,1505,1505,1688,1505,1505,1505,1055,1054,0,0,0,0,0,0
4733,2023-01-20 11:08:55.322740,169597125,1505,1505,1694,1505,1505,1506,1054,1054,0,0,0,0,0,0
4768,2023-01-20 11:08:55.422772,169697167,1506,1505,1713,1506,1505,1505,1055,1054,0,0,0,0,0,0
4800,2023-01-20 11:08:55.522717,169797140,1505,1505,1723,1505,1505,1506,1054,1054,0,0,0,0,0,0
4833,2023-01-20 11:08:55.622701,169897139,1505,1505,1733,1505,1505,1506,1054,1054,0,0,0,0,0,0
4863,2023-01-20 11:08:55.722786,169997195,1506,1505,1729,1505,1505,1505,1054,1055,0,0,0,0,0,0
4898,2023-01-20 11:08:55.822735,170097122,1505,1505,1716,1505,1506,1505,1054,1054,0,0,0,0,0,0
4930,2023-01-20 11:08:55.922792,170197182,1505,1505,1719,1505,1505,1505,1055,1054,0,0,0,0,0,0
4963,2023-01-20 11:08:56.022765,170297156,1505,1506,1710,1505,1506,1505,1054,1055,0,0,0,0,0,0
4993,2023-01-20 11:08:56.122737,170397121,1505,1505,1707,1505,1505,1505,1055,1054,0,0,0,0,0,0
5028,2023-01-20 11:08:56.222752,170497131,1506,1505,1747,1506,1505,1505,1054,1055,0,0,0,0,0,0
5058,2023-01-20 11:08:56.322771,170597152,1506,1505,1763,1505,1505,1505,1055,1054,0,0,0,0,0,0
5093,2023-01-20 11:08:56.422773,170697163,1505,1505,1759,1505,1505,1505,1055,1054,0,0,0,0,0,0
5123,2023-01-20 11:08:56.522758,170797180,1505,1505,1753,1505,1505,1506,1054,1054,0,0,0,0,0,0
5156,2023-01-20 11:08:56.622699,170897138,1505,1505,1747,1505,1505,1506,1054,1054,0,0,0,0,0,0
5186,2023-01-20 11:08:56.722724,170997129,1505,1505,1749,1505,1505,1506,1054,1054,0,0,0,0,0,0
5221,2023-01-20 11:08:56.822769,171097150,1505,1505,1747,1505,1505,1506,1054,1054,0,0,0,0,0,0
5253,2023-01-20 11:08:56.922805,171197194,1505,1505,1747,1505,1505,1506,1054,1054,0,0,0,0,0,0
5286,2023-01-20 11:08:57.022740,171297133,1505,1505,1709,1505,1505,1506,1054,1054,0,0,0,0,0,0
5317,2023-01-20 11:08:57.122732,171397117,1506,1505,1710,1506,1505,1505,1054,1055,0,0,0,0,0,0
5352,2023-01-20 11:08:57.222748,171497126,1506,1505,1758,1506,1505,1505,1054,1055,0,0,0,0,0,0
5382,2023-01-20 11:08:57.322794,171597171,1505,1505,1766,1505,1505,1506,1054,1054,0,0,0,0,0,0
5417,2023-01-20 11:08:57.422770,171697153,1505,1505,1766,1505,1506,1505,1054,1054,0,0,0,0,0,0
5447,2023-01-20 11:08:57.522709,171797128,1506,1505,1767,1506,1505,1505,1055,1054,0,0,0,0,0,0
5480,2023-01-20 11:08:57.622698,171897138,1506,1505,1757,1505,1505,1505,1055,1054,0,0,0,0,0,0
5510,2023-01-20 11:08:57.722718,171997125,1506,1471,1746,1506,1505,1505,1055,1054,0,0,0,0,0,0
5545,2023-01-20 11:08:57.822795,172097177,1505,1472,1746,1506,1505,1505,1054,1055,0,0,0,0,0,0
5577,2023-01-20 11:08:57.922791,172197178,1505,1433,1747,1505,1505,1506,1055,1053,0,0,0,0,0,0
5612,2023-01-20 11:08:58.022765,172297155,1505,1391,1731,1505,1505,1505,1055,1054,0,0,0,0,0,0
5642,2023-01-20 11:08:58.122777,172397164,1505,1355,1703,1505,1505,1505,1055,1054,0,0,0,0,0,0
5677,2023-01-20 11:08:58.223036,172497421,1505,1325,1681,1506,1505,1505,1054,1054,0,0,0,0,0,0
5707,2023-01-20 11:08:58.322754,172597140,1505,1310,1678,1505,1506,1505,1054,1054,0,0,0,0,0,0
5742,2023-01-20 11:08:58.422780,172697174,1505,1328,1682,1505,1506,1505,1054,1055,0,0,0,0,0,0
5772,2023-01-20 11:08:58.522723,172797152,1505,1323,1683,1505,1505,1505,1055,1054,0,0,0,0,0,0
5805,2023-01-20 11:08:58.622716,172897164,1506,1332,1717,1505,1506,1505,1054,1054,0,0,0,0,0,0
5835,2023-01-20 11:08:58.722731,172997142,1505,1335,1721,1505,1505,1505,1055,1054,0,0,0,0,0,0
5870,2023-01-20 11:08:58.822762,173097149,1495,1347,1736,1505,1505,1505,1055,1054,0,0,0,0,0,0
5902,2023-01-20 11:08:58.922796,173197199,1471,1363,1691,1506,1505,1505,1054,1055,0,0,0,0,0,0
5936,2023-01-20 11:08:59.020687,173297174,1457,1415,1669,1505,1505,1505,1055,1054,0,0,0,0,0,0
5967,2023-01-20 11:08:59.111599,173397190,1433,1433,1686,1506,1505,1505,1054,1055,0,0,0,0,0,0
6002,2023-01-20 11:08:59.202978,173497422,1441,1412,1688,1505,1506,1505,1054,1054,0,0,0,0,0,0
6032,2023-01-20 11:08:59.302699,173597140,1441,1377,1717,1506,1505,1505,1054,1055,0,0,0,0,0,0
6067,2023-01-20 11:08:59.403089,173697218,1433,1343,1702,1506,1505,1505,1054,1055,0,0,0,0,0,0
6096,2023-01-20 11:08:59.514118,173797139,1430,1343,1707,1506,1505,1505,1055,1054,0,0,0,0,0,0
6129,2023-01-20 11:08:59.620653,173897148,1418,1360,1701,1505,1506,1505,1054,1054,0,0,0,0,0,0
6159,2023-01-20 11:08:59.711540,173997129,1407,1361,1701,1505,1505,1506,1054,1054,0,0,0,0,0,0
6195,2023-01-20 11:08:59.802710,174097151,1407,1391,1693,1505,1505,1506,1054,1054,0,0,0,0,0,0
6227,2023-01-20 11:08:59.902701,174197172,1406,1390,1692,1505,1505,1506,1054,1054,0,0,0,0,0,0
6260,2023-01-20 11:09:00.002647,174297149,1426,1412,1712,1505,1506,1505,1054,1054,0,0,0,0,0,0
