LineNo,UTC_Approx,TimeUS,C15,C16,C17,C18
9765,2023-01-20 11:09:10.782995,185097345,0,0,0,0
9799,2023-01-20 11:09:10.882966,185197324,0,0,0,0
9830,2023-01-20 11:09:10.982976,185297356,0,0,0,0
9863,2023-01-20 11:09:11.082794,185397184,0,0,0,0
9895,2023-01-20 11:09:11.182970,185497368,0,0,0,0
9928,2023-01-20 11:09:11.282763,185597173,0,0,0,0
9961,2023-01-20 11:09:11.382986,185697410,0,0,0,0
9992,2023-01-20 11:09:11.482743,185797167,0,0,0,0
10023,2023-01-20 11:09:11.582927,185897347,0,0,0,0
10055,2023-01-20 11:09:11.682805,185997207,0,0,0,0
10088,2023-01-20 11:09:11.782942,186097324,0,0,0,0
10122,2023-01-20 11:09:11.882838,186197222,0,0,0,0
10153,2023-01-20 11:09:11.982945,186297334,0,0,0,0
10185,2023-01-20 11:09:12.082754,186397169,0,0,0,0
10217,2023-01-20 11:09:12.182969,186497414,0,0,0,0
10250,2023-01-20 11:09:12.282734,186597157,0,0,0,0
10284,2023-01-20 11:09:12.382963,186697353,0,0,0,0
10316,2023-01-20 11:09:12.482826,186797229,0,0,0,0
10347,2023-01-20 11:09:12.582907,186897334,0,0,0,0
10379,2023-01-20 11:09:12.682765,186997171,0,0,0,0
10412,2023-01-20 11:09:12.782948,187097322,0,0,0,0
10446,2023-01-20 11:09:12.882845,187197219,0,0,0,0
10477,2023-01-20 11:09:12.982792,187297173,0,0,0,0
10509,2023-01-20 11:09:13.082785,187397173,0,0,0,0
10541,2023-01-20 11:09:13.182812,187497207,0,0,0,0
10574,2023-01-20 11:09:13.282770,187597156,0,0,0,0
10607,2023-01-20 11:09:13.382880,187697254,0,0,0,0
10639,2023-01-20 11:09:13.482770,187797166,0,0,0,0
10670,2023-01-20 11:09:13.582740,187897165,0,0,0,0
10702,2023-01-20 11:09:13.682802,187997212,0,0,0,0
10735,2023-01-20 11:09:13.782778,188097164,0,0,0,0
10769,2023-01-20 11:09:13.882842,188197220,0,0,0,0
10800,2023-01-20 11:09:13.982806,188297180,0,0,0,0
10832,2023-01-20 11:09:14.082786,188397168,0,0,0,0
10864,2023-01-20 11:09:14.182837,188497229,0,0,0,0
10898,2023-01-20 11:09:14.282798,188597184,0,0,0,0
10932,2023-01-20 11:09:14.382828,188697205,0,0,0,0
10964,2023-01-20 11:09:14.482764,188797164,0,0,0,0
10995,2023-01-20 11:09:14.582745,188897174,0,0,0,0
11027,2023-01-20 11:09:14.682796,188997205,0,0,0,0
11060,2023-01-20 11:09:14.782781,189097159,0,0,0,0
11094,2023-01-20 11:09:14.882826,189197216,0,0,0,0
11125,2023-01-20 11:09:14.982803,189297213,0,0,0,0
11157,2023-01-20 11:09:15.082756,189397161,0,0,0,0
11189,2023-01-20 11:09:15.182793,189497188,0,0,0,0
11222,2023-01-20 11:09:15.282781,189597159,0,0,0,0
11258,2023-01-20 11:09:15.382825,189697184,0,0,0,0
11290,2023-01-20 11:09:15.482785,189797180,0,0,0,0
11323,2023-01-20 11:09:15.582752,189897194,0,0,0,0
11355,2023-01-20 11:09:15.682730,189997143,0,0,0,0
11388,2023-01-20 11:09:15.782773,190097142,0,0,0,0
11422,2023-01-20 11:09:15.882815,190197176,0,0,0,0
11453,2023-01-20 11:09:15.982809,190297170,0,0,0,0
11485,2023-01-20 11:09:16.082792,190397156,0,0,0,0
11517,2023-01-20 11:09:16.182837,190497204,0,0,0,0
11550,2023-01-20 11:09:16.282770,190597137,0,0,0,0
11583,2023-01-20 11:09:16.382820,190697185,0,0,0,0
11615,2023-01-20 11:09:16.482772,190797151,0,0,0,0
11646,2023-01-20 11:09:16.582740,190897137,0,0,0,0
11678,2023-01-20 11:09:16.682775,190997163,0,0,0,0
11711,2023-01-20 11:09:16.782763,191097137,0,0,0,0
11745,2023-01-20 11:09:16.882856,191197223,0,0,0,0
11776,2023-01-20 11:09:16.982807,191297169,0,0,0,0
11808,2023-01-20 11:09:17.082771,191397135,0,0,0,0
11840,2023-01-20 11:09:17.182799,191497166,0,0,0,0
11873,2023-01-20 11:09:17.282783,191597145,0,0,0,0
11906,2023-01-20 11:09:17.382820,191697176,0,0,0,0
11938,2023-01-20 11:09:17.482822,191797205,0,0,0,0
11969,2023-01-20 11:09:17.582776,191897192,0,0,0,0
12001,2023-01-20 11:09:17.682749,191997143,0,0,0,0
12034,2023-01-20 11:09:17.782782,192097143,0,0,0,0
12068,2023-01-20 11:09:17.882814,192197172,0,0,0,0
12099,2023-01-20 11:09:17.982811,192297173,0,0,0,0
12132,2023-01-20 11:09:18.082782,192397161,0,0,0,0
12164,2023-01-20 11:09:18.182822,192497220,0,0,0,0
12197,2023-01-20 11:09:18.275325,192597149,0,0,0,0
12230,2023-01-20 11:09:18.366387,192697184,0,0,0,0
12262,2023-01-20 11:09:18.463008,192797161,0,0,0,0
12293,2023-01-20 11:09:18.562922,192897146,0,0,0,0
12326,2023-01-20 11:09:18.662894,192997144,0,0,0,0
12359,2023-01-20 11:09:18.762946,193097195,0,0,0,0
12393,2023-01-20 11:09:18.862956,193197240,0,0,0,0
12424,2023-01-20 11:09:18.962835,193297174,0,0,0,0
12456,2023-01-20 11:09:19.062789,193397135,0,0,0,0
12488,2023-01-20 11:09:19.162844,193497167,0,0,0,0
12521,2023-01-20 11:09:19.262888,193597141,0,0,0,0
12556,2023-01-20 11:09:19.363053,193697208,0,0,0,0
12588,2023-01-20 11:09:19.463001,193797216,0,0,0,0
12619,2023-01-20 11:09:19.562809,193897177,0,0,0,0
12652,2023-01-20 11:09:19.662729,193997132,0,0,0,0
12686,2023-01-20 11:09:19.762773,194097142,0,0,0,0
12720,2023-01-20 11:09:19.862805,194197168,0,0,0,0
12751,2023-01-20 11:09:19.962795,194297168,0,0,0,0
12784,2023-01-20 11:09:20.062811,194397180,0,0,0,0
12816,2023-01-20 11:09:20.162861,194497218,0,0,0,0
12848,2023-01-20 11:09:20.262783,194597142,0,0,0,0
12882,2023-01-20 11:09:20.362803,194697172,0,0,0,0
12914,2023-01-20 11:09:20.462774,194797161,0,0,0,0
12947,2023-01-20 11:09:20.562738,194897148,0,0,0,0
12980,2023-01-20 11:09:20.662750,194997155,0,0,0,0
13013,2023-01-20 11:09:20.762801,195097184,0,0,0,0
13047,2023-01-20 11:09:20.862808,195197185,0,0,0,0
13078,2023-01-20 11:09:20.962797,195297176,0,0,0,0
13111,2023-01-20 11:09:21.062761,195397140,0,0,0,0
13142,2023-01-20 11:09:21.162792,195497169,0,0,0,0
13176,2023-01-20 11:09:21.262790,195597166,0,0,0,0
13210,2023-01-20 11:09:21.362799,195697175,0,0,0,0
13242,2023-01-20 11:09:21.462829,195797234,0,0,0,0
13273,2023-01-20 11:09:21.562745,195897196,0,0,0,0
13306,2023-01-20 11:09:21.662704,195997140,0,0,0,0
13339,2023-01-20 11:09:21.762752,196097138,0,0,0,0
13373,2023-01-20 11:09:21.862809,196197178,0,0,0,0
13404,2023-01-20 11:09:21.962792,196297165,0,0,0,0
13437,2023-01-20 11:09:22.062810,196397197,0,0,0,0
13468,2023-01-20 11:09:22.162766,196497174,0,0,0,0
13502,2023-01-20 11:09:22.262727,196597131,0,0,0,0
13536,2023-01-20 11:09:22.362783,196697167,0,0,0,0
13568,2023-01-20 11:09:22.462776,196797168,0,0,0,0
13599,2023-01-20 11:09:22.562755,196897172,0,0,0,0
13632,2023-01-20 11:09:22.662721,196997132,0,0,0,0
13665,2023-01-20 11:09:22.762807,197097194,0,0,0,0
13699,2023-01-20 11:09:22.862796,197197172,0,0,0,0
13730,2023-01-20 11:09:22.962782,197297155,0,0,0,0
13763,2023-01-20 11:09:23.062777,197397147,0,0,0,0
13794,2023-01-20 11:09:23.162811,197497178,0,0,0,0
13828,2023-01-20 11:09:23.262785,197597157,0,0,0,0
13862,2023-01-20 11:09:23.362859,197697239,0,0,0,0
13894,2023-01-20 11:09:23.462789,197797181,0,0,0,0
13925,2023-01-20 11:09:23.562752,197897157,0,0,0,0
13958,2023-01-20 11:09:23.662730,197997126,0,0,0,0
13991,2023-01-20 11:09:23.762775,198097148,0,0,0,0
14025,2023-01-20 11:09:23.862795,198197163,0,0,0,0
14056,2023-01-20 11:09:23.962793,198297168,0,0,0,0
14089,2023-01-20 11:09:24.062805,198397194,0,0,0,0
14120,2023-01-20 11:09:24.162764,198497173,0,0,0,0
14154,2023-01-20 11:09:24.262737,198597136,0,0,0,0
14188,2023-01-20 11:09:24.362797,198697170,0,0,0,0
14221,2023-01-20 11:09:24.462791,198797172,0,0,0,0
14252,2023-01-20 11:09:24.562739,198897149,0,0,0,0
14285,2023-01-20 11:09:24.662767,198997185,0,0,0,0
14318,2023-01-20 11:09:24.762742,199097154,0,0,0,0
14352,2023-01-20 11:09:24.862777,199197175,0,0,0,0
14383,2023-01-20 11:09:24.962792,199297171,0,0,0,0
14416,2023-01-20 11:09:25.062769,199397141,0,0,0,0
14447,2023-01-20 11:09:25.162802,199497173,0,0,0,0
14481,2023-01-20 11:09:25.262772,199597137,0,0,0,0
14515,2023-01-20 11:09:25.362880,199697236,0,0,0,0
14547,2023-01-20 11:09:25.462779,199797154,0,0,0,0
14580,2023-01-20 11:09:25.562726,199897138,0,0,0,0
14613,2023-01-20 11:09:25.662728,199997137,0,0,0,0
14646,2023-01-20 11:09:25.762756,200097139,0,0,0,0
14680,2023-01-20 11:09:25.862798,200197168,0,0,0,0
14711,2023-01-20 11:09:25.962848,200297212,0,0,0,0
14744,2023-01-20 11:09:26.062764,200397142,0,0,0,0
14775,2023-01-20 11:09:26.162754,200497158,0,0,0,0
14809,2023-01-20 11:09:26.262747,200597145,0,0,0,0
14843,2023-01-20 11:09:26.362803,200697175,0,0,0,0
14875,2023-01-20 11:09:26.462774,200797156,0,0,0,0
14906,2023-01-20 11:09:26.562736,200897148,0,0,0,0
14939,2023-01-20 11:09:26.662767,200997188,0,0,0,0
14972,2023-01-20 11:09:26.762722,201097140,0,0,0,0
15006,2023-01-20 11:09:26.862773,201197171,0,0,0,0
15037,2023-01-20 11:09:26.962795,201297161,0,0,0,0
15070,2023-01-20 11:09:27.062775,201397136,0,0,0,0
15101,2023-01-20 11:09:27.162800,201497170,0,0,0,0
15135,2023-01-20 11:09:27.262804,201597185,0,0,0,0
15169,2023-01-20 11:09:27.362781,201697173,0,0,0,0
15201,2023-01-20 11:09:27.462783,201797174,0,0,0,0
15232,2023-01-20 11:09:27.562762,201897144,0,0,0,0
15265,2023-01-20 11:09:27.662769,201997144,0,0,0,0
15298,2023-01-20 11:09:27.762780,202097149,0,0,0,0
15332,2023-01-20 11:09:27.862819,202197186,0,0,0,0
15364,2023-01-20 11:09:27.962874,202297241,0,0,0,0
15396,2023-01-20 11:09:28.062790,202397153,0,0,0,0
15427,2023-01-20 11:09:28.162808,202497164,0,0,0,0
15461,2023-01-20 11:09:28.262776,202597134,0,0,0,0
15495,2023-01-20 11:09:28.362817,202697181,0,0,0,0
15527,2023-01-20 11:09:28.457106,202797170,0,0,0,0
15558,2023-01-20 11:09:28.548054,202897193,0,0,0,0
15591,2023-01-20 11:09:28.642828,202997151,0,0,0,0
15624,2023-01-20 11:09:28.742824,203097145,0,0,0,0
15658,2023-01-20 11:09:28.842851,203197172,0,0,0,0
15690,2023-01-20 11:09:28.942840,203297162,0,0,0,0
15722,2023-01-20 11:09:29.042818,203397138,0,0,0,0
15753,2023-01-20 11:09:29.142867,203497181,0,0,0,0
15787,2023-01-20 11:09:29.242859,203597181,0,0,0,0
15821,2023-01-20 11:09:29.342826,203697173,0,0,0,0
15853,2023-01-20 11:09:29.442795,203797162,0,0,0,0
15885,2023-01-20 11:09:29.542772,203897154,0,0,0,0
15918,2023-01-20 11:09:29.642809,203997153,0,0,0,0
15952,2023-01-20 11:09:29.742920,204097153,0,0,0,0
15986,2023-01-20 11:09:29.843027,204197227,0,0,0,0
16018,2023-01-20 11:09:29.942899,204297169,0,0,0,0
16050,2023-01-20 11:09:30.042821,204397150,0,0,0,0
16081,2023-01-20 11:09:30.142795,204497169,0,0,0,0
16115,2023-01-20 11:09:30.242747,204597140,0,0,0,0
16149,2023-01-20 11:09:30.342803,204697181,0,0,0,0
16181,2023-01-20 11:09:30.442779,204797156,0,0,0,0
16214,2023-01-20 11:09:30.542791,204897186,0,0,0,0
16247,2023-01-20 11:09:30.642740,204997148,0,0,0,0
16280,2023-01-20 11:09:30.742734,205097148,0,0,0,0
16314,2023-01-20 11:09:30.842765,205197167,0,0,0,0
16389,2023-01-20 11:09:30.942807,205297174,0,0,0,0
16421,2023-01-20 11:09:31.042787,205397137,0,0,0,0
16452,2023-01-20 11:09:31.142872,205497228,0,0,0,0
16486,2023-01-20 11:09:31.242804,205597167,0,0,0,0
16520,2023-01-20 11:09:31.342827,205697198,0,0,0,0
16551,2023-01-20 11:09:31.443029,205797411,0,0,0,0
16582,2023-01-20 11:09:31.542750,205897149,0,0,0,0
16615,2023-01-20 11:09:31.642736,205997136,0,0,0,0
16648,2023-01-20 11:09:31.742758,206097137,0,0,0,0
16682,2023-01-20 11:09:31.842849,206197216,0,0,0,0
16714,2023-01-20 11:09:31.942801,206297165,0,0,0,0
16746,2023-01-20 11:09:32.042775,206397137,0,0,0,0
