LineNo,UTC_Approx,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
4407,2023-01-20 11:08:54.322709,168597106,-1.13,1.05,174.41,740.31,39.8044309,32.3787932,0.04864005,-0.009712897,-0.009408879,0.9987248
4442,2023-01-20 11:08:54.422701,168697087,-0.48,0.42,173.65,740.3,39.8044306,32.3787935,0.05527224,-0.003971321,-0.004053444,0.9984552
4472,2023-01-20 11:08:54.522649,168797073,-0.66,0.12,172.78,740.57,39.8044307,32.3787935,0.06292857,-0.001419556,-0.00575338,0.9980004
4505,2023-01-20 11:08:54.622651,168897100,-1.16,-0.49,172.76,740.68,39.8044298,32.3787933,0.06314033,0.003710173,-0.01038861,0.9979437
4535,2023-01-20 11:08:54.722623,168997056,-2.29,-0.15,173.35,740.68,39.8044296,32.3787932,0.0579568,0.000168622,-0.02006716,0.9981174
4570,2023-01-20 11:08:54.822645,169097063,-3.33,0.53,174.01,740.92,39.8044292,32.3787925,0.05201841,-0.006204716,-0.02885083,0.99821
4602,2023-01-20 11:08:54.922742,169197149,-4.31,1.03,175.08,741,39.804429,32.3787921,0.04250461,-0.0105997,-0.03726358,0.9983448
4635,2023-01-20 11:08:55.022674,169297070,-4.52,2.08,175.96,741.03,39.8044283,32.3787921,0.03441441,-0.01959831,-0.03876981,0.9984631
4665,2023-01-20 11:08:55.122684,169397070,-4.92,3.1,176.78,741.07,39.8044281,32.378792,0.02686463,-0.02823152,-0.04216485,0.9983503
4700,2023-01-20 11:08:55.222684,169497063,-5.08,3.96,177.37,741.14,39.8044285,32.3787918,0.02131996,-0.03560257,-0.04354374,0.9981893
4730,2023-01-20 11:08:55.322670,169597055,-5.38,4.84,177.71,741.22,39.8044287,32.3787917,0.01793357,-0.04313642,-0.0460625,0.9978456
4765,2023-01-20 11:08:55.422702,169697097,-5.98,4.37,177.57,741.37,39.8044279,32.3787914,0.01908139,-0.03917478,-0.05137291,0.9977284
4797,2023-01-20 11:08:55.522651,169797074,-5.41,3.15,176.4,741.46,39.8044278,32.3787912,0.02995871,-0.02897332,-0.04633789,0.998056
4830,2023-01-20 11:08:55.622635,169897073,-4.65,3.18,174.68,741.41,39.8044275,32.3787918,0.04516659,-0.0296564,-0.03923553,0.997768
4860,2023-01-20 11:08:55.722717,169997125,-3.7,3.97,173.34,741.38,39.8044274,32.3787919,0.05684924,-0.03647389,-0.03024411,0.9972578
4895,2023-01-20 11:08:55.822668,170097055,-2.7,4.35,172.39,741.38,39.8044267,32.3787924,0.06536451,-0.03943024,-0.02098265,0.9968613
4927,2023-01-20 11:08:55.922726,170197116,-2.1,3.9,171.45,741.42,39.8044265,32.3787926,0.07379879,-0.03533246,-0.01580742,0.9965217
4960,2023-01-20 11:08:56.022696,170297086,-2.19,3.37,170.53,741.5,39.8044263,32.3787926,0.08187062,-0.03088948,-0.01661566,0.9960256
4990,2023-01-20 11:08:56.122671,170397055,-1.99,3.62,169.64,741.65,39.8044263,32.3787928,0.0896141,-0.03306161,-0.01448578,0.9953222
5025,2023-01-20 11:08:56.222686,170497065,-1.24,3.52,169.73,741.66,39.8044268,32.3787933,0.08907453,-0.03162987,-0.008019872,0.9954903
5055,2023-01-20 11:08:56.322700,170597081,-1.6,2.96,170.84,741.65,39.804427,32.3787935,0.07942151,-0.02687295,-0.01188986,0.9964079
5090,2023-01-20 11:08:56.422702,170697092,-2.01,2.4,172.36,741.7,39.804426,32.3787939,0.06617069,-0.02208204,-0.01610401,0.997434
5120,2023-01-20 11:08:56.522692,170797114,-2.12,1.78,173.86,741.77,39.8044257,32.3787941,0.05317501,-0.01649946,-0.01766105,0.9982927
5153,2023-01-20 11:08:56.622629,170897068,-2.25,2.41,174.92,741.87,39.8044265,32.3787948,0.04383204,-0.02188319,-0.01872738,0.9986237
5183,2023-01-20 11:08:56.722658,170997063,-1.57,3.14,175.32,741.94,39.8044267,32.3787953,0.04040116,-0.02796078,-0.01262274,0.9987125
5218,2023-01-20 11:08:56.822688,171097069,-0.88,3.91,175.18,742.02,39.8044268,32.3787953,0.04172558,-0.03442975,-0.006241456,0.9985162
