LineNo,UTC_Approx,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
5705,2023-01-20 11:08:58.322717,172597103,39.8044277,32.3787984,742.42,3.022178,3.502178
5740,2023-01-20 11:08:58.422743,172697137,39.8044276,32.3787984,742.53,3.136266,3.616266
5770,2023-01-20 11:08:58.522682,172797111,39.8044274,32.3787983,742.64,3.240791,3.720791
5803,2023-01-20 11:08:58.622675,172897123,39.8044272,32.3787982,742.73,3.338153,3.818153
5833,2023-01-20 11:08:58.722694,172997105,39.8044267,32.378798,742.82,3.428398,3.908398
5868,2023-01-20 11:08:58.822725,173097112,39.8044262,32.3787979,742.91,3.514628,3.994628
5900,2023-01-20 11:08:58.922759,173197162,39.8044256,32.3787976,743,3.603656,4.083656
5934,2023-01-20 11:08:59.020649,173297132,39.8044249,32.3787971,743.09,3.695925,4.175925
5965,2023-01-20 11:08:59.111565,173397153,39.8044244,32.3787965,743.18,3.785665,4.265665
6000,2023-01-20 11:08:59.202941,173497385,39.8044237,32.3787958,743.27,3.870305,4.350305
6030,2023-01-20 11:08:59.302657,173597098,39.8044233,32.3787951,743.35,3.957046,4.437046
6065,2023-01-20 11:08:59.403048,173697181,39.8044228,32.3787944,743.43,4.03929,4.51929
6094,2023-01-20 11:08:59.514077,173797102,39.8044224,32.3787937,743.52,4.1237,4.6037
6127,2023-01-20 11:08:59.620620,173897111,39.8044219,32.3787931,743.6,4.207098,4.687098
6157,2023-01-20 11:08:59.711507,173997092,39.8044213,32.3787925,743.69,4.290238,4.770238
6193,2023-01-20 11:08:59.802673,174097114,39.8044205,32.3787921,743.77,4.37133,4.85133
6225,2023-01-20 11:08:59.902664,174197135,39.8044194,32.3787918,743.85,4.453011,4.933011
6258,2023-01-20 11:09:00.002610,174297112,39.8044181,32.3787918,743.92,4.529361,5.009361
6288,2023-01-20 11:09:00.102577,174397152,39.804417,32.3787916,744,4.606939,5.086939
6323,2023-01-20 11:09:00.202739,174497384,39.8044157,32.3787917,744.07,4.679204,5.159204
6353,2023-01-20 11:09:00.302493,174597087,39.8044144,32.3787915,744.15,4.752347,5.232347
6388,2023-01-20 11:09:00.402596,174697141,39.804413,32.3787916,744.21,4.819388,5.299388
6420,2023-01-20 11:09:00.502483,174797083,39.8044115,32.3787914,744.28,4.884338,5.364338
6453,2023-01-20 11:09:00.602453,174897105,39.8044099,32.3787914,744.34,4.947885,5.427885
6483,2023-01-20 11:09:00.702477,174997097,39.8044082,32.3787913,744.41,5.016856,5.496856
6519,2023-01-20 11:09:00.802530,175097119,39.8044066,32.3787915,744.48,5.089756,5.569756
6551,2023-01-20 11:09:00.902586,175197199,39.8044047,32.3787917,744.57,5.172176,5.652176
6584,2023-01-20 11:09:01.002484,175297118,39.804403,32.3787922,744.65,5.258132,5.738132
6614,2023-01-20 11:09:01.102562,175397121,39.8044012,32.3787925,744.75,5.35111,5.83111
6649,2023-01-20 11:09:01.202938,175497425,39.8043995,32.3787929,744.84,5.442678,5.922678
6679,2023-01-20 11:09:01.302540,175597095,39.8043978,32.3787933,744.93,5.536877,6.016877
6714,2023-01-20 11:09:01.402521,175697143,39.8043962,32.3787937,745.02,5.629436,6.109436
6744,2023-01-20 11:09:01.502438,175797087,39.8043947,32.3787941,745.11,5.71852,6.19852
6777,2023-01-20 11:09:01.602470,175897145,39.8043933,32.3787944,745.19,5.799175,6.279175
6808,2023-01-20 11:09:01.702456,175997125,39.8043917,32.3787947,745.28,5.880805,6.360806
6843,2023-01-20 11:09:01.802438,176097102,39.8043904,32.3787949,745.35,5.958701,6.438701
6875,2023-01-20 11:09:01.902484,176197144,39.8043892,32.3787951,745.43,6.039676,6.519676
6908,2023-01-20 11:09:02.002453,176297109,39.8043881,32.3787952,745.52,6.123077,6.603077
6938,2023-01-20 11:09:02.102487,176397131,39.8043871,32.3787953,745.6,6.207071,6.687071
6973,2023-01-20 11:09:02.202823,176497455,39.8043863,32.3787953,745.68,6.288325,6.768325
7003,2023-01-20 11:09:02.302475,176597103,39.8043855,32.3787954,745.77,6.370676,6.850676
7038,2023-01-20 11:09:02.402507,176697133,39.8043848,32.3787956,745.85,6.452565,6.932565
7068,2023-01-20 11:09:02.502422,176797097,39.8043842,32.3787958,745.93,6.539842,7.019842
7101,2023-01-20 11:09:02.602376,176897098,39.8043837,32.3787958,746.03,6.630397,7.110397
7131,2023-01-20 11:09:02.702411,176997088,39.8043834,32.378796,746.13,6.73018,7.21018
7166,2023-01-20 11:09:02.802476,177097109,39.8043833,32.3787962,746.22,6.82672,7.30672
7198,2023-01-20 11:09:02.902578,177197216,39.8043833,32.3787963,746.32,6.928265,7.408265
7231,2023-01-20 11:09:03.002467,177297109,39.8043833,32.3787962,746.42,7.029659,7.509659
7261,2023-01-20 11:09:03.102462,177397116,39.8043833,32.3787964,746.53,7.139066,7.619066
7296,2023-01-20 11:09:03.202593,177497258,39.8043833,32.3787963,746.64,7.247452,7.727452
7326,2023-01-20 11:09:03.302433,177597102,39.8043833,32.3787963,746.75,7.359235,7.839235
7361,2023-01-20 11:09:03.402465,177697139,39.8043831,32.378796,746.86,7.469198,7.949198
7391,2023-01-20 11:09:03.502443,177797116,39.8043831,32.3787956,746.99,7.59022,8.07022
7424,2023-01-20 11:09:03.602423,177897095,39.804383,32.378795,747.1,7.706355,8.186355
7455,2023-01-20 11:09:03.702453,177997112,39.8043827,32.3787945,747.22,7.822779,8.302779
7490,2023-01-20 11:09:03.802452,178097099,39.8043824,32.3787939,747.33,7.931753,8.411753
7522,2023-01-20 11:09:03.902474,178197134,39.8043819,32.3787934,747.44,8.042466,8.522466
7555,2023-01-20 11:09:04.002444,178297116,39.8043815,32.3787928,747.54,8.146037,8.626037
7586,2023-01-20 11:09:04.102420,178397101,39.804381,32.3787923,747.65,8.25464,8.734639
7621,2023-01-20 11:09:04.202566,178497254,39.8043805,32.3787917,747.76,8.363087,8.843086
7651,2023-01-20 11:09:04.302437,178597102,39.8043799,32.3787911,747.87,8.477627,8.957626
7686,2023-01-20 11:09:04.402492,178697134,39.8043793,32.3787905,747.98,8.589329,9.069328
7716,2023-01-20 11:09:04.502475,178797133,39.804379,32.3787899,748.1,8.701803,9.181803
7749,2023-01-20 11:09:04.602433,178897107,39.8043785,32.3787893,748.21,8.810334,9.290334
7779,2023-01-20 11:09:04.702454,178997103,39.804378,32.3787887,748.32,8.925983,9.405983
7814,2023-01-20 11:09:04.802475,179097101,39.8043774,32.3787881,748.44,9.041552,9.521551
7846,2023-01-20 11:09:04.902477,179197139,39.8043768,32.3787875,748.56,9.164284,9.644283
7879,2023-01-20 11:09:05.002424,179297121,39.8043762,32.3787869,748.68,9.281901,9.761901
7909,2023-01-20 11:09:05.102417,179397091,39.8043755,32.3787865,748.79,9.394368,9.874368
7944,2023-01-20 11:09:05.202488,179497140,39.8043749,32.378786,748.89,9.495472,9.975471
7974,2023-01-20 11:09:05.302459,179597096,39.8043742,32.3787855,748.99,9.59922,10.07922
8010,2023-01-20 11:09:05.402523,179697148,39.8043735,32.378785,749.09,9.69494,10.17494
8042,2023-01-20 11:09:05.502427,179797108,39.8043726,32.3787846,749.18,9.785449,10.26545
8075,2023-01-20 11:09:05.602395,179897130,39.8043716,32.3787842,749.26,9.866224,10.34622
8105,2023-01-20 11:09:05.702485,179997159,39.8043707,32.3787838,749.33,9.936863,10.41686
8140,2023-01-20 11:09:05.802489,180097105,39.8043697,32.3787834,749.39,9.991718,10.47172
8172,2023-01-20 11:09:05.902481,180197137,39.8043686,32.3787831,749.43,10.035,10.51499
8205,2023-01-20 11:09:06.002417,180297112,39.8043676,32.3787827,749.46,10.06745,10.54745
8235,2023-01-20 11:09:06.102455,180397141,39.8043666,32.3787824,749.49,10.09406,10.57406
8270,2023-01-20 11:09:06.202450,180497127,39.8043656,32.3787821,749.51,10.11095,10.59095
8300,2023-01-20 11:09:06.302414,180597094,39.8043645,32.3787815,749.51,10.11876,10.59876
8335,2023-01-20 11:09:06.402449,180697131,39.8043633,32.378781,749.52,10.12042,10.60042
8365,2023-01-20 11:09:06.502429,180797103,39.8043623,32.3787807,749.52,10.12127,10.60127
8398,2023-01-20 11:09:06.602432,180897098,39.8043613,32.3787804,749.51,10.11831,10.59831
8428,2023-01-20 11:09:06.702421,180997091,39.8043604,32.3787803,749.52,10.12019,10.60019
8463,2023-01-20 11:09:06.802438,181097112,39.8043595,32.3787803,749.52,10.1206,10.6006
8495,2023-01-20 11:09:06.902481,181197142,39.8043585,32.3787804,749.52,10.12428,10.60428
