LineNo,UTC_Approx,TimeUS,Vcc,VServo,Flags,AccFlags,Safety,MTemp,MVolt,MVmin,MVmax
7568,2023-01-20 11:09:04.099697,178394377,0,0,4,4,6,0,0,0,0
7603,2023-01-20 11:09:04.200039,178494728,0,0,4,4,6,0,0,0,0
7634,2023-01-20 11:09:04.299710,178594375,0,0,4,4,6,0,0,0,0
7666,2023-01-20 11:09:04.400036,178694678,0,0,4,4,6,0,0,0,0
7699,2023-01-20 11:09:04.499738,178794396,0,0,4,4,6,0,0,0,0
7731,2023-01-20 11:09:04.600037,178894711,0,0,4,4,6,0,0,0,0
7762,2023-01-20 11:09:04.699769,178994419,0,0,4,4,6,0,0,0,0
7794,2023-01-20 11:09:04.800041,179094666,0,0,4,4,6,0,0,0,0
7827,2023-01-20 11:09:04.899734,179194395,0,0,4,4,6,0,0,0,0
7861,2023-01-20 11:09:05.000036,179294734,0,0,4,4,6,0,0,0,0
7892,2023-01-20 11:09:05.099710,179394385,0,0,4,4,6,0,0,0,0
7926,2023-01-20 11:09:05.200036,179494688,0,0,4,4,6,0,0,0,0
7957,2023-01-20 11:09:05.299781,179594419,0,0,4,4,6,0,0,0,0
7990,2023-01-20 11:09:05.400036,179694660,0,0,4,4,6,0,0,0,0
8025,2023-01-20 11:09:05.499950,179794630,0,0,4,4,6,0,0,0,0
8057,2023-01-20 11:09:05.600040,179894776,0,0,4,4,6,0,0,0,0
8088,2023-01-20 11:09:05.699708,179994384,0,0,4,4,6,0,0,0,0
8120,2023-01-20 11:09:05.800037,180094652,0,0,4,4,6,0,0,0,0
8153,2023-01-20 11:09:05.899790,180194445,0,0,4,4,6,0,0,0,0
8187,2023-01-20 11:09:06.000036,180294731,0,0,4,4,6,0,0,0,0
8218,2023-01-20 11:09:06.099702,180394388,0,0,4,4,6,0,0,0,0
8252,2023-01-20 11:09:06.200037,180494714,0,0,4,4,6,0,0,0,0
8283,2023-01-20 11:09:06.299700,180594379,0,0,4,4,6,0,0,0,0
8315,2023-01-20 11:09:06.400037,180694719,0,0,4,4,6,0,0,0,0
8348,2023-01-20 11:09:06.499717,180794391,0,0,4,4,6,0,0,0,0
8380,2023-01-20 11:09:06.600037,180894703,0,0,4,4,6,0,0,0,0
8411,2023-01-20 11:09:06.699711,180994381,0,0,4,4,6,0,0,0,0
8443,2023-01-20 11:09:06.800040,181094714,0,0,4,4,6,0,0,0,0
8476,2023-01-20 11:09:06.899729,181194391,0,0,4,4,6,0,0,0,0
8510,2023-01-20 11:09:07.000036,181294685,0,0,4,4,6,0,0,0,0
8541,2023-01-20 11:09:07.099729,181394375,0,0,4,4,6,0,0,0,0
8575,2023-01-20 11:09:07.200037,181494681,0,0,4,4,6,0,0,0,0
8606,2023-01-20 11:09:07.299735,181594377,0,0,4,4,6,0,0,0,0
8639,2023-01-20 11:09:07.400041,181694682,0,0,4,4,6,0,0,0,0
8672,2023-01-20 11:09:07.499745,181794398,0,0,4,4,6,0,0,0,0
8704,2023-01-20 11:09:07.600037,181894702,0,0,4,4,6,0,0,0,0
8735,2023-01-20 11:09:07.699727,181994372,0,0,4,4,6,0,0,0,0
8767,2023-01-20 11:09:07.800036,182094660,0,0,4,4,6,0,0,0,0
8800,2023-01-20 11:09:07.899810,182194446,0,0,4,4,6,0,0,0,0
8834,2023-01-20 11:09:08.000044,182294692,0,0,4,4,6,0,0,0,0
8865,2023-01-20 11:09:08.099715,182394381,0,0,4,4,6,0,0,0,0
8898,2023-01-20 11:09:08.200036,182494720,0,0,4,4,6,0,0,0,0
8930,2023-01-20 11:09:08.299728,182594389,0,0,4,4,6,0,0,0,0
8962,2023-01-20 11:09:08.400040,182694678,0,0,4,4,6,0,0,0,0
8995,2023-01-20 11:09:08.499722,182794392,0,0,4,4,6,0,0,0,0
9027,2023-01-20 11:09:08.600036,182894737,0,0,4,4,6,0,0,0,0
9058,2023-01-20 11:09:08.699693,182994362,0,0,4,4,6,0,0,0,0
9090,2023-01-20 11:09:08.800036,183094672,0,0,4,4,6,0,0,0,0
9125,2023-01-20 11:09:08.899783,183194432,0,0,4,4,6,0,0,0,0
9159,2023-01-20 11:09:09.000033,183294698,0,0,4,4,6,0,0,0,0
9190,2023-01-20 11:09:09.090832,183394374,0,0,4,4,6,0,0,0,0
9221,2023-01-20 11:09:09.182208,183494683,0,0,4,4,6,0,0,0,0
9256,2023-01-20 11:09:09.280146,183594371,0,0,4,4,6,0,0,0,0
9286,2023-01-20 11:09:09.380347,183694585,0,0,4,4,6,0,0,0,0
9321,2023-01-20 11:09:09.480194,183794431,0,0,4,4,6,0,0,0,0
9351,2023-01-20 11:09:09.580406,183894639,0,0,4,4,6,0,0,0,0
9385,2023-01-20 11:09:09.680148,183994364,0,0,4,4,6,0,0,0,0
9415,2023-01-20 11:09:09.780444,184094641,0,0,4,4,6,0,0,0,0
