LineNo,UTC_Approx,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
54772,2023-01-20 11:11:27.252001,321846634,33,327,13305,12105,16285,14240
55098,2023-01-20 11:11:28.254502,322849160,33,325,13214,11143,16329,13620
55425,2023-01-20 11:11:29.256958,323851598,33,326,13257,11415,15688,13491
55753,2023-01-20 11:11:30.259530,324854159,33,327,13321,11720,16090,13743
56082,2023-01-20 11:11:31.242850,325857030,33,328,13295,12178,16314,14312
56409,2023-01-20 11:11:32.245164,326859526,33,326,13262,11138,15340,13309
56783,2023-01-20 11:11:33.247259,327861624,33,373,14602,11252,15848,13358
57110,2023-01-20 11:11:34.249745,328864145,33,326,13257,11804,16054,14011
57436,2023-01-20 11:11:35.252287,329866658,33,325,13214,11053,16295,13866
57765,2023-01-20 11:11:36.255099,330869464,33,328,13295,11190,15529,13296
58092,2023-01-20 11:11:37.257262,331871644,33,326,13262,11491,15936,13559
58419,2023-01-20 11:11:38.259794,332874173,33,326,13257,11935,16196,14132
58745,2023-01-20 11:11:39.262327,333876721,33,325,13214,11174,16306,13910
59073,2023-01-20 11:11:40.258940,334879119,33,327,13310,11339,15635,13414
59401,2023-01-20 11:11:41.247713,335881972,33,327,13252,11597,16049,13666
59728,2023-01-20 11:11:42.255283,336884129,33,326,13276,12051,16296,14254
60054,2023-01-20 11:11:43.252239,337886631,33,325,13226,11226,16329,13954
60381,2023-01-20 11:11:44.254765,338889147,33,326,13352,11277,15642,13423
60705,2023-01-20 11:11:45.257210,339891613,33,323,13156,11607,16155,13720
61035,2023-01-20 11:11:46.260202,340894571,33,329,13362,12157,16313,14320
61387,2023-01-20 11:11:47.262974,341897359,33,351,14356,11218,15478,13401
61712,2023-01-20 11:11:48.264732,342899109,33,324,13199,11478,15809,13468
62037,2023-01-20 11:11:49.267261,343901633,33,324,13185,11894,16293,14161
62361,2023-01-20 11:11:50.263470,344904118,33,323,13176,11330,16313,13980
