LineNo,UTC_Approx,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
139742,2023-01-20 11:15:44.661657,579796075,0,0.12,0.01,0.01,0.32,0,0.007838311,3.144728,-0.9072883,0,48,107327,0,0
139774,2023-01-20 11:15:44.761665,579896075,0,0.12,0.01,0.01,0.29,0,0.007925341,3.144728,-0.9072883,0,48,107327,0,0
139806,2023-01-20 11:15:44.861671,579996070,0,0.17,0.01,0,0.31,0,0.007876483,3.144728,-0.9072883,0,48,107327,0,0
139839,2023-01-20 11:15:44.961717,580096103,0,0.17,0.01,0.01,0.31,0,0.007946284,3.144728,-0.9072883,0,48,107327,0,0
139872,2023-01-20 11:15:45.061704,580196081,0,0.15,0.01,0.01,0.44,0,0.007895165,3.144728,-0.9072883,0,48,107327,0,0
139906,2023-01-20 11:15:45.161702,580296073,0,0.15,0.01,0,0.41,0,0.007971703,3.144728,-0.9072883,0,48,107327,0,0
139938,2023-01-20 11:15:45.261701,580396070,0,0.17,0.01,0,0.39,0,0.007925081,3.144728,-0.9072883,0,48,107327,0,0
139970,2023-01-20 11:15:45.361710,580496078,0,0.17,0.01,0,0.29,0,0.008000367,3.144728,-0.9072883,0,48,107327,0,0
140004,2023-01-20 11:15:45.461683,580596068,0,0.15,0.01,0.01,0.35,0,0.007950577,3.144728,-0.9072883,0,48,107327,0,0
140037,2023-01-20 11:15:45.561665,580696078,0,0.15,0.01,0.01,0.36,0,0.008009246,3.144728,-0.9072883,0,48,107327,0,0
140071,2023-01-20 11:15:45.661674,580796082,0,0.2,0.01,0,0.31,0,0.007968302,3.144728,-0.9072883,0,48,107327,0,0
140103,2023-01-20 11:15:45.761689,580896069,0,0.2,0.01,0,0.33,0,0.008047903,3.144728,-0.9072883,0,48,107327,0,0
140135,2023-01-20 11:15:45.861700,580996070,0,0.21,0.01,0,0.37,0,0.008001555,3.144728,-0.9072883,0,48,107327,0,0
140168,2023-01-20 11:15:45.961734,581096104,0,0.21,0.01,0,0.62,0,0.008085016,3.144728,-0.9072883,0,48,107327,0,0
140200,2023-01-20 11:15:46.061686,581196070,0,0.23,0.01,0.01,0.46,0,0.008066353,3.144728,-0.9072883,0,48,107327,0,0
140234,2023-01-20 11:15:46.161666,581296072,0,0.23,0.01,0.02,0.34,0,0.008166102,3.144728,-0.9072883,0,48,107327,0,0
140267,2023-01-20 11:15:46.261678,581396079,0,0.2,0.01,0.02,0.44,0,0.008146239,3.144728,-0.9072883,0,48,107327,0,0
140299,2023-01-20 11:15:46.361707,581496086,0,0.2,0.01,0.03,0.45,0,0.008248549,3.144728,-0.9072883,0,48,107327,0,0
140333,2023-01-20 11:15:46.461682,581596068,0,0.15,0.01,0.04,0.34,0,0.008229665,3.144728,-0.9072883,0,48,107327,0,0
140364,2023-01-20 11:15:46.561669,581696079,0,0.15,0.01,0.03,0.41,0,0.008324842,3.144728,-0.9072883,0,48,107327,0,0
140398,2023-01-20 11:15:46.661647,581796068,0,0.2,0.01,0.03,0.43,0,0.008280719,3.144728,-0.9072883,0,48,107327,0,0
140430,2023-01-20 11:15:46.761643,581896068,0,0.2,0.01,0.02,0.44,0,0.008344634,3.144728,-0.9072883,0,48,107327,0,0
140462,2023-01-20 11:15:46.861668,581996078,0,0.14,0.01,0.02,0.41,0,0.008302958,3.144728,-0.9072883,0,48,107327,0,0
140495,2023-01-20 11:15:46.961691,582096076,0,0.14,0.01,0.03,0.36,0,0.008371265,3.144728,-0.9072883,0,48,107327,0,0
140527,2023-01-20 11:15:47.061702,582196077,0,0.17,0.01,0.01,0.39,0,0.008310815,3.144728,-0.9072883,0,48,107327,0,0
140561,2023-01-20 11:15:47.161707,582296081,0,0.17,0.01,0.02,0.34,0,0.00837027,3.144728,-0.9072883,0,48,107327,0,0
140594,2023-01-20 11:15:47.261698,582396070,0,0.16,0.01,0,0.35,0,0.00829034,3.144728,-0.9072883,0,48,107327,0,0
140626,2023-01-20 11:15:47.361703,582496071,0,0.16,0.01,0,0.4,0,0.008358636,3.144728,-0.9072883,0,48,107327,0,0
140660,2023-01-20 11:15:47.461698,582596080,0,0.09,0.01,0.01,0.3,0,0.008298296,3.144728,-0.9072883,0,48,107327,0,0
140691,2023-01-20 11:15:47.561664,582696071,0,0.09,0.01,0,0.32,0,0.008352745,3.144728,-0.9072883,0,48,107327,0,0
140725,2023-01-20 11:15:47.661686,582796085,0,0.1,0.01,0,0.32,0,0.008288182,3.144728,-0.9072883,0,48,107327,0,0
140757,2023-01-20 11:15:47.761711,582896080,0,0.1,0.01,0.01,0.25,0,0.008373986,3.144728,-0.9072883,0,48,107327,0,0
140789,2023-01-20 11:15:47.861706,582996070,0,0.26,0.01,0,0.24,0,0.008319202,3.144728,-0.9072883,0,48,107327,0,0
140822,2023-01-20 11:15:47.961702,583096075,0,0.26,0.01,0,0.26,0,0.008375979,3.144728,-0.9072883,0,48,107327,0,0
140854,2023-01-20 11:15:48.061698,583196073,0,0.24,0.01,0,0.34,0,0.008322035,3.144728,-0.9072883,0,48,107327,0,0
140888,2023-01-20 11:15:48.161708,583296082,0,0.24,0.01,0,0.33,0,0.008402325,3.144728,-0.9072883,0,48,107327,0,0
140920,2023-01-20 11:15:48.261709,583396078,0,0.15,0.01,0.01,0.15,0,0.008352192,3.144728,-0.9072883,0,48,107327,0,0
140952,2023-01-20 11:15:48.361713,583496076,0,0.15,0.01,0,0.17,0,0.008436948,3.144728,-0.9072883,0,48,107327,0,0
140986,2023-01-20 11:15:48.461689,583596070,0,0.18,0.01,0,0.22,0,0.008372444,3.144728,-0.9072883,0,48,107327,0,0
141017,2023-01-20 11:15:48.561656,583696070,0,0.18,0.01,0,0.14,0,0.008444044,3.144728,-0.9072883,0,48,107327,0,0
141051,2023-01-20 11:15:48.661644,583796069,0,0.14,0.02,0,0.16,0,0.008393845,3.144728,-0.9072883,0,48,107327,0,0
141083,2023-01-20 11:15:48.761658,583896080,0,0.14,0.02,0,0.26,0,0.008464645,3.144728,-0.9072883,0,48,107327,0,0
141115,2023-01-20 11:15:48.861665,583996071,0,0.15,0.02,0.01,0.22,0,0.00840737,3.144728,-0.9072883,0,48,107327,0,0
141149,2023-01-20 11:15:48.961705,584096086,0,0.15,0.02,0.02,0.2,0,0.008482336,3.144728,-0.9072883,0,48,107327,0,0
141183,2023-01-20 11:15:49.061700,584196070,0,0.23,0.02,0.01,0.16,0,0.008395913,3.144728,-0.9072883,0,48,107327,0,0
141217,2023-01-20 11:15:49.161713,584296082,0,0.23,0.02,0,0.28,0,0.008459818,3.144728,-0.9072883,0,48,107327,0,0
141249,2023-01-20 11:15:49.261683,584396070,0,0.19,0.02,0.01,0.3,0,0.00841213,3.144728,-0.9072883,0,48,107327,0,0
141282,2023-01-20 11:15:49.361654,584496069,0,0.19,0.02,0.04,0.27,0,0.008500447,3.144728,-0.9072883,0,48,107327,0,0
141316,2023-01-20 11:15:49.461656,584596080,0,0.19,0.02,0.05,0.24,0,0.00842122,3.144728,-0.9072883,0,48,107327,0,0
141347,2023-01-20 11:15:49.561648,584696070,0,0.19,0.02,0.02,0.23,0,0.008493979,3.144728,-0.9072883,0,48,107327,0,0
141381,2023-01-20 11:15:49.661679,584796082,0,0.21,0.02,0.01,0.22,0,0.008433877,3.144728,-0.9072883,0,48,107327,0,0
141413,2023-01-20 11:15:49.761711,584896084,0,0.21,0.02,0.02,0.22,0,0.008493566,3.144728,-0.9072883,0,48,107327,0,0
141445,2023-01-20 11:15:49.861712,584996071,0,0.15,0.01,0.02,0.17,0,0.008429683,3.144728,-0.9072883,0,48,107327,0,0
141478,2023-01-20 11:15:49.961718,585096071,0,0.15,0.01,0.03,0.22,0,0.008498196,3.144728,-0.9072883,0,48,107327,0,0
141510,2023-01-20 11:15:50.061719,585196080,0,0.1,0.01,0.03,0.23,0,0.008403816,3.144728,-0.9072883,0,48,107327,0,0
141544,2023-01-20 11:15:50.161696,585296073,0,0.1,0.01,0,0.23,0,0.008447199,3.144728,-0.9072883,0,48,107327,0,0
141576,2023-01-20 11:15:50.261683,585396066,0,0.1,0.01,0,0.3,0,0.008332566,3.144728,-0.9072883,0,48,107327,0,0
141608,2023-01-20 11:15:50.361703,585496087,0,0.1,0.01,0.01,0.37,0,0.008386336,3.144728,-0.9072883,0,48,107327,0,0
141642,2023-01-20 11:15:50.456128,585596070,0,0.15,0.01,0,0.31,0,0.008314551,3.144728,-0.9072883,0,48,107327,0,0
141675,2023-01-20 11:15:50.547114,585696066,0,0.15,0.01,0,0.32,0,0.008370134,3.144728,-0.9072883,0,48,107327,0,0
141709,2023-01-20 11:15:50.641881,585796082,0,0.09,0.01,0,0.26,0,0.008292379,3.144728,-0.9072883,0,48,107327,0,0
141741,2023-01-20 11:15:50.741853,585896084,0,0.09,0.01,0.01,0.26,0,0.008348406,3.144728,-0.9072883,0,48,107327,0,0
