LineNo,UTC_Approx,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
4042,2023-01-20 11:08:53.222432,167496801,9.116276,0.5313708,0.02035989,1.070391,1.064273,-0.004757964,-0.5251546,3.375645,-0.001648252,0.7126808,0.7126808,0.002662892
4072,2023-01-20 11:08:53.322460,167596819,8.816578,0.2193531,0.02638162,0.3361987,-0.01236189,0.001675037,-0.4561015,-0.8634852,-0.002035126,-3.206825,-3.206825,0.03319595
4105,2023-01-20 11:08:53.422443,167696803,9.194128,0.2551152,0.03000962,0.55465,0.5440473,-0.008629947,-0.5486872,2.396175,-0.001902506,4.211521,4.211521,0.07757053
4137,2023-01-20 11:08:53.522424,167796824,9.230693,0.2658905,0.03600171,-0.8912473,1.27855,-0.01486181,-0.546454,-0.2357597,-0.001710723,-1.815224,-1.815224,0.1259609
4170,2023-01-20 11:08:53.622401,167896826,8.566041,-1.039643,0.04993443,-0.9332307,2.168145,-0.02041963,-0.6426783,0.7356046,-0.001659885,-8.232975,-8.232975,0.1755139
4200,2023-01-20 11:08:53.722406,167996799,7.928106,-0.2276316,0.02785092,0.4120499,-2.889744,0.02294592,0.1401609,-6.882149,0.002910412,0.500679,0.500679,0.2253997
4235,2023-01-20 11:08:53.822428,168096800,5.755662,2.242449,0.01744111,0.2914665,-0.1521371,0.009268852,2.493556,-4.198395,0.01579757,12.21638,12.21638,0.275381
4265,2023-01-20 11:08:53.922447,168196835,0.7019893,8.095362,-0.02386785,3.759518,6.892088,-0.04825151,1.916667,0.07828929,0.006853787,30.75409,30.75409,0.3253635
4301,2023-01-20 11:08:54.022518,168296922,-5.914879,-0.472196,0.03160427,-1.341221,6.665113,-0.05489342,0.6855821,1.745255,-5.969715E-05,122.7622,122.7622,0.375294
4332,2023-01-20 11:08:54.122396,168396813,-5.31819,-3.338803,-0.007689687,-5.036896,11.90295,-0.0967977,-1.182992,3.373963,-0.00905904,62.74958,206.3125,0.379247
4367,2023-01-20 11:08:54.222366,168496787,-2.597826,-14.92875,0.07891249,-8.195796,-0.5748873,-0.01593524,-2.931087,1.449678,-0.01432062,-46.63527,150.9909,0.3333784
4397,2023-01-20 11:08:54.322456,168596853,-9.078303,-0.4842089,0.01561579,-7.191259,-13.93328,0.01625955,-1.995342,-4.050731,-0.004824599,-111.8389,66.69168,0.3035013
4430,2023-01-20 11:08:54.422418,168696804,-14.19931,4.71285,-0.04074217,-3.152425,3.316293,-0.05757632,1.712081,-11.61187,0.01728385,-117.7072,6.011295,0.30175
4462,2023-01-20 11:08:54.522410,168796834,-18.60313,-6.676207,0.0005964264,-0.7271096,-5.710102,0.01787154,5.719767,-6.533812,0.03341296,-116.1122,-52.3469,0.3059288
4495,2023-01-20 11:08:54.622432,168896881,-21.4611,-8.040645,-0.02408054,6.84403,-4.710185,0.04136564,5.893526,1.914113,0.02481128,-84.16932,-36.54823,0.3257674
4525,2023-01-20 11:08:54.722384,168996817,-16.18585,-8.497353,-0.06314279,8.25396,15.51823,-0.0547035,3.247578,5.062056,0.006005013,-76.11948,22.02768,0.3107167
4560,2023-01-20 11:08:54.822388,169096806,-14.66261,-6.039313,-0.04278943,13.07716,2.943397,0.01797531,0.1154308,7.650165,-0.007931416,-84.67986,-28.17707,0.2994129
4590,2023-01-20 11:08:54.922526,169196933,-6.223378,-9.377018,0.01438686,15.90358,8.2349,0.007934998,-4.504133,9.821965,-0.02971937,-71.95166,-56.21519,0.3113481
4625,2023-01-20 11:08:55.022438,169296834,-2.913057,-4.601376,0.007886875,11.35286,7.850024,0.0246115,-8.659569,9.083585,-0.04304559,-42.8039,-32.6478,0.3184956
4655,2023-01-20 11:08:55.122436,169396822,0.3337986,2.535855,-0.02876266,10.71402,13.93892,-0.03119667,-12.52317,6.782279,-0.05469203,-11.74597,-30.73778,0.3292812
4690,2023-01-20 11:08:55.222442,169496821,3.497208,-7.501915,0.06771374,5.337788,11.86194,-0.04087109,-15.30885,4.158042,-0.06052016,3.64616,-3.304195,0.3370518
4720,2023-01-20 11:08:55.322435,169596820,8.599813,-3.430372,0.01665355,-4.157568,1.144796,5.989522E-05,-16.88423,1.668388,-0.06121301,9.058313,-41.81995,0.3474173
4753,2023-01-20 11:08:55.422423,169696818,17.93261,5.298598,-0.01194996,-1.375356,-13.84379,0.02836397,-15.95091,-8.870087,-0.04996654,27.39898,9.625816,0.3576741
4787,2023-01-20 11:08:55.522411,169796834,15.10022,12.45788,-0.02411973,4.667229,-3.697383,0.02208874,-10.10055,-16.96303,-0.01450578,17.99476,4.707432,0.3464305
4820,2023-01-20 11:08:55.622387,169896825,14.1325,10.66671,0.01264816,4.72735,8.818304,-0.02550693,-2.194183,-19.01833,0.02074285,21.85028,-24.30544,0.352306
4850,2023-01-20 11:08:55.722522,169996931,9.296409,5.987272,0.05201279,-1.045653,3.258378,0.02206033,3.818383,-11.73255,0.0370466,20.97605,-6.653118,0.3634216
4885,2023-01-20 11:08:55.822416,170096803,4.274046,15.76356,-0.04673953,-6.137463,6.117639,-0.05992047,8.257049,-10.89417,0.04626806,-12.26948,25.37899,0.3512058
4915,2023-01-20 11:08:55.922448,170196838,1.470935,1.49019,0.02660869,-5.198385,-4.463258,0.01403845,12.69557,-8.668009,0.05922906,-31.43691,22.80703,0.3289095
4950,2023-01-20 11:08:56.022451,170296842,2.17001,-0.07430547,-0.001517913,-2.354544,0.7580308,-0.023897,17.08801,-11.13782,0.07303029,-48.99717,-41.92162,0.3262817
4980,2023-01-20 11:08:56.122431,170396815,-0.1810401,4.333283,0.001911059,-3.266164,-6.143556,0.05911588,21.23196,-6.136273,0.08617093,-41.65322,-25.03462,0.3327568
5015,2023-01-20 11:08:56.222447,170496826,-2.721322,5.728399,-0.03849539,-3.631346,0.04691319,-0.03388239,21.12638,6.008382,0.07243109,7.615303,-23.5384,0.3362101
5045,2023-01-20 11:08:56.322457,170596838,1.482957,-5.380492,0.04029755,-1.793069,-5.078551,-0.0001291703,16.38656,12.5984,0.04118665,53.31501,19.51656,0.3529931
5078,2023-01-20 11:08:56.422432,170696822,6.946433,-10.12491,0.08565806,1.826572,-14.07179,0.08912101,9.732471,15.44009,0.009687662,58.35483,43.29195,0.3576719
5110,2023-01-20 11:08:56.522507,170796929,11.69955,3.699555,-0.01071092,10.64386,5.773267,-0.002755154,3.265498,13.35121,-0.01256966,55.65295,43.74142,0.3559075
5143,2023-01-20 11:08:56.622385,170896824,18.65472,1.677614,0.05326925,6.379883,5.887589,0.01967341,-1.385831,7.001888,-0.02266189,38.28001,41.71667,0.349365
5173,2023-01-20 11:08:56.722419,170996824,19.51361,4.208172,0.07973443,0.9808586,3.764891,0.01064426,-3.197133,1.652217,-0.01730913,42.72771,14.32095,0.3535174
5208,2023-01-20 11:08:56.822433,171096814,17.95194,9.417757,0.01670416,-7.256101,0.2309153,-0.008343267,-2.523789,-4.082922,-0.006566058,38.9372,18.65492,0.3569328
5238,2023-01-20 11:08:56.922452,171196841,17.6319,1.17482,0.07314461,-7.712084,-7.476464,0.0176284,-0.8111287,-5.385125,0.005475565,34.32662,27.12336,0.3563269
5273,2023-01-20 11:08:57.022397,171296790,15.93099,3.243218,0.05478152,-4.2156,-7.984805,0.001428318,0.9274046,-2.695576,0.0125214,-7.298151,12.86526,0.3510079
5304,2023-01-20 11:08:57.122426,171396811,16.63136,5.316516,0.06385911,-0.2869066,6.574662,-0.03339639,1.692649,-0.3370708,0.01100594,-28.45521,-0.3484726,0.3392513
5339,2023-01-20 11:08:57.222442,171496821,16.08378,4.028428,0.05866838,-2.512583,5.399818,-0.03344909,1.21888,0.1590761,0.005061764,24.86916,-35.90422,0.354042
5369,2023-01-20 11:08:57.322545,171596921,14.80164,8.732952,0.03474447,-0.4659472,6.796876,0.002318181,1.018375,0.4654173,0.004419676,82.71297,-9.136772,0.3862018
5402,2023-01-20 11:08:57.422428,171696811,9.715687,12.20843,0.006880365,-3.787755,-6.368849,0.0177667,0.6913095,0.3691032,0.003592864,96.11963,18.07575,0.3965451
5434,2023-01-20 11:08:57.522386,171796805,5.925814,5.378881,0.01978664,2.103082,2.707706,-0.05719738,-0.128584,3.856641,-0.0005847248,101.8503,52.75612,0.3999873
5467,2023-01-20 11:08:57.622392,171896832,6.806038,-8.687155,0.09685871,4.501343,-8.626124,0.06570309,-3.159457,8.081127,-0.01754701,68.64478,69.73953,0.3878005
5497,2023-01-20 11:08:57.722413,171996820,8.589401,-0.7896674,0.057207,4.722867,-7.39929,0.05618075,-6.269893,7.035434,-0.02931773,29.91154,60.55574,0.3729284
5532,2023-01-20 11:08:57.822544,172096926,10.91933,-8.629485,0.1203618,8.562953,-3.893979,0.03383072,-10.00363,10.714,-0.04482375,4.098392,63.69295,0.3603228
5562,2023-01-20 11:08:57.922451,172196838,16.73627,2.769771,0.05286876,0.4225872,12.48028,-0.0460856,-14.65303,7.930485,-0.06165402,-27.60234,27.59438,0.3386511
