LineNo,UTC_Approx,TimeUS,C,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
153229,2023-01-20 11:16:25.481685,620696068,0,7.066752E-11,2.033402E-08,3.455506E-08,2.643009E-09,3.956332E-06,2.913187E-06,8.5089E-05,2.71158E-06,1.730053E-06,8.207773E-05,0,0
153394,2023-01-20 11:16:25.981725,621196082,0,7.059944E-11,2.03147E-08,3.456231E-08,2.648175E-09,3.957603E-06,2.913712E-06,8.506405E-05,2.711096E-06,1.729434E-06,8.205308E-05,0,0
153558,2023-01-20 11:16:26.481663,621696072,0,7.052733E-11,2.029171E-08,3.456962E-08,2.652888E-09,3.958883E-06,2.914247E-06,8.503181E-05,2.710496E-06,1.728799E-06,8.202124E-05,0,0
153721,2023-01-20 11:16:26.981672,622196072,0,7.04727E-11,2.027317E-08,3.457711E-08,2.658134E-09,3.959959E-06,2.914786E-06,8.500547E-05,2.709812E-06,1.728206E-06,8.199545E-05,0,0
153885,2023-01-20 11:16:27.481695,622696080,0,7.041211E-11,2.025104E-08,3.458457E-08,2.662831E-09,3.961026E-06,2.915323E-06,8.497973E-05,2.709223E-06,1.727593E-06,8.197013E-05,0,0
154048,2023-01-20 11:16:27.965387,623196072,0,7.037209E-11,2.023276E-08,3.459209E-08,2.668075E-09,3.962537E-06,2.915887E-06,8.496051E-05,2.70902E-06,1.726993E-06,8.195118E-05,0,0
154212,2023-01-20 11:16:28.481692,623696071,0,7.03204E-11,2.021258E-08,3.45996E-08,2.672917E-09,3.964123E-06,2.916431E-06,8.493541E-05,2.708731E-06,1.726377E-06,8.192661E-05,0,0
154375,2023-01-20 11:16:28.961913,624196067,0,7.028726E-11,2.019596E-08,3.460745E-08,2.678233E-09,3.964658E-06,2.916968E-06,8.491451E-05,2.707817E-06,1.725807E-06,8.190615E-05,0,0
154539,2023-01-20 11:16:29.461822,624696087,0,7.025594E-11,2.017657E-08,3.461527E-08,2.683046E-09,3.964586E-06,2.917515E-06,8.490151E-05,2.706852E-06,1.725216E-06,8.189288E-05,0,0
154700,2023-01-20 11:16:29.961699,625196067,0,7.023328E-11,2.016018E-08,3.462322E-08,2.688226E-09,3.964618E-06,2.918023E-06,8.487936E-05,2.70566E-06,1.724671E-06,8.187099E-05,0,0
154865,2023-01-20 11:16:30.461648,625696071,0,7.021152E-11,2.014103E-08,3.463109E-08,2.692853E-09,3.965069E-06,2.918536E-06,8.485946E-05,2.70472E-06,1.724135E-06,8.185148E-05,0,0
155029,2023-01-20 11:16:30.961811,626196076,0,7.019135E-11,2.012489E-08,3.463891E-08,2.697883E-09,3.965475E-06,2.91901E-06,8.485075E-05,2.703961E-06,1.723643E-06,8.184287E-05,0,0
155193,2023-01-20 11:16:31.461686,626696074,0,7.015952E-11,2.010566E-08,3.464655E-08,2.702195E-09,3.965045E-06,2.919456E-06,8.484446E-05,2.702938E-06,1.723139E-06,8.18361E-05,0,0
155404,2023-01-20 11:16:31.961712,627196080,0,7.014647E-11,2.009014E-08,3.465425E-08,2.707145E-09,3.965421E-06,2.919941E-06,8.484252E-05,2.70242E-06,1.722633E-06,8.183342E-05,0,0
155570,2023-01-20 11:16:32.461662,627696080,0,7.011219E-11,2.007247E-08,3.466175E-08,2.71146E-09,3.965972E-06,2.920399E-06,8.48392E-05,2.702045E-06,1.722081E-06,8.182945E-05,0,0
155732,2023-01-20 11:16:32.961666,628196076,0,7.009453E-11,2.005837E-08,3.466946E-08,2.716373E-09,3.966753E-06,2.920858E-06,8.48351E-05,2.701718E-06,1.721523E-06,8.182466E-05,0,0
155896,2023-01-20 11:16:33.461678,628696071,0,7.007588E-11,2.004253E-08,3.467715E-08,2.720721E-09,3.967733E-06,2.921332E-06,8.482627E-05,2.701511E-06,1.720916E-06,8.181468E-05,0,0
156058,2023-01-20 11:16:33.961712,629196079,0,7.005992E-11,2.002982E-08,3.468485E-08,2.725623E-09,3.969782E-06,2.921795E-06,8.480463E-05,2.701437E-06,1.720377E-06,8.179249E-05,0,0
156223,2023-01-20 11:16:34.461679,629696067,0,7.004315E-11,2.001618E-08,3.469264E-08,2.730167E-09,3.971662E-06,2.922272E-06,8.47877E-05,2.701338E-06,1.71982E-06,8.1775E-05,0,0
156385,2023-01-20 11:16:34.961673,630196087,0,7.00243E-11,2.000462E-08,3.470042E-08,2.735057E-09,3.973728E-06,2.922729E-06,8.476784E-05,2.70127E-06,1.7193E-06,8.17544E-05,0,0
156549,2023-01-20 11:16:35.461690,630696082,0,6.999604E-11,1.999126E-08,3.47082E-08,2.739273E-09,3.975109E-06,2.923158E-06,8.475577E-05,2.701127E-06,1.718726E-06,8.174099E-05,0,0
156713,2023-01-20 11:16:35.961715,631196077,0,6.998876E-11,1.998052E-08,3.471623E-08,2.744087E-09,3.976602E-06,2.923611E-06,8.474707E-05,2.700941E-06,1.71817E-06,8.173174E-05,0,0
156877,2023-01-20 11:16:36.461678,631696068,0,6.996471E-11,1.996764E-08,3.47242E-08,2.74812E-09,3.979285E-06,2.924035E-06,8.471085E-05,2.700773E-06,1.717601E-06,8.16959E-05,0,0
157040,2023-01-20 11:16:36.961717,632196082,0,6.995089E-11,1.995732E-08,3.473231E-08,2.752763E-09,3.981585E-06,2.924442E-06,8.468652E-05,2.700553E-06,1.717052E-06,8.167221E-05,0,0
157205,2023-01-20 11:16:37.456141,632696080,0,6.993619E-11,1.994545E-08,3.474054E-08,2.756888E-09,3.983406E-06,2.924859E-06,8.466792E-05,2.700249E-06,1.71649E-06,8.165415E-05,0,0
157367,2023-01-20 11:16:37.941902,633196077,0,6.991977E-11,1.993558E-08,3.474864E-08,2.761415E-09,3.985132E-06,2.925271E-06,8.465593E-05,2.700065E-06,1.716012E-06,8.164168E-05,0,0
157531,2023-01-20 11:16:38.441858,633696072,0,6.989519E-11,1.992396E-08,3.475676E-08,2.765298E-09,3.986115E-06,2.92568E-06,8.465122E-05,2.699815E-06,1.715509E-06,8.163568E-05,0,0
157695,2023-01-20 11:16:38.947002,634196095,0,6.987826E-11,1.991492E-08,3.476496E-08,2.769838E-09,3.986732E-06,2.926099E-06,8.465062E-05,2.69943E-06,1.715037E-06,8.16336E-05,0,0
157858,2023-01-20 11:16:39.441687,634696071,0,6.984882E-11,1.990316E-08,3.47731E-08,2.773365E-09,3.987201E-06,2.926489E-06,8.464935E-05,2.699054E-06,1.714563E-06,8.163045E-05,0,0
158020,2023-01-20 11:16:39.941765,635196067,0,6.983748E-11,1.989397E-08,3.47813E-08,2.777661E-09,3.988925E-06,2.926932E-06,8.463711E-05,2.698888E-06,1.714139E-06,8.161718E-05,0,0
158184,2023-01-20 11:16:40.441721,635696085,0,6.981399E-11,1.988318E-08,3.478945E-08,2.781336E-09,3.991201E-06,2.927359E-06,8.461417E-05,2.698758E-06,1.713709E-06,8.159404E-05,0,0
158349,2023-01-20 11:16:40.941705,636196067,0,6.98029E-11,1.987503E-08,3.479767E-08,2.785828E-09,3.994196E-06,2.92779E-06,8.457441E-05,2.69853E-06,1.713293E-06,8.155483E-05,0,0
158513,2023-01-20 11:16:41.441790,636696071,0,6.979514E-11,1.986531E-08,3.480602E-08,2.789795E-09,3.996567E-06,2.928199E-06,8.453891E-05,2.698074E-06,1.712859E-06,8.15204E-05,0,0
158675,2023-01-20 11:16:41.941693,637196068,0,6.978802E-11,1.98577E-08,3.481437E-08,2.794404E-09,3.999183E-06,2.928584E-06,8.449997E-05,2.697593E-06,1.712461E-06,8.148288E-05,0,0
