LineNo,UTC_Approx,TimeUS,TPD,PD,DVD,TVD,VD,DAD,TAD,AD
19495,2023-01-20 11:09:40.422870,214797242,-36.438,-36.60046,-0.9016787,-0.7392203,-0.7846429,0,0.315171,-0.06672573
19528,2023-01-20 11:09:40.522826,214897218,-36.52818,-36.6904,-0.9016787,-0.739462,-0.7769015,0,0.2353154,0.3471441
19561,2023-01-20 11:09:40.622816,214997220,-36.61837,-36.77899,-0.9016787,-0.741066,-0.7736607,0,0.1332478,0.3229752
19594,2023-01-20 11:09:40.722816,215097203,-36.70856,-36.86739,-0.9016787,-0.7428458,-0.798243,0,0.12783,-0.05967236
19628,2023-01-20 11:09:40.822867,215197238,-36.79874,-36.95641,-0.9016787,-0.7440103,-0.7726658,0,0.1083577,-0.05000877
19660,2023-01-20 11:09:40.922978,215297338,-36.88894,-37.04937,-0.9016787,-0.7412491,-0.7767829,0,0.1942189,-0.1931181
19692,2023-01-20 11:09:41.022866,215397217,-36.97912,-37.14163,-0.9016787,-0.7391714,-0.7880144,0,0.2327066,0.3966436
19723,2023-01-20 11:09:41.122883,215497236,-37.06931,-37.23294,-0.9016787,-0.7380484,-0.7816085,0,0.1753898,0.02277279
19757,2023-01-20 11:09:41.222838,215597199,-37.15949,-37.32384,-0.9016787,-0.7373282,-0.7744264,0,0.1644071,0.127368
19791,2023-01-20 11:09:41.322835,215697228,-37.24968,-37.41153,-0.9016787,-0.7398282,-0.7434043,0,0.06699429,0.1802158
19823,2023-01-20 11:09:41.422812,215797228,-37.33987,-37.50144,-0.9016787,-0.7401114,-0.7488059,0,0.02353335,-0.04325867
19854,2023-01-20 11:09:41.522799,215897207,-37.43005,-37.59627,-0.9016787,-0.735463,-0.7392216,0,0.05019796,0.2744761
19887,2023-01-20 11:09:41.622881,215997281,-37.52024,-37.68896,-0.9016787,-0.7329581,-0.6976257,0,-0.07654296,0.4001703
19920,2023-01-20 11:09:41.722809,216097201,-37.61043,-37.78382,-0.9016787,-0.7282852,-0.7480058,0,-0.01362376,-0.07224083
19954,2023-01-20 11:09:41.822841,216197228,-37.70061,-37.88095,-0.9016787,-0.7213492,-0.7587113,0,0.1155767,-0.129715
19986,2023-01-20 11:09:41.922839,216297230,-37.79081,-37.97755,-0.9016787,-0.7149307,-0.7328972,0,0.0960354,0.3281851
20018,2023-01-20 11:09:42.022797,216397187,-37.88099,-38.07175,-0.9016787,-0.7109219,-0.7121258,0,0.06461836,0.07370377
20049,2023-01-20 11:09:42.122863,216497236,-37.97118,-38.16957,-0.9016787,-0.7032828,-0.7030069,0,0.04907115,0.3656244
20083,2023-01-20 11:09:42.222874,216597236,-38.06137,-38.2647,-0.9016787,-0.6983487,-0.7156516,0,0.05986037,0.01438618
20117,2023-01-20 11:09:42.322859,216697229,-38.15155,-38.35888,-0.9016787,-0.694357,-0.6993755,0,0.06932557,0.06005096
20149,2023-01-20 11:09:42.422847,216797227,-38.24174,-38.45153,-0.9016787,-0.6918863,-0.6973708,0,0.02413302,0.07120609
20180,2023-01-20 11:09:42.522802,216897196,-38.33193,-38.54704,-0.9016787,-0.686564,-0.6875488,0,0.03805673,0.115097
20213,2023-01-20 11:09:42.622787,216997190,-38.42212,-38.64057,-0.9016787,-0.6832241,-0.680778,0,0.0001099257,0.09091187
20246,2023-01-20 11:09:42.722831,217097225,-38.5123,-38.73663,-0.9016787,-0.6773502,-0.7139995,0,0.05764536,-0.02299786
20280,2023-01-20 11:09:42.822843,217197226,-38.60249,-38.83173,-0.9016787,-0.6724429,-0.6699308,0,0.07692537,0.01219177
20312,2023-01-20 11:09:42.922984,217297350,-38.69268,-38.92513,-0.9016787,-0.66923,-0.6972578,0,0.1070249,0.06928635
20344,2023-01-20 11:09:43.022862,217397215,-38.78286,-39.01769,-0.9016787,-0.6668497,-0.667087,0,0.07869104,-0.01375389
20375,2023-01-20 11:09:43.122883,217497237,-38.87305,-39.1116,-0.9016787,-0.6631363,-0.6990047,0,0.1148488,0.255743
20409,2023-01-20 11:09:43.222843,217597201,-38.96324,-39.2024,-0.9016787,-0.6625186,-0.6612973,0,0.02403978,0.2838678
20443,2023-01-20 11:09:43.322942,217697314,-39.05343,-39.29238,-0.9016787,-0.6627285,-0.6217679,0,-0.09678149,0.4810219
20474,2023-01-20 11:09:43.422856,217797240,-39.14361,-39.37852,-0.9016787,-0.6667691,-0.6082873,0,-0.2282253,0.2222786
20505,2023-01-20 11:09:43.522849,217897243,-39.2338,-39.46238,-0.9016787,-0.6731021,-0.5816426,0,-0.3928855,0.2884026
20538,2023-01-20 11:09:43.622801,217997201,-39.32399,-39.54574,-0.9016787,-0.6799234,-0.5690837,0,-0.4607224,0.1573811
20571,2023-01-20 11:09:43.722813,218097202,-39.41417,-39.62903,-0.9016787,-0.6868204,-0.578054,0,-0.5301983,-0.02577591
20605,2023-01-20 11:09:43.822835,218197218,-39.50436,-39.7097,-0.9016787,-0.6963394,-0.6140387,0,-0.5296913,-0.177619
20637,2023-01-20 11:09:43.922846,218297239,-39.59455,-39.79234,-0.9016787,-0.7038907,-0.6288479,0,-0.3688716,-0.1530619
20669,2023-01-20 11:09:44.022799,218397195,-39.68473,-39.87871,-0.9016787,-0.7077017,-0.6769252,0,-0.2473145,-0.2464581
20700,2023-01-20 11:09:44.122846,218497219,-39.77492,-39.96873,-0.9016787,-0.7078702,-0.6627324,0,-0.1832978,0.1193256
20734,2023-01-20 11:09:44.222883,218597241,-39.86511,-40.05988,-0.9016787,-0.7069131,-0.679763,0,-0.1646806,0.06524086
20768,2023-01-20 11:09:44.322861,218697229,-39.9553,-40.15416,-0.9016787,-0.702814,-0.6548595,0,-0.1802695,0.1291542
20800,2023-01-20 11:09:44.422826,218797211,-40.04549,-40.24878,-0.9016787,-0.6983853,-0.6709306,0,-0.1256725,-0.1383858
20831,2023-01-20 11:09:44.522774,218897197,-40.13567,-40.34623,-0.9016787,-0.6911197,-0.6737056,0,-0.1009285,-0.1300764
20864,2023-01-20 11:09:44.622750,218997193,-40.22586,-40.44283,-0.9016787,-0.6847061,-0.7210102,0,0.03730547,-0.08655548
20897,2023-01-20 11:09:44.722816,219097218,-40.31604,-40.54104,-0.9016787,-0.6766861,-0.7097826,0,0.1328378,0.009102821
20932,2023-01-20 11:09:44.822973,219197341,-40.40623,-40.64218,-0.9016787,-0.665729,-0.7088577,0,0.2383049,-0.08140182
20964,2023-01-20 11:09:44.922869,219297227,-40.49642,-40.74659,-0.9016787,-0.6515103,-0.7184577,0,0.2810375,0.03990936
20996,2023-01-20 11:09:45.022858,219397209,-40.58661,-40.84842,-0.9016787,-0.6398697,-0.7084861,0,0.3162085,0.2545166
21027,2023-01-20 11:09:45.122868,219497218,-40.67679,-40.95079,-0.9016787,-0.627687,-0.675541,0,0.3247048,0.2595282
21061,2023-01-20 11:09:45.222838,219597190,-40.76698,-41.05037,-0.9016787,-0.6182876,-0.6845995,0,0.2872912,0.1051273
21095,2023-01-20 11:09:45.322869,219697234,-40.85717,-41.15071,-0.9016787,-0.6081387,-0.6671416,0,0.3197788,0.1966085
21127,2023-01-20 11:09:45.422865,219797238,-40.94735,-41.24945,-0.9016787,-0.5995816,-0.6639296,0,0.3367766,0.1652203
21160,2023-01-20 11:09:45.522888,219897252,-41.03754,-41.34607,-0.9016787,-0.5931534,-0.6689841,0,0.2730309,0.1558104
21193,2023-01-20 11:09:45.620762,219997200,-41.12773,-41.43718,-0.9016787,-0.5922256,-0.6158007,0,0.1932298,0.1239862
21226,2023-01-20 11:09:45.711643,220097192,-41.21792,-41.52689,-0.9016787,-0.5927042,-0.6299061,0,0.1593293,0.046031
21260,2023-01-20 11:09:45.802823,220197230,-41.30811,-41.61335,-0.9016787,-0.5964346,-0.6381456,0,0.1625858,-0.06259537
