LineNo,UTC_Approx,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
59613,2023-01-20 11:11:41.861722,336496068,0,408,0.0025,0.0025,0.01248502,0.01251374,0.01103638,0.01304318,0.01103642,0.01304322
61273,2023-01-20 11:11:46.961695,341596082,0,408,0.0025,0.0025,0.01248516,0.01251367,0.01103641,0.01304322,0.01103637,0.0130432
62940,2023-01-20 11:11:52.041747,346696086,0,408,0.0025,0.0025,0.01248495,0.01251375,0.01103641,0.01304323,0.01103641,0.01304321
64597,2023-01-20 11:11:57.141690,351796090,0,408,0.0025,0.0025,0.01248539,0.01251389,0.01103644,0.01304328,0.01103642,0.01304327
66309,2023-01-20 11:12:02.221726,356896066,0,408,0.0025,0.0025,0.01248536,0.01251385,0.01103641,0.01304321,0.01103639,0.01304325
67977,2023-01-20 11:12:07.321717,361996072,0,408,0.0025,0.0025,0.0124852,0.01251388,0.01103637,0.01304322,0.0110364,0.01304322
69648,2023-01-20 11:12:12.401478,367096106,0,408,0.0025,0.0025,0.0124851,0.01251398,0.01103639,0.01304319,0.0110364,0.01304316
71366,2023-01-20 11:12:17.501438,372196093,0,408,0.0025,0.0025,0.01248536,0.01251398,0.01103634,0.01304316,0.01103634,0.01304318
73034,2023-01-20 11:12:22.581687,377296101,0,408,0.0025,0.0025,0.01248525,0.01251402,0.01103642,0.01304318,0.01103636,0.01304316
74701,2023-01-20 11:12:27.681717,382396088,0,408,0.0025,0.0025,0.01248523,0.01251397,0.01103633,0.01304312,0.01103631,0.01304312
76368,2023-01-20 11:12:32.761694,387496072,0,408,0.0025,0.0025,0.01248563,0.01251393,0.01103629,0.0130431,0.01103629,0.01304312
78085,2023-01-20 11:12:37.856149,392596072,0,408,0.0025,0.0025,0.01248561,0.01251399,0.01103627,0.01304305,0.01103627,0.01304306
79754,2023-01-20 11:12:42.941721,397696094,0,408,0.0025,0.0025,0.01248563,0.01251396,0.01103623,0.01304303,0.01103624,0.01304305
81422,2023-01-20 11:12:48.021833,402796070,0,408,0.0025,0.0025,0.01248555,0.01251401,0.01103621,0.01304303,0.0110362,0.01304301
83139,2023-01-20 11:12:53.121700,407896072,0,408,0.0025,0.0025,0.01248535,0.01251409,0.01103615,0.01304295,0.01103614,0.01304292
84806,2023-01-20 11:12:58.201604,412996093,0,408,0.0025,0.0025,0.01248553,0.01251411,0.01103611,0.01304291,0.01103613,0.01304292
86477,2023-01-20 11:13:03.301450,418096086,0,408,0.0025,0.0025,0.01248538,0.01251409,0.01103609,0.01304287,0.01103613,0.01304292
88194,2023-01-20 11:13:08.381749,423196089,0,408,0.0025,0.0025,0.01248535,0.01251408,0.01103607,0.01304282,0.01103608,0.01304285
89863,2023-01-20 11:13:13.481697,428296074,0,408,0.0025,0.0025,0.01248559,0.01251409,0.01103602,0.01304279,0.01103605,0.01304285
