FrameIndex,VideoTimeSec,Status,SearchMode,Latitude,Longitude,MapCenterXPx,MapCenterYPx,Score,TileId,MatchCount,InlierCount,InlierRatio,MeanMatchConfidence,ReprojectionErrorPx
25877,431.283,localized,track_local,39.80302037,32.38149896,1023.47,972.41,115.7337,tile_512px_0021,61,55,0.9016,0.7205,1.3606
25886,431.433,localized,track_local,39.80303239,32.38150311,1024.18,969.82,112.9430,tile_512px_0021,56,53,0.9464,0.6340,1.7192
25894,431.567,localized,track_local,39.80301563,32.38151936,1026.85,973.45,93.6401,tile_512px_0021,58,44,0.7586,0.6597,2.2870
25901,431.683,localized,track_local,39.80304336,32.38150998,1025.34,967.47,97.3880,tile_512px_0021,47,43,0.9149,0.6536,1.4596
25909,431.817,localized,track_local,39.80305173,32.38152452,1027.76,965.69,112.4180,tile_512px_0021,53,52,0.9811,0.6162,1.5707
25916,431.933,localized,track_local,39.80306177,32.38153620,1029.72,963.54,89.1194,tile_512px_0021,47,39,0.8298,0.6990,1.6856
25924,432.067,localized,track_local,39.80307080,32.38153122,1028.90,961.59,94.9640,tile_512px_0015,57,44,0.7719,0.6746,1.2527
25933,432.217,localized,track_local,39.80307374,32.38153535,1029.59,960.96,95.8377,tile_512px_0015,49,43,0.8776,0.6100,1.4518
25941,432.35,localized,track_local,39.80308328,32.38154230,1030.76,958.92,99.0295,tile_512px_0015,51,45,0.8824,0.6287,1.6368
25950,432.5,localized,track_local,39.80309499,32.38154751,1031.64,956.40,101.1175,tile_512px_0015,54,47,0.8704,0.5941,1.9123
25957,432.617,localized,track_local,39.80309584,32.38155092,1032.21,956.22,98.1169,tile_512px_0015,57,46,0.8070,0.5803,1.1953
25966,432.767,localized,track_local,39.80310684,32.38156319,1034.26,953.87,90.5134,tile_512px_0015,52,41,0.7885,0.6217,1.1435
25974,432.9,localized,track_local,39.80311155,32.38157330,1035.95,952.87,117.2547,tile_512px_0015,55,54,0.9818,0.7659,1.1457
25981,433.017,localized,track_local,39.80311431,32.38158268,1037.51,952.28,119.1186,tile_512px_0015,55,55,1.0000,0.7592,1.2976
25990,433.167,localized,track_local,39.80312283,32.38158134,1037.30,950.45,108.1633,tile_512px_0015,57,50,0.8772,0.7733,1.1810
25998,433.3,localized,track_local,39.80313591,32.38158573,1038.05,947.64,105.0870,tile_512px_0015,54,48,0.8889,0.7343,1.2308
26005,433.417,localized,track_local,39.80314440,32.38158837,1038.50,945.82,109.2359,tile_512px_0015,54,50,0.9259,0.7276,1.0907
26013,433.55,localized,track_local,39.80315114,32.38158830,1038.50,944.37,117.7081,tile_512px_0015,58,55,0.9483,0.7772,1.3499
26020,433.667,localized,track_local,39.80314957,32.38159150,1039.03,944.71,110.8584,tile_512px_0015,55,51,0.9273,0.7526,1.3142
26028,433.8,localized,telemetry_prior,39.80315611,32.38160210,1040.79,943.31,113.6909,tile_512px_0015,60,54,0.9000,0.6987,1.7282
26035,433.917,localized,track_local,39.80316437,32.38160660,1041.56,941.54,112.6147,tile_512px_0015,58,53,0.9138,0.6954,1.6713
26043,434.05,localized,track_local,39.80317134,32.38161009,1042.14,940.04,108.3252,tile_512px_0015,57,50,0.8772,0.7937,1.2371
26052,434.2,localized,telemetry_prior,39.80317976,32.38161040,1042.21,938.23,109.3715,tile_512px_0015,63,52,0.8254,0.7461,1.1353
26060,434.333,localized,track_local,39.80318288,32.38162850,1045.22,937.58,108.5572,tile_512px_0015,60,51,0.8500,0.7663,1.4740
26067,434.45,localized,track_local,39.80318623,32.38162927,1045.35,936.86,103.0438,tile_512px_0015,54,47,0.8704,0.7504,1.4288
26075,434.583,localized,track_local,39.80319582,32.38163090,1045.64,934.80,99.1212,tile_512px_0015,58,46,0.7931,0.7224,1.1949
26083,434.717,localized,track_local,39.80320440,32.38163240,1045.90,932.95,95.7612,tile_512px_0015,54,43,0.7963,0.8183,1.0808
26090,434.833,localized,track_local,39.80321038,32.38163274,1045.96,931.67,90.8291,tile_512px_0015,50,40,0.8000,0.7689,1.1461
26097,434.95,localized,track_local,39.80321423,32.38163768,1046.79,930.84,95.8663,tile_512px_0015,52,43,0.8269,0.7633,1.4323
26105,435.083,localized,track_local,39.80321909,32.38164980,1048.81,929.81,96.6155,tile_512px_0015,50,43,0.8600,0.7205,1.1859
26112,435.2,localized,telemetry_prior,39.80322770,32.38165104,1049.03,927.96,102.2554,tile_512px_0015,54,47,0.8704,0.6675,1.3744
26120,435.333,localized,track_local,39.80323083,32.38165730,1050.07,927.29,97.7924,tile_512px_0015,50,44,0.8800,0.6742,1.7995
26127,435.45,localized,track_local,39.80323643,32.38166433,1051.25,926.10,103.1371,tile_512px_0015,50,46,0.9200,0.7483,1.2613
26135,435.583,localized,track_local,39.80324534,32.38166438,1051.27,924.18,92.3221,tile_512px_0015,49,41,0.8367,0.6706,1.3152
26142,435.7,localized,track_local,39.80324918,32.38166681,1051.67,923.35,101.2401,tile_512px_0015,48,45,0.9375,0.6829,1.6182
26151,435.85,localized,track_local,39.80326037,32.38167863,1053.65,920.96,94.1108,tile_512px_0015,45,41,0.9111,0.6664,1.8493
26159,435.983,localized,track_local,39.80327022,32.38169306,1056.06,918.86,86.3872,tile_512px_0015,47,38,0.8085,0.6500,1.8247
26167,436.117,localized,track_local,39.80327811,32.38170914,1058.75,917.18,93.5056,tile_512px_0015,51,42,0.8235,0.7087,1.7165
26174,436.233,localized,track_local,39.80328563,32.38171656,1059.99,915.57,93.6041,tile_512px_0015,46,41,0.8913,0.6449,1.4454
26183,436.383,localized,track_local,39.80329054,32.38172611,1061.58,914.52,70.9324,tile_512px_0015,47,31,0.6596,0.5718,1.4299
26190,436.5,localized,track_local,39.80329514,32.38172818,1061.93,913.53,87.8680,tile_512px_0015,48,39,0.8125,0.6418,1.9006
26196,436.6,localized,telemetry_prior,39.80330425,32.38173090,1062.40,911.58,67.7103,tile_512px_0015,40,28,0.7000,0.5609,1.1981
